トレード番号,タイプ,日時,シグナル,価格 USD,サイズ (数量),サイズ (金額),純損益 USD,純損益 %,最大順行幅 USD,最大順行幅 %,最大逆行幅 USD,最大逆行幅 %,累積損益 USD,累積損益 %
1,ロング決済,2018-06-07 18:00,X,16.7498,51725.36,846389.3072,20000.13,2.36,20000.13,2.36,-4531.14,-0.54,20000.13,2.00
1,ロングエントリー,2018-05-17 02:00,L,16.36314,51725.36,846389.3072,20000.13,2.36,20000.13,2.36,-4531.14,-0.54,20000.13,2.00
2,ロング決済,2019-06-20 02:00,X,15.13897,59935.74,886965.042,20400.33,2.30,20400.33,2.30,-4028.28,-0.45,40400.46,4.04
2,ロングエントリー,2019-06-12 02:00,L,14.7986,59935.74,886965.042,20400.33,2.30,20400.33,2.30,-4028.28,-0.45,40400.46,4.04
3,ロング決済,2020-01-31 23:00,X,18.08316,40224.95,706585.8402,20808.37,2.94,20808.37,2.94,-923.56,-0.13,61208.82,6.12
3,ロングエントリー,2020-01-30 07:00,L,17.56586,40224.95,706585.8402,20808.37,2.94,20808.37,2.94,-923.56,-0.13,61208.82,6.12
4,ロング決済,2021-01-18 07:00,X,24.39707,10423.54,264915.9369,-10612.1,-4.01,5008.93,1.89,-10612.1,-4.01,50596.72,5.06
4,ロングエントリー,2021-01-12 15:00,L,25.41516,10423.54,264915.9369,-10612.1,-4.01,5008.93,1.89,-10612.1,-4.01,50596.72,5.06
5,ロング決済,2022-01-13 03:00,X,23.17951,24475.09,546308.4839,21012.11,3.85,21012.11,3.85,-3096.1,-0.57,71608.83,7.16
5,ロングエントリー,2022-01-08 03:00,L,22.321,24475.09,546308.4839,21012.11,3.85,21012.11,3.85,-3096.1,-0.57,71608.83,7.16
6,ロング決済,2022-07-28 22:00,X,19.7973,18769.78,350158.6923,21432.27,6.12,21432.27,6.12,-7699.36,-2.20,93041.1,9.30
6,ロングエントリー,2022-07-16 02:00,L,18.65545,18769.78,350158.6923,21432.27,6.12,21432.27,6.12,-7699.36,-2.20,93041.1,9.30
7,ロング決済,2022-09-09 10:00,X,18.81776,25134.43,451112.7496,21860.92,4.85,21860.92,4.85,-2500.88,-0.55,114902.02,11.49
7,ロングエントリー,2022-09-02 18:00,L,17.948,25134.43,451112.7496,21860.92,4.85,21860.92,4.85,-2500.88,-0.55,114902.02,11.49
8,ロング決済,2023-01-23 23:00,X,23.04783,16837.28,399211.9088,-11149.14,-2.79,13421.84,3.36,-11149.14,-2.79,103752.88,10.38
8,ロングエントリー,2023-01-06 23:00,L,23.71,16837.28,399211.9088,-11149.14,-2.79,13421.84,3.36,-11149.14,-2.79,103752.88,10.38
9,ロング決済,2023-08-02 22:00,X,24.09888,26814.97,657248.3222,-11037.58,-1.68,8835.53,1.34,-11037.58,-1.68,92715.31,9.27
9,ロングエントリー,2023-07-31 22:00,L,24.5105,26814.97,657248.3222,-11037.58,-1.68,8835.53,1.34,-11037.58,-1.68,92715.31,9.27
10,ロング決済,2024-01-11 23:00,X,22.63846,21820.23,504903.757,-10927.35,-2.16,8252.41,1.63,-10927.35,-2.16,81787.95,8.18
10,ロングエントリー,2024-01-05 11:00,L,23.13925,21820.23,504903.757,-10927.35,-2.16,8252.41,1.63,-10927.35,-2.16,81787.95,8.18
11,ロング決済,2024-04-30 14:00,X,26.58229,13022.56,356987.4373,-10817.97,-3.03,4180.24,1.17,-10817.97,-3.03,70969.98,7.10
11,ロングエントリー,2024-04-24 14:00,L,27.413,13022.56,356987.4373,-10817.97,-3.03,4180.24,1.17,-10817.97,-3.03,70969.98,7.10
12,ロング決済,2025-01-16 23:00,X,30.93532,14061.01,413745.2193,21236.63,5.13,21236.63,5.13,-9090.44,-2.20,92206.61,9.22
12,ロングエントリー,2024-12-21 03:00,L,29.425,14061.01,413745.2193,21236.63,5.13,21236.63,5.13,-9090.44,-2.20,92206.61,9.22
13,ロング決済,2025-08-22 22:00,X,38.78558,12333.8,456541.7739,21831.81,4.78,21831.81,4.78,-4187.94,-0.92,114038.42,11.40
13,ロングエントリー,2025-08-01 22:00,L,37.0155,12333.8,456541.7739,21831.81,4.78,21831.81,4.78,-4187.94,-0.92,114038.42,11.40
14,ロング決済,2026-01-13 23:00,X,89.12141,1744.54,133169.8098,22306.06,16.75,22306.06,16.75,-10921.26,-8.20,136344.47,13.63
14,ロングエントリー,2025-12-30 23:00,L,76.3352,1744.54,133169.8098,22306.06,16.75,22306.06,16.75,-10921.26,-8.20,136344.47,13.63
15,ロング決済,2026-02-06 07:00,X,69.53219,662.3,57414.62142,-11363.45,-19.79,3652.72,6.36,-11363.45,-19.79,124981.02,12.50
15,ロングエントリー,2026-02-03 19:00,L,86.68975,662.3,57414.62142,-11363.45,-19.79,3652.72,6.36,-11363.45,-19.79,124981.02,12.50
