mode,symbol,trades,wr_clean,wr_after_cost,totalR_clean,totalR_after_cost,pf_clean,pf_after_cost,R_lost_to_cost,R_per_trade_cost
conservative,XAUUSD,79,44.3,44.3,61.0,57.11,2.386,2.243,3.89,0.0492
conservative,GBPJPY,29,51.72,51.72,31.0,30.11,3.214,3.082,0.89,0.0305
conservative,USDJPY,43,37.21,37.21,21.0,19.67,1.778,1.707,1.33,0.0309
conservative,EURJPY,58,31.03,31.03,14.0,12.39,1.35,1.302,1.61,0.0277
conservative,AUDJPY,82,25.61,25.61,2.0,-1.08,1.033,0.983,3.08,0.0376
conservative,CHFJPY,60,33.33,33.33,20.0,16.64,1.5,1.394,3.36,0.0561
conservative,SILVER,41,46.34,46.34,35.0,27.37,2.591,2.05,7.63,0.186
relaxed,XAUUSD,158,37.34,37.34,78.0,68.06,1.788,1.646,9.94,0.0629
relaxed,GBPJPY,252,30.95,30.95,60.0,46.45,1.345,1.253,13.55,0.0538
relaxed,USDJPY,140,34.29,34.29,52.0,45.94,1.565,1.478,6.06,0.0433
relaxed,EURJPY,145,28.97,28.97,23.0,18.0,1.223,1.169,5.0,0.0345
relaxed,AUDJPY,164,34.15,34.15,60.0,51.8,1.556,1.457,8.2,0.05
relaxed,CHFJPY,77,38.96,38.96,43.0,39.58,1.915,1.808,3.42,0.0444
relaxed,SILVER,173,32.37,32.37,51.0,5.22,1.436,1.035,45.78,0.2646
