strategy,year,trades,wr,total_r,max_dd
TrendBreakV1_Combined,2015,133,33.83,47.0,8.0
TrendBreakV1_Combined,2016,164,36.59,76.0,13.0
TrendBreakV1_Combined,2017,146,32.19,42.0,11.0
TrendBreakV1_Combined,2018,152,22.37,-16.0,30.0
TrendBreakV1_Combined,2019,174,41.38,114.0,9.0
TrendBreakV1_Combined,2020,145,34.48,55.0,15.0
TrendBreakV1_Combined,2021,149,38.93,83.0,8.0
TrendBreakV1_Combined,2022,149,36.24,67.0,11.0
TrendBreakV1_Combined,2023,142,30.28,30.0,12.0
TrendBreakV1_Combined,2024,147,34.01,53.0,12.0
TrendBreakV1_Conservative,2015,34,35.29,14.0,7.0
TrendBreakV1_Conservative,2016,41,31.71,11.0,13.0
TrendBreakV1_Conservative,2017,39,33.33,13.0,11.0
TrendBreakV1_Conservative,2018,44,29.55,8.0,6.0
TrendBreakV1_Conservative,2019,51,49.02,49.0,4.0
TrendBreakV1_Conservative,2020,38,34.21,14.0,7.0
TrendBreakV1_Conservative,2021,32,40.62,20.0,6.0
TrendBreakV1_Conservative,2022,40,45.0,32.0,6.0
TrendBreakV1_Conservative,2023,36,33.33,12.0,10.0
TrendBreakV1_Conservative,2024,37,32.43,11.0,6.0
TrendBreakV1_Relaxed,2015,99,33.33,33.0,8.0
TrendBreakV1_Relaxed,2016,123,38.21,65.0,12.0
TrendBreakV1_Relaxed,2017,107,31.78,29.0,9.0
TrendBreakV1_Relaxed,2018,108,19.44,-24.0,28.0
TrendBreakV1_Relaxed,2019,123,38.21,65.0,9.0
TrendBreakV1_Relaxed,2020,107,34.58,41.0,15.0
TrendBreakV1_Relaxed,2021,117,38.46,63.0,8.0
TrendBreakV1_Relaxed,2022,109,33.03,35.0,11.0
TrendBreakV1_Relaxed,2023,106,29.25,18.0,12.0
TrendBreakV1_Relaxed,2024,110,34.55,42.0,12.0
Sai_BestMethod,2015,18,38.89,-2.71,6.53
Sai_BestMethod,2016,32,65.62,13.15,4.0
Sai_BestMethod,2017,34,47.06,10.7,4.0
Sai_BestMethod,2018,44,36.36,-4.95,7.49
Sai_BestMethod,2019,36,47.22,8.22,6.53
Sai_BestMethod,2020,33,54.55,42.79,3.0
Sai_BestMethod,2021,40,30.0,-7.09,9.85
Sai_BestMethod,2022,34,41.18,9.16,6.63
Sai_BestMethod,2023,49,44.9,12.1,5.83
Sai_BestMethod,2024,58,43.1,17.47,11.81
