base_strategy,filter,family,description,pass_rate,all_trades,all_win_rate,all_total_r,all_avg_r,all_pf,all_max_dd_r,all_max_ls,train_trades,train_win_rate,train_total_r,train_avg_r,train_pf,train_max_dd_r,train_max_ls,test_trades,test_win_rate,test_total_r,test_avg_r,test_pf,test_max_dd_r,test_max_ls,base_all_avg_r,base_test_avg_r,base_all_total_r,base_test_total_r,base_all_max_dd_r,base_test_max_dd_r,all_avg_r_delta,test_avg_r_delta,all_dd_delta,test_dd_delta,robust_score
T4_REBREAK_ONLY,Combo_BB_CloseLoc,Combo,BB位置0.60〜1.10 + 終値位置65%以上,77.07509881422925,195,45.64102564102564,46.727318039595076,0.23962727199792347,1.4897720867918496,11.350131979512662,10,118,39.83050847457627,12.741455972666763,0.1079784404463285,1.2045996923776585,11.350131979512662,10,77,54.54545454545454,33.98586206692831,0.44137483203803,2.0257962828874305,6.30725022427854,6,0.1804690682431602,0.3373156783911291,45.65867426551953,31.70767376876613,11.340884533144584,10.363003267993935,0.05915820375476327,0.10405915364690094,0.009247446368078727,-4.055753043715395,37.45838208106445
T4_REBREAK_ONLY,Combo_CHOP_BB,Combo,CHOP<50 + BB位置0.60〜1.10,55.73122529644269,141,44.680851063829785,29.724351114115777,0.21081100080933174,1.4326359625719765,9.361232100549937,7,86,36.04651162790697,1.955258467576894,0.022735563576475513,1.0410373195734104,9.361232100549937,7,55,58.18181818181818,27.769092646538876,0.5048925935734341,2.31861029394498,4.027763043377966,4,0.1804690682431602,0.3373156783911291,45.65867426551953,31.70767376876613,11.340884533144584,10.363003267993935,0.030341932566171542,0.167576915182305,-1.979652432594646,-6.335240224615969,35.87711612312066
T4_REBREAK_ONLY,BB_pos_60_110,Bollinger,BB位置が0.60〜1.10,78.65612648221344,199,45.22613065326633,45.650979336504896,0.22940190621359244,1.46366654234738,11.350131979512662,10,121,39.66942148760331,12.69030017484753,0.10487851384171513,1.197360489802691,11.350131979512662,10,78,53.84615384615385,32.96067916165737,0.422572809764838,1.964993249112865,6.30725022427854,6,0.1804690682431602,0.3373156783911291,45.65867426551953,31.70767376876613,11.340884533144584,10.363003267993935,0.04893283797043224,0.08525713137370894,0.009247446368078727,-4.055753043715395,35.49309806213391
T4_REBREAK_ONLY,CCI_-50_150,CCI,CCI20が-50〜150,78.65612648221344,199,46.733668341708544,53.39106397462997,0.2682968038926129,1.5654889724700298,11.323068281269551,10,120,42.5,20.773557069816597,0.17311297558180497,1.3506233674700137,11.323068281269551,10,79,53.16455696202531,32.61750690481338,0.41287983423814406,1.9274702881976031,6.938501957532552,5,0.1804690682431602,0.3373156783911291,45.65867426551953,31.70767376876613,11.340884533144584,10.363003267993935,0.0878277356494527,0.07556415584701498,-0.017816251875032663,-3.424501310461383,34.19183822901472
T4_REBREAK_ONLY,CHOP_lt_50,Choppiness,Choppiness < 50,71.54150197628458,181,45.85635359116022,33.330074538376586,0.18414405822307506,1.380781080239916,9.264180165929758,8,113,39.823008849557525,3.796904680151159,0.033600926373019105,1.063950027446545,9.264180165929758,7,68,55.88235294117647,29.533169858225424,0.4343113214444915,2.048844709039311,8.083516087093358,8,0.1804690682431602,0.3373156783911291,45.65867426551953,31.70767376876613,11.340884533144584,10.363003267993935,0.003674989979914861,0.09699564305336245,-2.076704367214825,-2.2794871809005777,31.32031494557353
T4_REBREAK_ONLY,Combo_MACD_CloseLoc,Combo,MACDヒストグラム>0 + 終値位置65%以上,94.46640316205533,239,45.60669456066946,47.70167243386382,0.19958858758938836,1.402180399912659,12.150956239914194,10,147,41.49659863945578,13.959148328074994,0.09496019270799315,1.1827817307584598,12.150956239914194,10,92,52.17391304347826,33.74252410578883,0.3667665663672699,1.7988842544736996,10.363003267993932,10,0.1804690682431602,0.3373156783911291,45.65867426551953,31.70767376876613,11.340884533144584,10.363003267993935,0.01911951934622816,0.029450887976140816,0.8100717067696106,-3.552713678800501e-15,30.44281605360042
T4_REBREAK_ONLY,ADX_lt_25,ADX,ADX14 < 25,65.61264822134387,166,48.19277108433735,45.0522515013521,0.2713991054298319,1.5517848532976708,7.244130567203921,7,103,45.63106796116505,17.96474664514812,0.17441501597231185,1.3495097358002657,7.16336758276076,7,63,52.38095238095239,27.087504856203978,0.4299603945429203,1.8955028234948617,6.119277849845927,6,0.1804690682431602,0.3373156783911291,45.65867426551953,31.70767376876613,11.340884533144584,10.363003267993935,0.09093003718667172,0.0926447161517912,-4.096753965940662,-4.243725418148008,30.13028227640909
T4_REBREAK_ONLY,Candle_CloseLoc75,Candle,終値が足の上側25%以内,87.35177865612648,221,47.511312217194565,52.142963585806115,0.23594101170048015,1.4901826059932228,11.713087429481035,10,137,44.52554744525548,20.457193650701562,0.1493225813919822,1.3001326898860508,11.713087429481035,10,84,52.38095238095239,31.685769935104556,0.37721154684648284,1.8291649903235827,9.356525077097139,9,0.1804690682431602,0.3373156783911291,45.65867426551953,31.70767376876613,11.340884533144584,10.363003267993935,0.055471943457319955,0.039895868455353756,0.37220289633645187,-1.0064781908967966,29.66316955004939
T4_REBREAK_ONLY,MACD_hist_rising,MACD,MACDヒストグラムが3本前より上,73.91304347826086,187,47.05882352941176,46.121982188558725,0.24664161598159745,1.4989171237027914,9.729726601896644,9,119,43.69747899159664,17.76494189092273,0.1492852259741406,1.2916118418573606,9.729726601896644,9,68,52.94117647058824,28.357040297635994,0.41701529849464697,1.8995280878729308,8.265834053096293,6,0.1804690682431602,0.3373156783911291,45.65867426551953,31.70767376876613,11.340884533144584,10.363003267993935,0.06617254773843725,0.07969962010351789,-1.6111579312479396,-2.097169214897642,29.142645762989666
T4_REBREAK_ONLY,Candle_CloseLoc65,Candle,終値が足の上側35%以内,97.23320158102767,246,45.9349593495935,49.258888898308655,0.20023938576548234,1.404977585620354,11.547221932598086,11,153,42.48366013071895,16.526032224271574,0.10801328251157892,1.2108264868789256,11.547221932598086,11,93,51.61290322580645,32.73285667403708,0.35196620079609764,1.7568862848621025,10.363003267993932,10,0.1804690682431602,0.3373156783911291,45.65867426551953,31.70767376876613,11.340884533144584,10.363003267993935,0.01977031752232214,0.014650522404968558,0.2063373994535027,-3.552713678800501e-15,28.69313034329006
