symbol,timeframe,strategy,family,signal_time,direction,v_start_i,v_extreme_i,v_start,v_extreme,v_move_atr,v_move_bars,v_recovery_bars,v_recovery_to_drop_bars,v_drop_speed_atr_per_bar,v_recovery_speed_atr_per_bar,fib_ratio,trigger_level,entry_time,entry,stop,target,exit_time,exit,exit_reason,bars_held,risk,r_clean,r_after_cost,wave1,wave3,wave2_retrace,wave4_retrace,year
GBPJPY,H4,VFIB_100_BODY60_LONG_STRICTV_RR2,V字フィボ,,long,3355.0,3367.0,184.17,181.64,4.350006355463623,12.0,11.0,0.9166666666666666,0.3625005296219685,0.4110857605055489,1.0395256916996136,184.17,,184.26,181.4945979135857,189.8208041728287,,181.4945979135857,SL,52,2.7654020864143263,-1.0,-1.007232221346124,,,,,2015
GBPJPY,H4,VFIB_100_BODY60_LONG_STRICTV_RR2,V字フィボ,,long,3423.0,3431.0,183.67,181.47,4.235325857575459,8.0,8.0,1.0,0.5294157321969324,0.5438543430750311,1.0272727272727284,183.67,,183.73,181.3401398620802,188.50972027583956,,181.3401398620802,SL,8,2.389860137919783,-1.0,-1.0083686905700642,,,,,2015
XAUUSD,H4,VFIB_100_BODY60_LONG_STRICTV_RR2,V字フィボ,,long,2084.0,2090.0,1197.98,1175.204,3.6634107899532418,6.0,6.0,1.0,0.610568464992207,0.7220610117915794,1.1826044959606543,1197.98,,1202.118,1173.6497107525,1259.117578495,,1173.6497107525,SL,23,28.468289247500024,-1.0,-1.0122943811957676,,,,,2015
GBPJPY,H4,VFIB_100_BODY60_LONG_STRICTV_RR2,V字フィボ,,long,4204.0,4216.0,184.68,180.41,5.179143685230701,12.0,11.0,0.9166666666666666,0.4315953071025584,0.4906789312173016,1.0421545667447325,184.68,,184.87,180.20388484566587,194.1722303086683,,185.13,max_hold,180,4.666115154334136,0.0557208708744551,0.0514346500379623,,,,,2015
USDJPY,H4,VFIB_100_BODY60_LONG_STRICTV_RR2,V字フィボ,,long,3459.0,3467.0,113.992,112.158,3.6225518175858817,8.0,7.0,0.875,0.4528189771982352,0.5891796381928094,1.1384950926935606,113.992,,114.245,112.03143176216992,118.67513647566015,,112.03143176216992,SL,67,2.2135682378300885,-1.0,-1.0045175928300245,,,,,2016
GBPJPY,H4,VFIB_100_BODY60_LONG_STRICTV_RR2,V字フィボ,,long,5299.0,5308.0,158.45,155.73,3.879603269596553,9.0,8.0,0.8888888888888888,0.4310670299551726,0.5402204920440057,1.113970588235295,158.45,,158.77,155.5547243460874,165.17055130782518,,155.5547243460874,SL,81,3.215275653912613,-1.0,-1.0062203064846538,,,,,2016
GBPJPY,H4,VFIB_100_BODY60_LONG_STRICTV_RR2,V字フィボ,,long,6060.0,6071.0,128.95,126.48,4.6640557169452705,11.0,8.0,0.7272727272727273,0.4240050651768428,0.634934710454594,1.0890688259109311,128.95,,129.18,126.3476044975714,134.81479100485717,,134.81479100485717,TP,29,2.8323955024286107,1.9894082588486195,1.9823470980810527,,,,,2016
CHFJPY,H4,VFIB_100_BODY60_LONG_STRICTV_RR2,V字フィボ,,long,4691.0,4699.0,113.148,110.959,3.705240912206525,8.0,3.0,0.375,0.4631551140258155,1.300529968423335,1.0529922338967566,113.148,,113.267,110.8113038007604,118.1693923984792,,113.434,max_hold,180,2.455696199239597,0.068005154730342,0.0598608248225125,,,,,2016
EURJPY,H4,VFIB_100_BODY60_LONG_STRICTV_RR2,V字フィボ,,long,4621.0,4627.0,121.87,118.78,4.060340522630903,6.0,3.0,0.5,0.6767234204384838,1.756414832335483,1.2977346278317154,121.87,,122.75,118.58974502121328,131.19050995757345,,120.88,max_hold,180,4.160254978786725,-0.4494916800857628,-0.4524963036157451,,,,,2016
GBPJPY,H4,VFIB_100_BODY60_LONG_STRICTV_RR2,V字フィボ,,long,6385.0,6396.0,140.51,137.08,4.726038156944388,11.0,10.0,0.9090909090909092,0.4296398324494898,0.5098058653263642,1.0787172011661843,140.51,,140.79,136.89855838410023,148.54288323179955,,140.36,max_hold,180,3.891441615899766,-0.1104988953818738,-0.1156383788880031,,,,,2017
