timeframe,family,strategy,year,trades,win_rate,total_r_after_cost,avg_r_after_cost,pf_after_cost,max_dd_r,max_losing_streak,avg_hold_bars
H1,V字フィボ,VFIB_618_BODY60_LONG_RR2,2024,149,46.97986577181208,55.08600153280028,0.3697047082738274,1.6822197893765858,10.283997412230875,7,133.63758389261744
H1,V字フィボ,VFIB_786_BODY60_RR2,2024,141,44.680851063829785,44.636505611166626,0.3165709617813236,1.5608726140700089,12.572724678937124,8,164.46099290780143
H1,V字フィボ,VFIB_618_BODY60_LONG_RR2,2020,139,44.60431654676259,43.32933218387487,0.3117218142724811,1.5478249972272773,12.224070102957135,12,136.07194244604315
H1,V字フィボ,VFIB_618_BODY60_LONG_RR2,2022,161,42.857142857142854,42.35092001720864,0.26304919265346977,1.4493404460464872,11.669261244086542,7,108.3167701863354
H1,V字フィボ,VFIB_618_BODY60_LONG_REC1_RR2,2016,97,48.45360824742268,41.7419467660945,0.43032934810406703,1.8118196999271392,6.3525218696703085,6,125.85567010309278
H1,V字フィボ,VFIB_786_RR3,2023,148,33.78378378378378,40.542241410218416,0.27393406358255684,1.4042801595359156,24.286204837917907,13,189.66216216216216
H1,V字フィボ,VFIB_618_BODY60_LONG_SPEED030_RR2,2022,125,44.800000000000004,40.116298399798744,0.32093038719838995,1.5672542571049435,9.65387378305438,8,99.528
H1,V字フィボ,VFIB_618_BODY60_LONG_REC1_RR2,2024,106,47.16981132075472,38.879973067675515,0.3667921987516558,1.6791266919140013,7.134905442575871,7,134.16037735849056
H1,V字フィボ,VFIB_786_RR3,2022,149,31.543624161073826,36.81962442754438,0.24711157333922404,1.3544129005624646,14.468263106579869,10,178.83221476510067
H1,V字フィボ,VFIB_618_BODY60_LONG_RR2,2016,131,43.51145038167939,36.724871209225185,0.2803425283146961,1.483154714917557,13.619519122515012,10,141.6946564885496
H1,V字フィボ,VFIB_618_BODY50_EARLY1_RR2,2024,236,33.05084745762712,35.809967508048665,0.15173715045783331,1.3105978578408475,18.8767857235028,18,90.69067796610169
H1,V字フィボ,VFIB_786_BODY60_RR2,2019,150,38.666666666666664,34.812045992741616,0.23208030661827744,1.363214593268334,14.712285744742658,14,154.91333333333333
H1,V字フィボ,VFIB_100_RR2,2020,108,46.2962962962963,34.67640089648575,0.3210777860785718,1.594623742737668,13.612056671241424,11,250.96296296296296
H1,V字フィボ,VFIB_786_RR3,2024,140,32.142857142857146,34.64035665214507,0.24743111894389339,1.3568619956021515,22.71434340481785,19,197.46428571428572
H1,V字フィボ,VFIB_618_BODY60_LONG_ATR4_SPEED060_RR2,2022,66,51.515151515151516,34.53441472593904,0.5232487079687733,2.051474857775634,5.316084330888863,5,92.81818181818181
H1,V字フィボ,VFIB_618_BODY50_EARLY1_RR2,2016,246,32.52032520325203,33.64980222082812,0.13678781390580538,1.272503112284024,16.15841302583392,12,97.63821138211382
H1,V字フィボ,VFIB_618_BODY60_LONG_SPEED030_RR2,2021,134,42.53731343283582,33.52392524117419,0.2501785465759268,1.423366400410752,17.731674289247135,10,100.0223880597015
H1,V字フィボ,VFIB_618_BODY50_RR2,2024,184,40.76086956521739,33.42231762148009,0.18164303055152223,1.2999349204208661,18.831703551811394,12,125.94021739130434
H1,V字フィボ,VFIB_618_EARLY3_RR2,2024,294,27.2108843537415,33.26611317171984,0.11315004480176816,1.2738072713261956,17.860565766948625,30,74.27551020408163
H4,V字フィボ,VFIB_618_BODY60_RR2,2024,70,50.0,32.97541756720214,0.47107739381717345,1.997901565247909,5.34122751308103,6,70.27142857142857
H1,V字フィボ,VFIB_618_BODY60_LONG_REC1_RR2,2022,109,44.03669724770643,32.641404341949276,0.2994624251554979,1.5231347928534709,7.39829329990684,5,122.45871559633028
H1,V字フィボ,VFIB_618_RR2,2017,232,39.224137931034484,31.772198130561176,0.1369491298731085,1.2162779721423826,21.186591831588583,13,110.01724137931035
H4,V字フィボ,VFIB_618_RR2,2024,83,46.98795180722892,31.42233985536961,0.3785824078960194,1.7505297602539927,6.13274568745965,7,66.06024096385542
H1,V字フィボ,VFIB_786_EARLY1_RR2,2023,200,32.5,30.532711195349364,0.15266355597674683,1.3234392398205619,19.25020599811255,25,131.375
H4,V字フィボ,VFIB_618_RR2,2021,100,47.0,30.522030452645645,0.30522030452645643,1.5842775411455168,9.254782476972679,7,64.87
H1,V字フィボ,VFIB_786_BODY60_RR2,2022,162,40.123456790123456,30.211366062721904,0.18648991396741915,1.3061247709575021,12.311721111761123,7,133.9814814814815
H4,V字フィボ,VFIB_618_BODY60_LONG_RR2,2024,50,56.00000000000001,30.163249961296017,0.6032649992259204,2.460254524027112,4.044459429839241,5,76.64
H1,V字フィボ,VFIB_618_BODY60_RR2,2024,180,40.0,29.88827670630004,0.1660459817016669,1.270352446034319,14.775942993904149,10,119.93333333333334
H4,V字フィボ,VFIB_618_BODY50_RR2,2021,89,48.31460674157304,29.681269473561468,0.3334974098152974,1.6581637311430297,7.196752977313247,6,67.01123595505618
H1,V字フィボ,VFIB_618_BODY60_LONG_REC1_RR2,2020,91,45.05494505494506,29.15752865149849,0.3204124027637197,1.5679695890034888,8.304723852132453,8,138.27472527472528
H1,V字フィボ,VFIB_786_RR2,2019,154,37.66233766233766,28.874123453378232,0.18749430813881968,1.287943826910474,16.684422077902028,9,177.83116883116884
H1,V字フィボ,VFIB_100_RR2,2024,129,41.86046511627907,28.763676413625,0.22297423576453487,1.3766179704920458,11.730468661816326,6,172.2325581395349
H1,V字フィボ,VFIB_618_BODY50_RR2,2016,206,38.83495145631068,28.703143032205823,0.1393356457874069,1.2226142136248066,18.86281361085186,12,122.16990291262135
H1,エリオット風5波目,ELLIOTT_W5_RR3_STRICT,2023,20,60.0,28.092199710773595,1.4046099855386798,4.457046051128681,4.061359805200556,4,149.45
H4,V字フィボ,VFIB_618_RR2,2016,103,45.63106796116505,27.813802624556526,0.27003691868501484,1.4973313857281763,16.923904430116416,10,58.55339805825243
H1,V字フィボ,VFIB_786_RR2,2017,180,39.44444444444444,27.515072993682132,0.1528615166315674,1.2458374578055649,12.149459872143051,7,137.19444444444446
H1,V字フィボ,VFIB_786_RR2,2024,161,39.75155279503105,26.955582098253856,0.1674259757655519,1.2722596000085733,17.87602584136207,9,151.96273291925465
H1,エリオット風5波目,ELLIOTT_W5_RR3_LOOSE,2022,48,39.58333333333333,26.905493630723022,0.5605311173067297,1.9079717568910113,8.240410326244131,8,151.10416666666666
