extra_groups,bb_lo,bb_hi,slope_min,macd_hist_pos,body_min,close_min,adx_mode,rsi_mode,width_mode,trigger_mode,positive_symbols,positive_years,positive_windows,worst_window_total_r,all_trades,all_win_rate,all_total_r,all_avg_r,all_median_r,all_pf,all_max_dd_r,all_max_losing_streak,train_trades,train_win_rate,train_total_r,train_avg_r,train_median_r,train_pf,train_max_dd_r,train_max_losing_streak,test_trades,test_win_rate,test_total_r,test_avg_r,test_median_r,test_pf,test_max_dd_r,test_max_losing_streak,score
width,0.75,1.05,0.0,False,,,none,none,bb_width_le_7,all,7,9,5,1.9078814917613884,129,52.71317829457365,64.52038568833225,0.5001580285917229,0.3734858996704182,2.172731962656649,8.780876705491893,10,76,44.73684210526316,22.57046333043828,0.2969797806636616,-0.31230469546038286,1.5928949245355906,8.780876705491893,10,53,64.15094339622641,41.94992235789398,0.7915079690168676,1.733086098247245,3.475078194257507,4.217620140809933,3,123.64526012125499
width,0.75,1.05,-0.02,True,,,none,none,bb_width_2_5_7,all,6,9,5,3.8972154511891213,145,51.724137931034484,64.96834375338595,0.4480575431267997,0.1853333594102788,2.027757412544986,6.608427196799084,5,84,46.42857142857143,23.910335880164563,0.2846468557162448,-0.2119446889996599,1.5952924445078371,6.608427196799084,5,61,59.01639344262295,41.058007873221385,0.6730820962823177,1.648857047281676,2.7814131799780135,4.258286399788773,4,123.49465513134287
close,0.75,1.2,-0.02,True,,0.75,none,none,none,all,7,9,5,4.731914881619782,177,51.9774011299435,65.56452039383014,0.3704210191741816,0.1211936612468755,1.8393427558358197,7.365697361970319,7,110,47.27272727272727,24.740343840582916,0.22491221673257197,-0.20688175651443344,1.4706812584000832,7.092348507129918,7,67,59.70149253731343,40.82417655324722,0.6093160679589137,0.8449906401700296,2.597735134595609,5.2588204265773735,5,122.60365958052289
width,0.7,1.05,0.0,False,,,none,none,bb_width_le_7,all,7,9,5,1.9078814917613884,133,52.63157894736842,64.44132464200734,0.48452123790982965,0.3734858996704182,2.129863563272941,8.780876705491893,10,79,45.56962025316456,23.498943266841206,0.2974549780612811,-0.2883405508644905,1.601332211177078,8.780876705491893,10,54,62.96296296296296,40.94238137516614,0.7581922476882619,1.6909715727644605,3.2800908789537213,5.22516112353777,3,122.60123096774187
close,0.75,1.05,-0.02,True,,0.75,none,none,none,all,7,9,5,3.68392290983476,137,52.55474452554745,62.87205554695275,0.45892011348140693,0.3734858996704182,2.0691777270768097,5.2598154863016235,6,81,48.148148148148145,27.68423520056463,0.3417806814884522,-0.1337934440297054,1.7418166354294906,5.2598154863016235,6,56,58.92857142857143,35.187820346388115,0.6283539347569306,0.8640095960428269,2.6378153555268815,4.922940418947871,5,122.31252963222225
width,0.75,1.0,0.0,False,,,none,none,bb_width_le_7,all,7,9,5,4.911466714878653,102,54.90196078431373,59.259125442087566,0.580971818059682,0.8175845264452748,2.487800532496279,5.735031024066212,7,62,46.774193548387096,24.66009694152343,0.39774349905682954,-0.2119446889996599,1.8520838040028424,5.735031024066212,7,40,67.5,34.599028500564145,0.8649757125141037,1.9758483507859412,4.1774027543093455,3.03365448125356,3,121.60035376829175
width,0.75,1.05,0.0,True,,,none,none,bb_width_2_5_7,all,7,8,5,1.566097682206376,117,52.991452991452995,59.77104828525113,0.510863660557702,0.3734858996704182,2.2229287067052406,6.721549420767431,8,66,43.93939393939394,17.60163690832593,0.26669146830796864,-0.31230469546038286,1.534418205929211,6.721549420767431,8,51,64.70588235294117,42.169411376925204,0.8268512034691217,1.9745949551370592,3.6456315793414715,3.207952709058186,3,121.45516448322898
width,0.75,1.05,0.0,True,,,none,none,bb_width_le_7,all,7,8,5,2.976366169956579,120,52.5,60.02587676985208,0.5002156397487674,0.2794096295403485,2.17828506530598,6.72154942076743,8,69,43.47826086956522,17.856465392926875,0.25878935352067933,-0.3362688400562753,1.510124031530193,6.72154942076743,8,51,64.70588235294117,42.169411376925204,0.8268512034691217,1.9745949551370592,3.6456315793414715,3.207952709058186,3,121.36506949510179
width,0.75,1.0,0.0,True,,,none,none,bb_width_le_7,all,7,10,5,4.911466714878653,95,54.736842105263165,55.59768908954085,0.5852388325214827,0.8449906401700296,2.512383873459132,4.681046795309928,6,57,45.614035087719294,20.779171569945486,0.3645468696481664,-0.2799700689991615,1.7729713530749445,4.681046795309928,6,38,68.42105263157895,34.81851751959537,0.916276776831457,1.9777523033255358,4.524346985456032,2.029065903389963,2,120.89140180025
width,0.75,1.05,-0.02,True,,,none,none,bb_width_le_7,all,6,9,5,5.2110329219607845,150,50.66666666666667,63.20649768676162,0.4213766512450775,0.11758313058155714,1.9391967744460388,6.6084271967990835,5,88,45.45454545454545,23.156061838379237,0.2631370663452186,-0.28415530993182603,1.5354882929216285,6.6084271967990835,5,62,58.06451612903226,40.050435848382385,0.645974771748103,1.26594279959865,2.6649131728515254,4.258286399788773,4,120.6047809025098
