candidate,period,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_losing_streak
Current_060_110,2015-2016,31,29.03225806451613,-2.216567295303144,-0.07150217081623046,0.8898112002898316,11.89436693339602,13
Current_060_110,2017-2018,26,42.30769230769231,4.787838999336285,0.18414765382062634,1.3529705144205528,4.098661565610757,4
Current_060_110,2019-2020,31,54.83870967741935,13.833521092117318,0.44624261587475217,2.0172402531586555,5.0578621000099755,5
Current_060_110,2021-2022,40,50.0,12.445775667138408,0.3111443916784602,1.6645522064686942,7.257423289123565,4
Current_060_110,2023-2024,29,72.41379310344827,28.32403482971847,0.9766908561971887,4.921293551109019,3.0355015194464237,3
Robust_075_105_width7,2015-2016,27,33.33333333333333,1.9078814917613884,0.07066227747264402,1.1193049559929458,8.780876705491893,10
Robust_075_105_width7,2017-2018,23,43.47826086956522,5.72743330126595,0.2490188391854761,1.4976877474569195,4.205494558039144,3
Robust_075_105_width7,2019-2020,26,57.692307692307686,14.93514853741094,0.5744287899004208,2.4131741116362444,4.049045547702663,4
Robust_075_105_width7,2021-2022,29,55.172413793103445,15.190379297015074,0.5238061826556922,2.290900470870192,4.217620140809933,3
Robust_075_105_width7,2023-2024,24,75.0,26.759543060878915,1.1149809608699548,6.1642856777620905,3.0355015194464237,3
Strict_075_100_width7,2015-2016,20,40.0,5.954894492717324,0.2977447246358662,1.5985998742577783,5.735031024066212,7
Strict_075_100_width7,2017-2018,19,42.10526315789473,4.911466714878653,0.25849824815150807,1.5201994031299266,3.19886637553191,3
Strict_075_100_width7,2019-2020,23,56.52173913043478,13.79373573392745,0.5997276406055413,2.444161100502491,4.049045547702663,4
Strict_075_100_width7,2021-2022,21,57.14285714285714,11.534522858272474,0.5492629932510702,2.494215252402928,3.03365448125356,3
Strict_075_100_width7,2023-2024,19,78.94736842105263,23.06450564229167,1.2139213495942984,8.276697313490548,2.029065903389963,2
