ladder,stage,note,trigger_type,trades,win_rate,total_r_after_cost,avg_r_after_cost,pf_after_cost,max_dd_r,max_losing_streak,avg_hold_bars
Immediate V,I0 厳格,完全回復100%、実体60%、回復本数<=下落本数、回復速度>=下落速度,GBPJPY,11,27.27272727272727,-3.1407393906940966,-0.2855217627903724,0.5619133454630215,4.1473982914096075,5,75.45454545454545
Immediate V,I0 厳格,完全回復100%、実体60%、回復本数<=下落本数、回復速度>=下落速度,XAUUSD,7,28.57142857142857,-1.0943717419915713,-0.15633882028451018,0.7844641043315685,4.065151018781101,5,68.42857142857143
Immediate V,I0 厳格,完全回復100%、実体60%、回復本数<=下落本数、回復速度>=下落速度,USDJPY,10,30.0,-1.0847516865601057,-0.10847516865601056,0.846270682821017,5.043518482534633,5,115.9
Immediate V,I0 厳格,完全回復100%、実体60%、回復本数<=下落本数、回復速度>=下落速度,CHFJPY,3,33.33333333333333,-1.958010219369554,-0.6526700731231847,0.029665337135793116,2.0178710441920664,2,129.33333333333334
Immediate V,I0 厳格,完全回復100%、実体60%、回復本数<=下落本数、回復速度>=下落速度,EURJPY,5,20.0,-2.370312892506548,-0.4740625785013096,0.3184046579637472,2.0141173257580793,3,82.6
Immediate V,I0 厳格,完全回復100%、実体60%、回復本数<=下落本数、回復速度>=下落速度,AUDJPY,1,100.0,1.9922064864838602,1.9922064864838602,inf,0.0,0,100.0
Immediate V,I0 厳格,完全回復100%、実体60%、回復本数<=下落本数、回復速度>=下落速度,SILVER,2,50.0,0.49138623862361364,0.24569311931180682,1.4746785205209048,1.0351979653184518,1,98.5
Immediate V,I1 回復角度だけ緩和,完全回復100%、回復速度>=下落速度x0.8,GBPJPY,11,27.27272727272727,-3.1407393906940966,-0.2855217627903724,0.5619133454630215,4.1473982914096075,5,75.45454545454545
Immediate V,I1 回復角度だけ緩和,完全回復100%、回復速度>=下落速度x0.8,XAUUSD,7,28.57142857142857,-1.0943717419915713,-0.15633882028451018,0.7844641043315685,4.065151018781101,5,68.42857142857143
Immediate V,I1 回復角度だけ緩和,完全回復100%、回復速度>=下落速度x0.8,USDJPY,10,30.0,-1.0847516865601057,-0.10847516865601056,0.846270682821017,5.043518482534633,5,115.9
Immediate V,I1 回復角度だけ緩和,完全回復100%、回復速度>=下落速度x0.8,CHFJPY,3,33.33333333333333,-1.958010219369554,-0.6526700731231847,0.029665337135793116,2.0178710441920664,2,129.33333333333334
Immediate V,I1 回復角度だけ緩和,完全回復100%、回復速度>=下落速度x0.8,EURJPY,5,20.0,-2.370312892506548,-0.4740625785013096,0.3184046579637472,2.0141173257580793,3,82.6
Immediate V,I1 回復角度だけ緩和,完全回復100%、回復速度>=下落速度x0.8,AUDJPY,1,100.0,1.9922064864838602,1.9922064864838602,inf,0.0,0,100.0
Immediate V,I1 回復角度だけ緩和,完全回復100%、回復速度>=下落速度x0.8,SILVER,2,50.0,0.49138623862361364,0.24569311931180682,1.4746785205209048,1.0351979653184518,1,98.5
Immediate V,I2 回復時間を緩和,完全回復100%、回復本数<=下落本数x1.25、最大24本,GBPJPY,13,30.76923076923077,-2.1963982745225596,-0.16895371342481227,0.7313929865453257,5.155174036762844,6,80.46153846153847
Immediate V,I2 回復時間を緩和,完全回復100%、回復本数<=下落本数x1.25、最大24本,EURJPY,8,25.0,-2.3713250843821534,-0.2964156355477692,0.5679915267989418,3.4723577162404258,5,72.0
Immediate V,I2 回復時間を緩和,完全回復100%、回復本数<=下落本数x1.25、最大24本,XAUUSD,7,28.57142857142857,-1.2748124597699262,-0.18211606568141803,0.7489264070125237,4.065151018781101,5,88.0
Immediate V,I2 回復時間を緩和,完全回復100%、回復本数<=下落本数x1.25、最大24本,USDJPY,13,30.76923076923077,-1.6554074703481765,-0.12733903618062897,0.8045249675403487,5.043518482534633,5,118.92307692307692
Immediate V,I2 回復時間を緩和,完全回復100%、回復本数<=下落本数x1.25、最大24本,SILVER,9,44.44444444444444,2.209896508140064,0.2455440564600071,1.4259712275342498,3.1033684141055353,3,68.22222222222223
Immediate V,I2 回復時間を緩和,完全回復100%、回復本数<=下落本数x1.25、最大24本,CHFJPY,4,50.0,0.023972162772106342,0.005993040693026586,1.0118799280266717,2.0178710441920664,2,130.75
Immediate V,I2 回復時間を緩和,完全回復100%、回復本数<=下落本数x1.25、最大24本,AUDJPY,4,75.0,1.5749054157312496,0.3937263539328124,2.5670767830731185,0.0,1,152.0
Immediate V,I3 80%回復,完全回復を待たず、80%回復で入る,AUDJPY,11,72.72727272727273,9.335849373893605,0.8487135794448732,4.095100566271771,1.006595898458416,1,91.54545454545455
Immediate V,I3 80%回復,完全回復を待たず、80%回復で入る,EURJPY,20,35.0,-1.3596887432410751,-0.06798443716205375,0.8923313349634666,5.5911042433904905,6,87.05
Immediate V,I3 80%回復,完全回復を待たず、80%回復で入る,XAUUSD,11,45.45454545454545,2.4318319108254047,0.22107562825685498,1.3991279205857237,5.080569047793791,6,91.0
Immediate V,I3 80%回復,完全回復を待たず、80%回復で入る,SILVER,22,27.27272727272727,-4.6193937753711225,-0.20997244433505102,0.716641211692747,6.993371552001212,6,58.86363636363637
Immediate V,I3 80%回復,完全回復を待たず、80%回復で入る,GBPJPY,25,48.0,7.435891489429109,0.29743565957716434,1.609930533922698,6.141578537747832,5,75.68
Immediate V,I3 80%回復,完全回復を待たず、80%回復で入る,USDJPY,18,44.44444444444444,4.144190759006966,0.23023281994483144,1.4110249135325084,5.068334422967759,5,76.11111111111111
