symbol,timeframe,strategy,family,signal_time,direction,v_start_i,v_extreme_i,v_start,v_extreme,v_move_atr,v_move_bars,v_recovery_bars,v_recovery_to_drop_bars,v_drop_speed_atr_per_bar,v_recovery_speed_atr_per_bar,fib_ratio,trigger_level,entry_time,entry,stop,target,exit_time,exit,exit_reason,bars_held,risk,r_clean,r_after_cost,ladder,stage,note,trigger_type,candidate_i,candidate_recovery_bars,candidate_recovery_to_drop_bars,signal_recovery_bars,signal_fib_ratio,candidate_fib_min,candidate_fib_max
GBPJPY,H4,I0_STRICT_100_BODY60_REC1_SPEED1,V字フィボ,2015-02-24 04:00:00,long,3355,3367,184.17,181.64,4.350006355463623,12,11.0,0.9166666666666666,0.36250052962196855,0.4110857605055489,1.0395256916996136,184.17,2015-02-24 08:00:00,184.26,181.49459791358566,189.8208041728287,2015-03-06 20:00:00,181.49459791358566,SL,52,2.7654020864143263,-1.0,-1.007232221346124,Immediate V,I0 厳格,完全回復100%、実体60%、回復本数<=下落本数、回復速度>=下落速度,,,,,,,,
GBPJPY,H4,I0_STRICT_100_BODY60_REC1_SPEED1,V字フィボ,2015-03-10 00:00:00,long,3423,3431,183.67,181.47,4.235325857575459,8,8.0,1.0,0.5294157321969324,0.5438543430750311,1.0272727272727284,183.67,2015-03-10 04:00:00,183.73,181.3401398620802,188.50972027583956,2015-03-11 12:00:00,181.3401398620802,SL,8,2.389860137919783,-1.0,-1.0083686905700642,Immediate V,I0 厳格,完全回復100%、実体60%、回復本数<=下落本数、回復速度>=下落速度,,,,,,,,
XAUUSD,H4,I0_STRICT_100_BODY60_REC1_SPEED1,V字フィボ,2015-04-27 12:00:00,long,2084,2090,1197.98,1175.204,3.6634107899532413,6,6.0,1.0,0.610568464992207,0.7220610117915794,1.1826044959606545,1197.98,2015-04-27 16:00:00,1202.118,1173.6497107525,1259.1175784949999,2015-05-01 12:00:00,1173.6497107525,SL,23,28.468289247500024,-1.0,-1.0122943811957676,Immediate V,I0 厳格,完全回復100%、実体60%、回復本数<=下落本数、回復速度>=下落速度,,,,,,,,
GBPJPY,H4,I0_STRICT_100_BODY60_REC1_SPEED1,V字フィボ,2015-09-08 20:00:00,long,4204,4216,184.68,180.41,5.179143685230701,12,11.0,0.9166666666666666,0.43159530710255845,0.4906789312173016,1.0421545667447323,184.68,2015-09-09 00:00:00,184.87,180.20388484566587,194.1722303086683,2015-10-21 00:00:00,185.13,max_hold,180,4.666115154334136,0.05572087087445518,0.051434650037962375,Immediate V,I0 厳格,完全回復100%、実体60%、回復本数<=下落本数、回復速度>=下落速度,,,,,,,,
USDJPY,H4,I0_STRICT_100_BODY60_REC1_SPEED1,V字フィボ,2016-03-02 04:00:00,long,3459,3467,113.992,112.158,3.6225518175858817,8,7.0,0.875,0.4528189771982352,0.5891796381928094,1.1384950926935606,113.992,2016-03-02 08:00:00,114.245,112.03143176216992,118.67513647566015,2016-03-17 04:00:00,112.03143176216992,SL,67,2.2135682378300885,-1.0,-1.0045175928300243,Immediate V,I0 厳格,完全回復100%、実体60%、回復本数<=下落本数、回復速度>=下落速度,,,,,,,,
GBPJPY,H4,I0_STRICT_100_BODY60_REC1_SPEED1,V字フィボ,2016-05-17 04:00:00,long,5299,5308,158.45,155.73,3.879603269596553,9,8.0,0.8888888888888888,0.4310670299551726,0.5402204920440057,1.113970588235295,158.45,2016-05-17 08:00:00,158.77,155.5547243460874,165.17055130782518,2016-06-03 12:00:00,155.5547243460874,SL,81,3.215275653912613,-1.0,-1.0062203064846538,Immediate V,I0 厳格,完全回復100%、実体60%、回復本数<=下落本数、回復速度>=下落速度,,,,,,,,
GBPJPY,H4,I0_STRICT_100_BODY60_REC1_SPEED1,V字フィボ,2016-11-04 12:00:00,long,6060,6071,128.95,126.48,4.6640557169452705,11,8.0,0.7272727272727273,0.4240050651768428,0.634934710454594,1.0890688259109313,128.95,2016-11-04 16:00:00,129.18,126.3476044975714,134.81479100485717,2016-11-11 08:00:00,134.81479100485717,TP,29,2.8323955024286107,1.9894082588486195,1.9823470980810527,Immediate V,I0 厳格,完全回復100%、実体60%、回復本数<=下落本数、回復速度>=下落速度,,,,,,,,
CHFJPY,H4,I0_STRICT_100_BODY60_REC1_SPEED1,V字フィボ,2016-12-05 08:00:00,long,4691,4699,113.148,110.959,3.7052409122065244,8,3.0,0.375,0.46315511402581555,1.3005299684233347,1.0529922338967566,113.148,2016-12-05 12:00:00,113.267,110.8113038007604,118.16939239847919,2017-01-13 16:00:00,113.434,max_hold,180,2.455696199239597,0.06800515473034202,0.05986082482251254,Immediate V,I0 厳格,完全回復100%、実体60%、回復本数<=下落本数、回復速度>=下落速度,,,,,,,,
EURJPY,H4,I0_STRICT_100_BODY60_REC1_SPEED1,V字フィボ,2016-12-05 12:00:00,long,4621,4627,121.87,118.78,4.060340522630903,6,3.0,0.5,0.6767234204384838,1.7564148323354827,1.2977346278317154,121.87,2016-12-05 16:00:00,122.75,118.58974502121328,131.19050995757345,2017-01-16 12:00:00,120.88,max_hold,180,4.160254978786725,-0.44949168008576285,-0.45249630361574517,Immediate V,I0 厳格,完全回復100%、実体60%、回復本数<=下落本数、回復速度>=下落速度,,,,,,,,
GBPJPY,H4,I0_STRICT_100_BODY60_REC1_SPEED1,V字フィボ,2017-01-19 00:00:00,long,6385,6396,140.51,137.08,4.726038156944388,11,10.0,0.9090909090909091,0.4296398324494898,0.5098058653263642,1.0787172011661843,140.51,2017-01-19 04:00:00,140.79,136.89855838410023,148.54288323179955,2017-03-01 04:00:00,140.36,max_hold,180,3.8914416158997653,-0.11049889538187388,-0.11563837888800313,Immediate V,I0 厳格,完全回復100%、実体60%、回復本数<=下落本数、回復速度>=下落速度,,,,,,,,
