timeframe,strategy,symbol,trades,win_rate,total_r_after_cost,avg_r_after_cost,pf_after_cost,max_dd_r,max_losing_streak,avg_hold_bars
H4,VCTX_618_800_STAG_OR_REBREAK_RR2,GBPJPY,49,57.14285714285714,18.630286033579527,0.3802099190526434,1.9045808986953223,3.020438259816119,3,108.0204081632653
H4,VCTX_618_800_REC1_STAG_OR_REBREAK_RR2,GBPJPY,46,56.52173913043478,17.540212517778578,0.38130896777779516,1.8951023818119377,2.9032257236170302,2,101.0
H4,VCTX_618_800_REBREAK_ONLY_RR2,GBPJPY,44,52.27272727272727,14.908328488260064,0.338825647460456,1.757581237428699,3.0290153854161526,3,104.79545454545455
H4,VCTX_618_800_BIGDROP_STAG_OR_REBREAK_RR2,USDJPY,40,52.5,14.882136254673398,0.3720534063668349,1.8980887947823217,6.364283648261926,4,99.95
H4,VCTX_618_800_STAG_OR_REBREAK_RR2,USDJPY,44,50.0,14.217376817482668,0.32312220039733336,1.7466631011707232,6.364211654978287,5,108.4090909090909
H4,VCTX_618_800_REC1_STAG_OR_REBREAK_RR2,USDJPY,37,48.64864864864865,13.754137304884958,0.3717334406725664,1.808789580459224,7.233164831995454,7,95.08108108108108
H4,VCTX_618_800_BIGDROP_STAG_OR_REBREAK_RR2,GBPJPY,42,57.14285714285714,13.68847031430126,0.3259159598643157,1.7792970248327862,3.4897735587207825,3,117.23809523809524
H4,VCTX_618_786_STAG_OR_REBREAK_RR2,GBPJPY,46,54.347826086956516,13.611457117539276,0.2959012416856364,1.6606890457666688,2.0231432155017766,2,105.3695652173913
H4,VCTX_618_786_STAG_OR_REBREAK_RR2,USDJPY,43,48.837209302325576,13.442034458537291,0.31260545252412303,1.7059439489929955,6.364211654978287,5,106.74418604651163
H4,VCTX_618_800_FAST_STAG_OR_REBREAK_RR2,GBPJPY,20,65.0,13.028538052905295,0.6514269026452648,2.8467948020900624,1.188751851138294,2,106.45
H4,VCTX_618_800_STAG_OR_REBREAK_RR2,XAUUSD,39,46.15384615384615,11.518458330696356,0.2953450854024707,1.6887150162557498,3.90879439134207,4,109.74358974358974
H4,VCTX_618_786_STAG_OR_REBREAK_RR2,XAUUSD,39,46.15384615384615,11.515116412602687,0.2952593951949407,1.6885151953154705,3.90879439134207,4,108.28205128205128
