timeframe,strategy,trigger_type,trades,win_rate,total_r_after_cost,avg_r_after_cost,pf_after_cost,max_dd_r,max_losing_streak,avg_hold_bars
H4,VCTX_618_800_STAG_OR_REBREAK_RR2,rebreak,186,45.16129032258064,31.39521527973592,0.1687914799985802,1.3305967011453026,12.896054970119728,13,100.43010752688173
H4,VCTX_618_800_REBREAK_ONLY_RR2,rebreak,206,44.1747572815534,29.56643624269215,0.14352638952763178,1.2802617474519087,11.88722523511114,12,102.80097087378641
H4,VCTX_618_786_STAG_OR_REBREAK_RR2,rebreak,184,44.565217391304344,28.347381185245645,0.15406185426763938,1.2984859545890526,12.899396888213397,13,98.94021739130434
H4,VCTX_618_800_BIGDROP_STAG_OR_REBREAK_RR2,rebreak,156,44.871794871794876,23.824424242564795,0.1527206682215692,1.2983662166781669,15.93429580791529,11,101.64102564102564
H4,VCTX_618_800_REC1_STAG_OR_REBREAK_RR2,rebreak,150,42.66666666666667,22.344183154393647,0.148961221029291,1.2755980408584104,10.858037582857808,10,93.34
H4,VCTX_618_800_STAG_ONLY_RR2,stagnation+rebreak,61,47.540983606557376,16.916568617613084,0.2773207970100506,1.5683018285369803,5.202423146931173,6,95.73770491803279
H4,VCTX_618_800_STAG_OR_REBREAK_RR2,stagnation+rebreak,42,50.0,16.602491096718904,0.3952974070647358,1.888287394073436,5.297348916400541,5,100.85714285714286
H4,VCTX_618_800_REBREAK_ONLY_RR2,stagnation+rebreak,47,48.93617021276596,16.092238022827363,0.34238804303888004,1.7411701248012315,4.789301118499866,5,99.70212765957447
H4,VCTX_618_800_REC1_STAG_OR_REBREAK_RR2,stagnation+rebreak,36,50.0,15.00918428848549,0.4169217857912636,1.9584228929021386,4.290863942142723,4,97.80555555555556
H4,VCTX_618_786_STAG_OR_REBREAK_RR2,stagnation+rebreak,39,48.717948717948715,14.837411852104623,0.3804464577462724,1.8390027405431713,5.297348916400541,5,102.53846153846153
H4,VCTX_618_800_STAG_ONLY_RR2,stagnation,95,46.31578947368421,12.792207290364418,0.13465481358278336,1.2715687005289278,6.884196777783531,5,98.85263157894737
H4,VCTX_618_800_BIGDROP_STAG_OR_REBREAK_RR2,stagnation+rebreak,33,51.515151515151516,11.677352396697652,0.3538591635362925,1.8056483815795217,6.733811966173651,4,105.21212121212122
H4,VCTX_618_800_FAST_STAG_OR_REBREAK_RR2,stagnation,35,51.42857142857142,11.675326678795237,0.33358076225129246,1.6795026200233674,5.029160955823382,5,86.25714285714285
D1,VCTX_618_800_STAG_ONLY_RR2,stagnation,25,72.0,10.548380354480011,0.42193521417920044,2.623521086517515,3.938793455749443,3,46.8
D1,VCTX_618_800_STAG_OR_REBREAK_RR2,stagnation,25,72.0,10.548380354480011,0.42193521417920044,2.623521086517515,3.938793455749443,3,46.8
H4,VCTX_618_800_FAST_STAG_OR_REBREAK_RR2,stagnation+rebreak,19,57.89473684210527,10.447426889108712,0.5498645731109848,2.4929200870977075,2.0541506691375595,3,120.94736842105263
H4,VCTX_618_800_FAST_STAG_OR_REBREAK_RR2,rebreak,70,47.14285714285714,10.025526586696184,0.14322180838137405,1.2898687487981941,6.260723090570694,6,105.75714285714285
D1,VCTX_618_786_STAG_OR_REBREAK_RR2,stagnation,23,73.91304347826086,9.558238565756518,0.4155755898155008,2.7402720714994673,2.933951090907189,2,47.0
H4,VCTX_618_800_FAST_BIGDROP_STAG_OR_REBREAK_RR2,stagnation,27,51.85185185185185,8.858043436464708,0.3280756828320262,1.6743727971981093,4.0657811307440825,4,92.33333333333333
H4,VCTX_618_800_FAST_BIGDROP_STAG_OR_REBREAK_RR2,rebreak,58,50.0,8.777880117096199,0.15134276063958965,1.3164882623037033,4.229677697526891,4,104.56896551724138
D1,VCTX_618_800_REC1_STAG_OR_REBREAK_RR2,stagnation,20,70.0,7.742218174294988,0.3871109087147494,2.4096914559359512,3.021494015077705,3,46.0
H4,VCTX_618_800_FAST_BIGDROP_STAG_OR_REBREAK_RR2,stagnation+rebreak,14,57.14285714285714,7.354261015294783,0.5253043582353417,2.482690142451922,1.038340825154013,2,119.35714285714286
D1,VCTX_618_800_FAST_STAG_OR_REBREAK_RR2,stagnation,12,75.0,6.288040529205311,0.5240033774337759,3.082979956392516,2.016207248789561,2,42.75
D1,VCTX_618_800_BIGDROP_STAG_OR_REBREAK_RR2,stagnation,18,66.66666666666666,4.957769141202397,0.27543161895568874,1.9022886338558194,3.9387934557494444,3,47.72222222222222
D1,VCTX_618_800_REC1_STAG_OR_REBREAK_RR2,rebreak,9,66.66666666666666,3.7701087777818887,0.41890097530909876,2.5140658954044395,1.0070274989080972,2,45.77777777777778
D1,VCTX_618_786_STAG_OR_REBREAK_RR2,rebreak,10,60.0,3.58115866725231,0.358115866725231,2.336749002611326,1.0070274989080972,2,47.2
D1,VCTX_618_800_STAG_OR_REBREAK_RR2,rebreak,10,60.0,3.58115866725231,0.358115866725231,2.336749002611326,1.0070274989080972,2,47.2
D1,VCTX_618_800_BIGDROP_STAG_OR_REBREAK_RR2,rebreak,6,66.66666666666666,2.991322508355027,0.4985537513925045,5.494510522604724,0.4766001186467572,1,57.833333333333336
H4,VCTX_618_800_REC1_STAG_OR_REBREAK_RR2,stagnation,60,46.666666666666664,2.359738559763177,0.039328975996052944,1.0738401230714802,7.707236246535018,6,94.46666666666667
H4,VCTX_618_800_BIGDROP_STAG_OR_REBREAK_RR2,stagnation,58,44.827586206896555,2.143032534920714,0.03694883680897783,1.074869620301469,9.327265743032255,5,104.53448275862068
D1,VCTX_618_800_FAST_BIGDROP_STAG_OR_REBREAK_RR2,stagnation,7,71.42857142857143,2.0855750166412643,0.2979392880916092,2.034405078095691,1.0050874195979032,2,46.0
D1,VCTX_618_800_FAST_BIGDROP_STAG_OR_REBREAK_RR2,rebreak,1,100.0,1.9977458160942805,1.9977458160942805,inf,0.0,0,47.0
D1,VCTX_618_800_FAST_STAG_OR_REBREAK_RR2,rebreak,1,100.0,1.9977458160942805,1.9977458160942805,inf,0.0,0,47.0
D1,VCTX_618_800_REBREAK_ONLY_RR2,rebreak,15,46.666666666666664,1.2792276336184063,0.08528184224122709,1.230596826829089,1.8650815957142484,2,45.333333333333336
D1,VCTX_618_800_REBREAK_ONLY_RR2,stagnation+rebreak,12,58.333333333333336,1.113134714496058,0.09276122620800482,1.3351845904607762,1.7581016236326215,2,45.916666666666664
D1,VCTX_618_800_STAG_ONLY_RR2,stagnation+rebreak,13,61.53846153846154,1.0701934179883168,0.0823225706144859,1.32225420503989,1.8923067861978389,2,47.0
H4,VCTX_618_800_STAG_OR_REBREAK_RR2,stagnation,66,43.93939393939394,1.0500517846537551,0.015909875525056898,1.0303600894561564,7.445470632084115,4,99.1969696969697
D1,VCTX_618_786_STAG_OR_REBREAK_RR2,stagnation+rebreak,11,54.54545454545454,0.48966449263146,0.04451495387558727,1.147446656984518,1.9427827442723231,2,44.63636363636363
