timeframe,strategy,year,trades,win_rate,total_r_after_cost,avg_r_after_cost,pf_after_cost,max_dd_r,max_losing_streak,avg_hold_bars
H4,VCTX_618_800_BIGDROP_STAG_OR_REBREAK_RR2,2023,24,62.5,15.038657852339062,0.626610743847461,2.832198749936747,5.059420214163454,5,116.66666666666667
H4,VCTX_618_800_REC1_STAG_OR_REBREAK_RR2,2020,24,66.66666666666666,13.285481510585877,0.5535617296077449,2.767270583338988,3.041120846193447,3,111.25
H4,VCTX_618_786_STAG_OR_REBREAK_RR2,2023,26,57.692307692307686,13.023879725928511,0.5009184509972504,2.2740079133655855,6.067638187093349,6,111.88461538461539
H4,VCTX_618_800_STAG_OR_REBREAK_RR2,2023,26,57.692307692307686,13.023879725928511,0.5009184509972504,2.2740079133655855,6.067638187093349,6,111.88461538461539
H4,VCTX_618_800_REBREAK_ONLY_RR2,2022,27,59.25925925925925,12.139049729732122,0.449594434434523,2.1844059155945748,4.948838775142486,5,107.07407407407408
H4,VCTX_618_800_BIGDROP_STAG_OR_REBREAK_RR2,2019,25,56.00000000000001,11.468526258223477,0.4587410503289391,2.0465695354737634,7.157051607986524,7,95.44
H4,VCTX_618_800_REC1_STAG_OR_REBREAK_RR2,2022,28,50.0,10.199439948625455,0.3642657124509091,1.8074655118422547,5.931208969771641,6,91.82142857142857
H4,VCTX_618_800_BIGDROP_STAG_OR_REBREAK_RR2,2022,29,55.172413793103445,10.187021035740965,0.35127658743934365,1.8761637825892294,4.021148383311115,4,113.10344827586206
H4,VCTX_618_800_STAG_ONLY_RR2,2024,14,71.42857142857143,9.48356665385623,0.6773976181325878,3.3409151487156623,2.856939123305624,2,90.71428571428571
H4,VCTX_618_786_STAG_OR_REBREAK_RR2,2022,33,51.515151515151516,9.14006099166131,0.27697154520185785,1.6241529926644378,6.939444401345709,7,105.0909090909091
H4,VCTX_618_800_STAG_OR_REBREAK_RR2,2022,33,51.515151515151516,9.14006099166131,0.27697154520185785,1.6241529926644378,6.939444401345709,7,105.0909090909091
H4,VCTX_618_800_STAG_OR_REBREAK_RR2,2024,26,53.84615384615385,8.767183054468559,0.3371993482487907,1.7643815986567846,5.873354968917728,4,102.42307692307692
