symbol,timeframe,strategy,family,signal_time,direction,trigger_type,v_start_i,v_extreme_i,candidate_i,v_start,v_extreme,v_move_atr,v_move_bars,v_drop_speed_atr_per_bar,candidate_recovery_bars,candidate_recovery_to_drop_bars,signal_recovery_bars,signal_fib_ratio,candidate_fib_min,candidate_fib_max,trigger_level,entry_time,entry,stop,target,exit_time,exit,exit_reason,bars_held,risk,r_clean,r_after_cost,year
GBPJPY,D1,VCTX_618_786_STAG_OR_REBREAK_RR2,V候補後トリガー,2015-04-21 00:00:00,long,stagnation,703,708,710,179.25,174.85,3.5706386620767296,5,0.7141277324153459,2,0.4,6,0.856818181818183,0.618,0.786,178.62,2015-04-22 00:00:00,178.63,174.54193186314734,186.77613627370533,2015-05-11 00:00:00,186.77613627370533,TP,16,4.088068136852655,1.9926615704543835,1.9877692840906394,2015
GBPJPY,D1,VCTX_618_786_STAG_OR_REBREAK_RR2,V候補後トリガー,2015-07-28 00:00:00,long,stagnation,764,781,786,195.8,184.97,7.376406094781193,17,0.43390624086948193,5,0.29411764705882354,17,0.727608494921513,0.618,0.786,192.85,2015-07-29 00:00:00,192.85,184.60295133629972,209.34409732740053,2015-08-24 00:00:00,184.60295133629972,SL,22,8.24704866370027,-1.0,-1.0024251099775867,2015
AUDJPY,D1,VCTX_618_786_STAG_OR_REBREAK_RR2,V候補後トリガー,2015-09-16 00:00:00,long,stagnation,519,525,530,87.318,82.115,3.74045336782924,6,0.6234088946382067,5,0.8333333333333334,10,0.8952527388045356,0.618,0.786,86.773,2015-09-17 00:00:00,86.773,81.76724803731348,96.78450392537303,2015-11-26 00:00:00,88.512,max_hold,60,5.005751962686517,0.3474003532261929,0.3449032259028326,2015
XAUUSD,D1,VCTX_618_786_STAG_OR_REBREAK_RR2,V候補後トリガー,2015-09-24 00:00:00,long,rebreak,519,528,533,1147.861,1098.728,3.660582174393525,9,0.40673135271039174,5,0.5555555555555556,11,1.0398713695479582,0.618,0.786,1149.82,2015-09-25 00:00:00,1149.819,1095.3724545116556,1258.7150909766885,2015-11-06 00:00:00,1095.3724545116556,SL,36,54.44654548834433,-1.0,-1.0064283233557043,2015
XAUUSD,D1,VCTX_618_786_STAG_OR_REBREAK_RR2,V候補後トリガー,2016-02-01 00:00:00,long,stagnation,628,633,638,1112.949,1071.419,3.5443156344969133,5,0.7088631268993826,5,1.0,15,1.3677341680712725,0.618,0.786,1128.221,2016-02-02 00:00:00,1128.19,1068.4896615689229,1247.6836768621542,2016-02-11 00:00:00,1247.6836768621542,TP,8,59.70033843107717,2.00155778011388,1.9956951667820613,2016
SILVER,D1,VCTX_618_786_STAG_OR_REBREAK_RR2,V候補後トリガー,2017-01-17 00:00:00,long,stagnation+rebreak,912,923,939,17.225,15.619,5.429003080298522,11,0.493545734572593,16,1.4545454545454546,22,0.9483188044831868,0.618,0.786,17.142,2017-01-18 00:00:00,17.138,15.545045354172478,20.335909291655042,2017-03-29 00:00:00,18.204,max_hold,60,1.5929546458275237,0.6691967048730523,0.6472249556511415,2017
XAUUSD,D1,VCTX_618_786_STAG_OR_REBREAK_RR2,V候補後トリガー,2017-01-17 00:00:00,long,stagnation,910,920,935,1188.062,1122.839,5.231061668611549,10,0.523106166861155,15,1.5,26,1.4145776796528864,0.618,0.786,1215.102,2017-01-18 00:00:00,1215.052,1119.7218985332286,1405.8622029335431,2017-03-29 00:00:00,1252.582,max_hold,60,95.33010146677134,0.39368467485668013,0.39001322172052527,2017
CHFJPY,D1,VCTX_618_786_STAG_OR_REBREAK_RR2,V候補後トリガー,2017-03-09 00:00:00,long,rebreak,978,987,989,113.794,111.075,3.7152374591906194,9,0.41280416213229104,2,0.2222222222222222,9,0.9797719749908081,0.618,0.786,113.739,2017-03-10 00:00:00,113.738,110.89203726680553,119.43292546638895,2017-04-03 00:00:00,110.89203726680553,SL,20,2.845962733194469,-1.0,-1.0070274989080974,2017
EURJPY,D1,VCTX_618_786_STAG_OR_REBREAK_RR2,V候補後トリガー,2017-06-26 00:00:00,long,stagnation,1064,1075,1077,125.29,122.39,4.099932377928021,11,0.3727211252661838,2,0.18181818181818182,9,0.9275862068965491,0.618,0.786,125.08,2017-06-27 00:00:00,125.08,122.2131678151808,130.8136643696384,2017-08-02 00:00:00,130.8136643696384,TP,31,2.866832184819202,1.9999999999999951,1.9956397866376014,2017
GBPJPY,D1,VCTX_618_786_STAG_OR_REBREAK_RR2,V候補後トリガー,2017-06-27 00:00:00,long,stagnation+rebreak,1373,1381,1387,143.92,138.65,4.221855057913591,8,0.5277318822391989,6,0.75,13,0.9601518026565502,0.618,0.786,143.71,2017-06-28 00:00:00,143.73,138.33793338901333,154.45413322197336,2017-09-06 00:00:00,142.35,max_hold,60,5.39206661098666,-0.2559315564069929,-0.25964070939839523,2017
