case,notes,all_trades,all_win_rate,all_total_r,all_avg_r,all_pf,all_max_dd_r,all_max_losing_streak,research_trades,research_win_rate,research_total_r,research_avg_r,research_pf,research_max_dd_r,research_max_losing_streak,oos_trades,oos_win_rate,oos_total_r,oos_avg_r,oos_pf,oos_max_dd_r,oos_max_losing_streak
Baseline,"BB<=0.95, recovery<=16, MACD>0",46,60.86956521739131,32.541248502073536,0.7074184456972508,2.962501157860805,5.452122576790394,6,41,56.09756097560976,25.833751578490578,0.6300915019144043,2.5579847030591227,5.452122576790394,6,5,100.0,6.7074969235829585,1.3414993847165917,inf,0.0,0
Stop ATR pctile>=80,ATR上位20%は停止,33,57.57575757575758,19.16792833304811,0.58084631312267,2.343232473289475,5.172152507791233,6,28,50.0,12.460431409465153,0.44501540748089835,1.8731906656564674,5.172152507791233,6,5,100.0,6.7074969235829585,1.3414993847165917,inf,0.0,0
Half ATR pctile>=80,ATR上位20%はロット半減,46,60.86956521739131,25.854588417560823,0.5620562699469744,2.6760658411843443,5.312137542290813,6,41,56.09756097560976,19.147091493977868,0.4670022315604358,2.2412414188458087,5.312137542290813,6,5,100.0,6.7074969235829585,1.3414993847165917,inf,0.0,0
Stop BB width>4ATR,BB幅過大は停止,23,69.56521739130434,22.35120539601785,0.9717915389572979,4.589465232124472,2.1522328484954576,2,19,63.1578947368421,17.632965304922262,0.9280508055222243,3.831745079509313,2.1522328484954576,2,4,100.0,4.7182400910955895,1.1795600227738974,inf,0.0,0
Half BB width>4ATR,BB幅過大はロット半減,46,60.86956521739131,27.446226949045695,0.5966571075879499,3.406676233596314,3.802177712642926,6,41,56.09756097560976,21.73335844170642,0.5300819132123518,2.905732155279118,3.802177712642926,6,5,100.0,5.712868507339273,1.1425737014678545,inf,0.0,0
Stop EMA flat/against,H4 EMA20傾きが上向きのみ,25,60.0,19.309750569454255,0.7723900227781703,3.056492424336594,4.02977283901125,5,24,58.333333333333336,17.32049373696689,0.721687239040287,2.8446361607688297,4.02977283901125,5,1,100.0,1.989256832487368,1.989256832487368,inf,0.0,0
Stop ADX<15,弱すぎるトレンドを停止,40,55.00000000000001,20.59816603365975,0.5149541508414938,2.242236439953757,5.452122576790394,6,36,50.0,15.87992594256416,0.44110905396011557,1.957688302802524,5.452122576790394,6,4,100.0,4.7182400910955895,1.1795600227738974,inf,0.0,0
Stop chop>=55,レンジ・乱高下寄りを停止,42,57.14285714285714,24.585120048571248,0.5853600011564583,2.4826820967976553,5.452122576790394,6,37,51.35135135135135,17.877623124988293,0.48317900337806197,2.078165641995973,5.452122576790394,6,5,100.0,6.7074969235829585,1.3414993847165917,inf,0.0,0
Stop MACD<=0.02,MACD上昇を強める,40,62.5,29.74735750179701,0.7436839375449252,3.216687975834156,3.2998897282949367,4,35,57.14285714285714,23.039860578214054,0.6582817308061159,2.7168644947887306,3.2998897282949367,4,5,100.0,6.7074969235829585,1.3414993847165917,inf,0.0,0
Stop single rebreak weak,単独rebreakでMACD弱い時だけ停止,46,60.86956521739131,32.541248502073536,0.7074184456972508,2.962501157860805,5.452122576790394,6,41,56.09756097560976,25.833751578490578,0.6300915019144043,2.5579847030591227,5.452122576790394,6,5,100.0,6.7074969235829585,1.3414993847165917,inf,0.0,0
