case,notes,all_trades,all_win_rate,all_total_r,all_avg_r,all_pf,all_max_dd_r,all_max_losing_streak,research_trades,research_win_rate,research_total_r,research_avg_r,research_pf,research_max_dd_r,research_max_losing_streak,oos_trades,oos_win_rate,oos_total_r,oos_avg_r,oos_pf,oos_max_dd_r,oos_max_losing_streak
fixed_1_5r,固定TP 1.5R,23,69.56521739130434,16.293923667086585,0.7084314637863732,3.6167032811714703,2.1522328484954576,2,19,63.1578947368421,11.630055310439266,0.6121081742336456,2.867714892546415,2.1522328484954576,2,4,100.0,4.66386835664732,1.16596708916183,inf,0.0,0
fixed_2r_current,現行に近い固定TP 2R,23,69.56521739130434,22.357372269526365,0.9720596638924507,4.590455593836852,2.1522328484954576,2,19,63.1578947368421,17.630055310439246,0.9278976479178551,3.8312777524082744,2.1522328484954576,2,4,100.0,4.727316959087123,1.1818292397717807,inf,0.0,0
fixed_3r,固定TP 3R,23,60.86956521739131,20.084082883715684,0.8732209949441602,3.432244703773194,3.062544720441308,4,19,52.63157894736842,14.016088483733235,0.737688867564907,2.697391769370633,3.062544720441308,4,4,100.0,6.067994399982455,1.5169985999956137,inf,0.0,0
be_after_2r_target_3r,2R到達後建値、3R目標,23,56.52173913043478,20.518092395373063,0.8920909737118723,4.275436829864885,2.1522328484954576,4,19,47.368421052631575,14.45009799539061,0.7605314734416111,3.3067633314650835,2.1522328484954576,4,4,100.0,6.067994399982455,1.5169985999956137,inf,0.0,0
partial_1r_half_rest_3r,1Rで半分利確、残り3R,23,82.6086956521739,16.55484982335802,0.7197760792764356,5.062381376093887,1.0539842287562833,1,19,78.94736842105263,12.194837745367167,0.6418335655456403,3.9924814945387124,1.0539842287562833,1,4,100.0,4.360012077990856,1.090003019497714,inf,0.0,0
atr_trail_3atr,ATR 3本分トレール,23,52.17391304347826,10.61876355484508,0.4616853719497861,4.073701489379983,1.9624620229870349,5,19,57.89473684210527,11.221087175770785,0.5905835355668835,5.510006257470649,1.1848357821576645,3,4,25.0,-0.6023236209257079,-0.15058090523142698,0.3769105604589685,0.32769426946309144,2
swing_trail_5,直近5本安値トレール,23,17.391304347826086,-1.4556070893396187,-0.06328726475389647,0.5179728619442427,1.8942002605981467,13,19,21.052631578947366,-1.0408513583317207,-0.05478165043851162,0.6004418526661051,1.479444529590249,9,4,0.0,-0.41475573100789787,-0.10368893275197447,0.0,0.3018589314036146,4
bb_mid_reversal,ミドル割れ撤退,23,34.78260869565217,1.8437602987162256,0.08016349124853155,1.413521590652464,2.0037987712107586,7,19,42.10526315789473,3.002743985948769,0.15803915715519837,1.910006262706473,1.5783108228891642,3,4,0.0,-1.1589836872325436,-0.2897459218081359,0.0,0.9249097318585047,4
h4_low_break_5,直近5本安値割れ撤退,23,47.82608695652174,3.7092369510082976,0.16127117178296946,2.3147092942033134,1.1385472863900317,4,19,57.89473684210527,4.500873215428839,0.2368880639699389,3.2175066823102996,0.5038001621994077,2,4,0.0,-0.7916362644205409,-0.19790906610513523,0.0,0.557562309046502,4
time_exit_40,40本時間切れ,23,60.86956521739131,10.46327475551783,0.4549249893703404,3.422991583567797,1.2725405582951737,3,19,57.89473684210527,9.484697602393927,0.49919461065231197,3.230043730548949,1.2725405582951737,3,4,75.0,0.9785771531239006,0.24464428828097515,16.012362730847684,0.0651847527713344,1
