pattern,note,all_count,loss_count,loss_share_pct,pattern_win_rate,pattern_avg_r,pattern_total_r
BB幅が4ATR超,ボラ拡大後,23,11,61.111111111111114,52.17391304347826,0.4430453524372037,10.190043106055686
単独rebreak,停滞なし再ブレイク,25,11,61.111111111111114,56.00000000000001,0.5723043229216137,14.307608073040344
EMA20傾き<=0,H4方向が逆/停滞,21,8,44.44444444444444,61.904761904761905,0.6300713301247277,13.231497932619282
BB幅が5ATR超,かなり過熱,11,5,27.77777777777778,54.54545454545454,0.32659628796696666,3.592559167636633
MACD slope3<=0.03,再加速が弱い,10,5,27.77777777777778,50.0,0.4772845881242599,4.772845881242599
ATR percentile>=80,高ボラ環境,13,4,22.22222222222222,69.23076923076923,1.028716936078879,13.373320169025426
stagnation+rebreak,両方成立,8,2,11.11111111111111,75.0,1.1028438082956291,8.822750466365033
BB位置が高すぎる,過熱域での買い,0,0,0.0,0.0,0.0,0.0
Chop>=55,レンジ・乱高下,4,0,0.0,100.0,1.9890321133755715,7.956128453502286
ADX<15,トレンド弱い,6,0,0.0,100.0,1.9905137447356314,11.943082468413788
