case,notes,all_trades,all_win_rate,all_total_r,all_avg_r,all_pf,all_max_dd_r,all_max_losing_streak,research_trades,research_win_rate,research_total_r,research_avg_r,research_pf,research_max_dd_r,research_max_losing_streak,oos_trades,oos_win_rate,oos_total_r,oos_avg_r,oos_pf,oos_max_dd_r,oos_max_losing_streak,oos_positive,oos_avg_retention
00 Broad T5 universe,V候補後にstagnation/rebreak。追加フィルタなし,303,45.54455445544555,47.85221035952918,0.15792808699514582,1.3095814728968929,13.183826954134476,10,266,43.609022556390975,36.38719157577585,0.1367939532923904,1.2593498613370964,13.183826954134476,10,37,59.45945945945946,11.46501878375334,0.3098653725338741,1.8034864880143566,2.0235387466777137,2,True,2.265197876630935
01 Full strict practical,"BB<=0.95, recovery<=16, MACD>0, BB幅<=4ATR, 弱い単独rebreak除外",23,69.56521739130434,22.35120539601785,0.9717915389572979,4.589465232124472,2.1522328484954576,2,19,63.1578947368421,17.632965304922262,0.9280508055222243,3.831745079509313,2.1522328484954576,2,4,100.0,4.7182400910955895,1.1795600227738974,inf,0.0,0,True,1.271008026451899
LOO remove BB<=0.95,BB上限だけ外す,28,64.28571428571429,23.22800290555528,0.8295715323412599,3.503680320295314,2.1522328484954576,3,24,58.333333333333336,18.50976281445969,0.7712401172691538,2.9951146502058217,2.1522328484954576,3,4,100.0,4.7182400910955895,1.1795600227738974,inf,0.0,0,True,1.529432917663235
LOO remove recovery<=16,回復本数上限だけ外す,31,64.51612903225806,24.50613508232698,0.7905204865266768,3.3895899146367516,2.1522328484954576,2,25,60.0,19.403270314196533,0.7761308125678613,3.0979571165385145,2.1522328484954576,2,6,83.33333333333334,5.102864768130448,0.8504774613550747,6.0687871643139415,1.0067230291412557,1,True,1.0957913892649545
LOO remove MACD>0,MACD slope3プラスだけ外す,28,64.28571428571429,21.196454468891186,0.7570162310318281,3.282574680055091,3.1631773331567565,3,22,59.09090909090909,16.74973552709961,0.761351614868164,3.0215994430029327,3.1631773331567565,3,6,83.33333333333334,4.4467189417915804,0.7411198236319301,5.443092182913923,1.0008162691045674,1,True,0.9734264814822291
LOO remove BB幅<=4ATR,BB幅上限だけ外す,46,60.86956521739131,32.54124850207354,0.707418445697251,2.962501157860805,5.452122576790395,6,41,56.09756097560976,25.833751578490585,0.6300915019144046,2.557984703059123,5.452122576790395,6,5,100.0,6.707496923582957,1.3414993847165912,inf,0.0,0,True,2.1290548763802066
LOO remove weak rebreak guard,弱い単独rebreak除外だけ外す,26,69.23076923076923,25.290530909917905,0.9727127273045348,4.488490536650301,2.1522328484954576,2,22,63.63636363636363,20.57229081882232,0.9351041281282874,3.837672411635129,2.1522328484954576,2,4,100.0,4.7182400910955895,1.1795600227738974,inf,0.0,0,True,1.2614210410287836
Only stagnation,Full条件 + stagnation単独,4,50.0,1.836549313419082,0.4591373283547705,1.8533227781106223,1.0982486197391743,2,4,50.0,1.836549313419082,0.4591373283547705,1.8533227781106223,1.0982486197391743,2,0,0.0,0.0,0.0,,0.0,0,False,0.0
Only rebreak,Full条件 + rebreak単独,15,66.66666666666666,12.557858546472817,0.8371905697648544,4.0819423269898545,2.035395872710497,2,11,54.54545454545454,7.839618455377229,0.7126925868524754,2.9239945931596902,2.035395872710497,2,4,100.0,4.7182400910955895,1.1795600227738974,inf,0.0,0,True,1.6550754764873985
Only stagnation+rebreak,Full条件 + 両方重なる,4,100.0,7.956797536125952,1.989199384031488,inf,0.0,0,4,100.0,7.956797536125952,1.989199384031488,inf,0.0,0,0,0.0,0.0,0.0,,0.0,0,False,0.0
