pre_break_regime,trigger_mode,filter,filter_notes,all_trades,all_win_rate,all_total_r,all_avg_r,all_pf,all_max_dd_r,all_max_losing_streak,train_trades,train_win_rate,train_total_r,train_avg_r,train_pf,train_max_dd_r,train_max_losing_streak,test_trades,test_win_rate,test_total_r,test_avg_r,test_pf,test_max_dd_r,test_max_losing_streak,oos_trades,oos_win_rate,oos_total_r,oos_avg_r,oos_pf,oos_max_dd_r,oos_max_losing_streak,avg_mfe_r,hit_1r_rate,hit_1_5r_rate,hit_2r_rate,giveback_1r_to_loss_rate,giveback_1_5r_to_loss_rate,score
mixed_or_wide_range,either,ADX30_RISK_LE3_BBW3_12,ADX>=30 + risk<=3H1ATR + BB幅3-12H1ATR,136,52.20588235294118,70.80899709302292,0.5206543903898745,2.039535290883469,18.46876485865063,15,95,58.94736842105262,69.12768776913639,0.7276598712540673,2.6965202570592783,14.463424394235041,13,41,36.58536585365854,1.68130932388652,0.04100754448503707,1.0614305725058408,18.46876485865061,15,0,0.0,0.0,0.0,,0.0,0,1.501483850535766,59.55882352941176,55.14705882352941,52.20588235294118,7.352941176470589,2.941176470588235,72.33152991946706
mixed_or_wide_range,rebreak,ADX30_RISK_LE3_BBW3_12,ADX>=30 + risk<=3H1ATR + BB幅3-12H1ATR,111,47.74774774774775,42.716921542588715,0.3848371310143127,1.7000143970067187,14.453241990204297,13,76,50.0,34.91398226676502,0.459394503510066,1.8809771638356103,14.453241990204297,13,31,41.935483870967744,5.933436128357948,0.19140116543090155,1.306643457358317,10.468030681869312,5,4,50.0,1.869503147465748,0.467375786866437,1.9153821941377678,2.0423197648351703,2,1.4191336475967737,54.95495495495496,51.35135135135135,47.74774774774775,7.207207207207207,3.6036036036036037,49.46309732013115
mixed_or_wide_range,either,ADX25_RISK_LE4_BBW3_14,ADX>=25 + risk<=4H1ATR + BB幅3-14H1ATR,316,41.77215189873418,63.65254872085047,0.201432116205223,1.3329023185801665,33.841235282801335,26,213,47.88732394366197,80.45106429549836,0.37770452720891246,1.69480564709797,29.587924137411797,26,86,32.55813953488372,-5.586722649110731,-0.06496189126872944,0.9073153192972313,33.84123528280133,21,17,11.76470588235294,-11.211792925537145,-0.6595172309139496,0.2594059912161001,15.138919289865155,15,1.2603935540937639,51.26582278481012,45.25316455696203,40.822784810126585,9.49367088607595,4.430379746835443,47.626803504618316
mixed_or_wide_range,rebreak,ADX25_RISK_LE4_BBW3_14,ADX>=25 + risk<=4H1ATR + BB幅3-14H1ATR,257,40.46692607003891,43.51418925681701,0.16931591150512457,1.2730771391971514,28.83630976061248,25,178,44.9438202247191,53.68722266941218,0.3016136105023156,1.5250500165374512,28.83630976061248,25,62,35.483870967741936,1.0530833347408377,0.016985215076465124,1.0250984906095904,24.38407775015854,12,17,11.76470588235294,-11.226116747335993,-0.6603598086668231,0.25841184469318623,10.220211741979416,10,1.2790413798387157,50.97276264591439,45.525291828793776,40.07782101167315,10.505836575875486,5.447470817120623,38.51915260357055
mixed_or_wide_range,either,GBP_ADX25_RISK_LE4_BBW3_14,GBPJPY + ADX>=25 + risk<=4H1ATR + BB幅3-14H1ATR,42,59.523809523809526,28.86233932789478,0.6871985554260662,2.6591406653457006,7.178954598038342,6,30,73.33333333333333,32.119760600297,1.0706586866765666,4.901765215560059,4.13620452350338,4,11,27.27272727272727,-2.251970127626428,-0.204724557056948,0.723968996424117,6.173503453262558,5,1,0.0,-1.0054511447757852,-1.0054511447757852,0.0,0.0,1,1.5920086268145321,71.42857142857143,61.904761904761905,54.761904761904766,11.904761904761903,7.142857142857142,26.773171412283446
range_support_break,rebreak,GBP_ADX25_RISK_LE4_BBW3_14,GBPJPY + ADX>=25 + risk<=4H1ATR + BB幅3-14H1ATR,8,87.5,12.815148591872498,1.6018935739840623,13.065956644679172,1.0620913839868393,1,6,83.33333333333334,8.846008807857991,1.4743348013096653,9.328858459101866,1.0620913839868393,1,1,100.0,1.980903542664965,1.980903542664965,inf,0.0,0,1,100.0,1.9882362413495407,1.9882362413495407,inf,0.0,0,2.7564300660527876,100.0,87.5,87.5,12.5,0.0,23.334284293009997
mixed_or_wide_range,stagnation,GBP_ADX25_RISK_LE4_BBW3_14,GBPJPY + ADX>=25 + risk<=4H1ATR + BB幅3-14H1ATR,18,72.22222222222221,17.76564815562611,0.9869804530903394,4.470211976432813,5.119470590349419,5,17,76.47058823529412,18.78498819898614,1.104999305822714,5.581558558612099,4.100130546989387,4,1,0.0,-1.0193400433600301,-1.0193400433600301,0.0,0.0,1,0,0.0,0.0,0.0,,0.0,0,1.5948039332625212,77.77777777777779,66.66666666666666,61.111111111111114,5.555555555555555,5.555555555555555,21.68070624480089
range_support_break,rebreak,ADX30_RISK_LE3_BBW3_12,ADX>=30 + risk<=3H1ATR + BB幅3-12H1ATR,20,55.00000000000001,11.553680318495191,0.5776840159247596,2.1907447448264636,6.465029810324235,6,14,50.0,6.033487141415762,0.430963367243983,1.8001915997040048,6.465029810324235,6,6,66.66666666666666,5.520193177079431,0.9200321961799052,3.5522779380130527,1.1282805188428733,1,0,0.0,0.0,0.0,,0.0,0,1.9463966696510036,75.0,70.0,55.00000000000001,20.0,15.0,21.06313548693495
range_support_break,rebreak,ADX25_RISK_LE4_BBW3_14,ADX>=25 + risk<=4H1ATR + BB幅3-14H1ATR,46,47.82608695652174,14.39359143283803,0.3129041615834354,1.5778720598466747,8.801034972443565,8,33,48.484848484848484,9.63561411620082,0.29198830655154,1.535394423479724,8.801034972443565,8,8,50.0,3.7919784789249555,0.47399730986561944,1.9745350479743051,1.8029475274815623,2,5,40.0,0.9659988377122555,0.1931997675424511,1.3199062480316093,2.013022514042741,2,1.5650222363689639,65.21739130434783,54.347826086956516,43.47826086956522,17.391304347826086,10.869565217391305,19.573195570617504
range_support_break,either,ADX30_RISK_LE3_BBW3_12,ADX>=30 + risk<=3H1ATR + BB幅3-12H1ATR,27,48.148148148148145,10.343765722161686,0.38310243415413653,1.6965749247377113,6.465029810324235,6,14,50.0,6.033487141415762,0.430963367243983,1.8001915997040048,6.465029810324235,6,13,46.15384615384615,4.310278580745926,0.3315598908266097,1.5896887452484985,3.141507715735134,3,0,0.0,0.0,0.0,,0.0,0,1.7095836020210728,62.96296296296296,59.25925925925925,48.148148148148145,14.814814814814813,11.11111111111111,17.128827227829994
