symbol,signal_time,entry_time,base_exit_time,base_exit_reason,trigger_type,lookback_bars,support_age_bars,prior_low,zone_low,zone_high,break_depth_atr,break_close_location,risk_atr_at_signal,base_target_2r,base_r_after_cost
AUDJPY,2016-06-27 12:00:00,2016-06-27 16:00:00,2016-06-29 08:00:00,SL,stagnation,120,34,75.588,75.027,76.137,0.2111284415581063,0.2925170068027191,1.4099242720419092,71.47804801963872,-1.0075735727598318
AUDJPY,2019-07-29 00:00:00,2019-07-29 04:00:00,2019-07-29 12:00:00,SL,rebreak+stagnation,120,108,75.132,74.996,75.118,0.2592352284371478,0.4274809160305136,1.3415167513143529,74.56470749220875,-1.0635659197790948
AUDJPY,2024-07-22 00:00:00,2024-07-22 04:00:00,2024-07-22 12:00:00,TP,stagnation,120,1,105.25,105.159,105.424,0.3114400937986782,0.1456310679611734,1.332763690589786,104.14221736486316,1.972581184334328
CHFJPY,2017-01-17 04:00:00,2017-01-17 08:00:00,2017-01-17 12:00:00,SL,rebreak+stagnation,120,9,112.981,112.642,112.988,0.179191510986644,0.2240663900415025,1.3149095510064477,111.5326782472714,-1.0386353323443651
CHFJPY,2019-04-22 12:00:00,2019-04-22 16:00:00,2019-04-23 08:00:00,TP,stagnation,120,114,110.368,110.251,110.382,0.1765504229952488,0.4125874125873931,1.3160929388555531,109.8343666448403,1.897339384654003
CHFJPY,2024-11-28 20:00:00,2024-11-29 00:00:00,2024-11-29 16:00:00,TP,stagnation,120,1,172.027,171.446,171.878,0.2562771231752966,0.4119850187265959,1.3645074891577176,169.94031932245522,1.9709234848952353
EURJPY,2021-11-10 00:00:00,2021-11-10 04:00:00,2021-11-10 08:00:00,SL,stagnation,120,120,130.74,130.7,130.95,0.07663187162604,0.1111111111111228,1.284530266952424,130.06950599290082,-1.0396514474657723
EURJPY,2022-03-03 08:00:00,2022-03-03 12:00:00,2022-03-03 20:00:00,TP,stagnation,120,116,128.34,128.2,128.56,0.1549807916037126,0.0,1.102394353820563,127.01190349922672,1.97764057039559
GBPJPY,2016-10-10 00:00:00,2016-10-10 04:00:00,2016-10-11 16:00:00,TP,stagnation,120,48,129.65,127.93,128.59,0.4250066672028016,0.1066666666666664,1.3762676680874246,124.93941914695992,1.9845594473713952
GBPJPY,2018-05-25 04:00:00,2018-05-25 08:00:00,2018-05-29 04:00:00,TP,stagnation,120,68,147.01,146.07,146.69,0.1733934361430086,0.2318840579710103,1.4007018944037537,144.21280229503824,1.9772364829028537
GBPJPY,2023-12-13 08:00:00,2023-12-13 12:00:00,2023-12-13 16:00:00,TP,stagnation,120,73,184.45,182.48,183.09,0.2058476696193535,0.2307692307692349,1.4217482732179283,180.4642325195121,1.97844557552574
GBPJPY,2025-01-15 04:00:00,2025-01-15 08:00:00,2025-01-17 04:00:00,TP,stagnation,120,3,192.197,192.282,192.986,0.4238563482934323,0.4872465663832611,1.4891428761583283,189.362249948982,1.9843734742835315
SILVER,2015-11-03 08:00:00,2015-11-03 12:00:00,2015-11-05 04:00:00,TP,stagnation,120,1,15.367,15.374,15.464,0.3241966145268217,0.368421052631578,1.3420307015640232,15.030393589110329,1.77317386311516
SILVER,2016-05-20 12:00:00,2016-05-20 16:00:00,2016-05-30 00:00:00,TP,stagnation,120,3,16.688,16.467,16.58,0.1617989346632248,0.161016949152543,1.143130119341032,16.079743619876012,1.8051530776549
SILVER,2017-12-11 12:00:00,2017-12-11 16:00:00,2017-12-13 16:00:00,SL,stagnation,120,3,15.904,15.812,15.874,0.4594063001408316,0.2857142857142785,1.4589639477390297,15.53564227374728,-1.292449302121513
SILVER,2021-08-12 08:00:00,2021-08-12 12:00:00,2021-08-13 12:00:00,SL,stagnation,120,48,24.481,23.372,23.561,0.073217978582125,0.0375939849624244,1.188105350583572,22.82173721844115,-1.1322594416970484
XAUUSD,2015-06-05 08:00:00,2015-06-05 12:00:00,2015-06-05 12:00:00,TP,stagnation,120,111,1178.891,1175.052,1178.579,0.2092987441803503,0.2376088915590122,1.2041995219039854,1162.8105706016995,1.938060932353784
XAUUSD,2017-06-21 12:00:00,2017-06-21 16:00:00,2017-06-21 20:00:00,SL,stagnation,120,1,1247.412,1244.459,1247.801,0.0856851299377142,0.5247426104284106,1.2034418094883286,1234.8893449870468,-1.0756784981731753
