symbol,timeframe,strategy,trigger_mode,lookback_bars,lookback_months,lookback_label,signal_time,entry_i,support_age_bars,support_age_months,support_age_ratio,support_touch_bars_0_5atr,support_touch_clusters_0_5atr,pre_break_range_width_atr,pre_break_net_move_atr,pre_break_efficiency,pre_break_slope_atr_per_100,pre_break_regime,support_age_bucket,direction,trigger_type,break_i,trigger_i,prior_low,break_low,low_extreme,pullback_high,bars_after_break,pullback_atr,break_depth_atr,trigger_level,risk_atr_at_signal,open,high,low,close,atr,body_ratio,ema20,ema50,ema200,ema20_slope_10_atr,rsi14,adx14,bb_width_atr,bb_pos,atr_ratio_50,atr_pctile_252,close_location,range5_atr,macd,macd_signal,macd_hist,macd_hist_slope3,entry_time,entry,stop,base_target_2r,base_exit_time,base_exit,base_exit_reason,base_bars_held,risk,base_r_clean,base_r_after_cost,base_mfe_r,base_mae_r,period,year,zone_high,zone_low,zone_mid,zone_range_atr,zone_body_avg_atr,zone_close_drift_atr,zone_high_drift_atr,zone_low_drift_atr,zone_closes_below_mid,break_body_atr,break_body_ratio,break_close_location,broke_prior_low_atr,zone_high_vs_prior_low_atr,zone_low_vs_prior_low_atr,mfe_3bar_r,mfe_6bar_r,mae_3bar_r,mae_6bar_r,hit_1r_bar_48,hit_1r_within_3,hit_1r_within_6,retest_zone_low_3,retest_zone_mid_6,retest_zone_high_6,stopped_within_6,mid_retest_exit_time,mid_retest_exit_price,mid_retest_exit_reason,mid_retest_exit_r_clean,mid_retest_exit_r_after_cost,mgmt_fixed_1_5R_r_after_cost,mgmt_fixed_1_5R_reason,mgmt_fixed_1_5R_bars_held,mgmt_fixed_2R_no_1R_by_6bars_r_after_cost,mgmt_fixed_2R_no_1R_by_6bars_reason,mgmt_fixed_2R_no_1R_by_6bars_bars_held,mgmt_fixed_2R_no_1R_by_12bars_r_after_cost,mgmt_fixed_2R_no_1R_by_12bars_reason,mgmt_fixed_2R_no_1R_by_12bars_bars_held,mgmt_BE_after_1R_to_2R_r_after_cost,mgmt_BE_after_1R_to_2R_reason,mgmt_BE_after_1R_to_2R_bars_held,mgmt_half_1R_BE_rest_2R_r_after_cost,mgmt_half_1R_BE_rest_2R_reason,mgmt_half_1R_BE_rest_2R_bars_held,mgmt_half_1R_trail1ATR_rest_2R_r_after_cost,mgmt_half_1R_trail1ATR_rest_2R_reason,mgmt_half_1R_trail1ATR_rest_2R_bars_held,zone_range_bucket,break_depth_bucket,break_close_location_bucket,break_body_bucket,zone_drift_bucket,risk_bucket,bb_width_bucket,bb_pos_bucket,bars_after_break_bucket,followthrough_bucket,retest_bucket,hit_1r_by_12,r_mid6_then_no12,r_no12_if_mid_retest,r_no_1r_by_4bars,r_no_1r_by_6bars,r_no_1r_by_8bars,r_no_1r_by_10bars,r_no_1r_by_12bars,r_no_1r_by_16bars,r_no_1r_by_20bars,r_no_1r_by_24bars,prev_d1_time,prev_d1_close,prev_d1_ema20,prev_d1_ema50,prev_d1_ema200,prev_d1_ema20_slope_10_atr,prev_d1_rsi14,prev_d1_adx14,prev_d1_bb_width_atr,prev_d1_bb_pos,prev_d1_macd_hist,prev_d1_macd_hist_slope3,prev_d1_atr_pctile_252,prev_d1_close_location,prev_d1_close_below_ema20,prev_d1_close_below_ema50,prev_d1_ema20_below_ema50,prev_d1_stack_down,prev_d1_stack_strong_down,prev_d1_macd_bear,prev_d1_macd_falling,prev_d1_rsi_lt50,prev_d1_rsi_35_55,prev_d1_adx_ge18,prev_d1_adx_ge22,prev_d1_bbpos_lt50,prev_d1_close_loc_lt50,h1_lh_confirm_after_break_full,h1_lh_rebreak_24
XAUUSD,H4,L120_STAG,stagnation,120,1.0,1m,2015-06-05 08:00:00,2275,111,0.925,0.925,7,3,9.678890050487286,-0.8472968235371553,0.0189426456534763,-2.557695418886488,mixed_or_wide_range,02_60-119bars,short,stagnation,2269,2274,1178.891,1172.908,1172.908,1183.701,5,2.279476635659515,0.2092987441803503,1174.061,1.2041995219039854,1176.208,1176.599,1173.27,1174.061,4.734858796601531,0.6449384199459879,1182.67165498927,1188.5032686363502,1195.7299268276367,-1.6090386610989902,28.79723906024049,30.751431599741498,5.788494312563242,0.1016521371970484,1.0301790875130798,17.857142857142858,0.2376088915590122,1.1423783120802762,-4.1052779961398755,-3.0177781192040065,-1.087499876935869,0.2001291572147523,2015-06-05 12:00:00,1174.112,1179.7627146991504,1162.8105706016995,2015-06-05 12:00:00,1162.8105706016995,TP,0,5.650714699150285,2.0,1.938060932353784,2.0123118234424373,0.1339653548804484,train_2015_2020,2015,1178.579,1175.052,1176.8155,0.7449007777236283,0.1694524309593483,-0.308140128919423,0.1159485474823506,-0.1347453065460104,1,0.4534454124674598,0.6449384199459879,0.2376088915590122,1.02009377839671,-0.0658942564927311,-0.8107950342163595,2.0123118234424373,2.0123118234424373,0.1339653548804484,0.6137276759913822,0,True,True,False,True,False,False,2015-06-05 12:00:00,1162.8105706016995,TP,2.0,1.938060932353784,1.438060932353784,TP,0,1.938060932353784,TP,0,1.938060932353784,TP,0,1.938060932353784,TP,0,1.438060932353784,TP,0,1.438060932353784,TP,0,02_wide_0.70-1.00,02_strong_0.20-0.40,00_close_near_low,02_large_body,00_drifting_down,01_1-1.5ATR,02_5-8ATR,01_0-0.25,00_<=12,00_hit_1r_<=3,01_mid_retest_6,True,1.938060932353784,1.938060932353784,1.938060932353784,1.938060932353784,1.938060932353784,1.938060932353784,1.938060932353784,1.938060932353784,1.938060932353784,1.938060932353784,2015-06-04,1177.708,1194.4472462250972,1197.0738257237292,1212.0534185100366,-0.7993925317223295,37.167574067729035,10.972169413682149,4.674217883374981,0.08306919191019405,-2.581883309299002,-0.04581120871468336,20.634920634920633,0.3619363595234595,True,True,True,True,True,True,True,True,True,False,False,True,True,False,True
SILVER,H4,L120_STAG,stagnation,120,1.0,1m,2015-11-03 08:00:00,2937,1,0.0083333333333333,0.0083333333333333,3,2,7.509866254330956,-1.70782745276156,0.0301237224314147,-1.082231316065872,trend_continuation_break,00_<=24bars,short,stagnation,2931,2936,15.367,15.259,15.259,15.464,5,1.7489554204736322,0.3241966145268217,15.336,1.3420307015640232,15.385,15.396,15.301,15.336,0.1172128217793477,0.5157894736842017,15.513689536158942,15.66176343433488,15.527048339764113,-1.6164394184471096,33.76561624163145,32.30661695073879,4.217741232048751,0.1580519570066215,0.9043213638258863,18.253968253968253,0.368421052631578,1.4247588059468104,-0.115789835226959,-0.1099190482246564,-0.0058707870023026,0.0091999732240308,2015-11-03 12:00:00,15.339,15.493303205444835,15.030393589110329,2015-11-05 04:00:00,15.030393589110329,TP,10,0.1543032054448367,2.0,1.77317386311516,2.2812228623846695,0.1620186692034588,train_2015_2020,2015,15.464,15.374,15.419,0.7678340870372029,0.338415764286762,-0.1620983072633957,0.2644761855350419,-0.1023778782716159,2,0.4180430029424734,0.5157894736842017,0.368421052631578,0.2644761855350419,0.8275545160289827,0.0597204289917797,0.8813815604668105,0.8813815604668105,0.1620186692034589,0.1620186692034589,6,False,True,False,False,False,False,2015-11-05 04:00:00,15.030393589110329,TP,1.9999999999999896,1.7731738631151497,1.2731738631151517,TP,7,1.7731738631151577,TP,10,1.7731738631151577,TP,10,1.7731738631151577,TP,10,1.2731738631151577,TP,10,1.2731738631151577,TP,10,02_wide_0.70-1.00,02_strong_0.20-0.40,01_lower_mid,01_medium_body,01_flat,01_1-1.5ATR,01_3-5ATR,01_0-0.25,00_<=12,01_hit_1r_<=6,00_no_mid_retest_6,True,1.77317386311516,1.77317386311516,0.3240373384069213,1.7731738631151577,1.7731738631151577,1.7731738631151577,1.7731738631151577,1.7731738631151577,1.7731738631151577,1.7731738631151577,2015-11-02,15.399,15.665022033567464,15.461797206235095,15.740715327861672,0.022132734610390326,42.90946193593586,18.259425582044184,2.6619092862914493,-0.03447581316258754,-0.08786957445560481,-0.032920601845196934,8.333333333333332,0.48109965635738355,True,True,False,False,False,True,True,True,True,True,False,True,True,False,False
GBPJPY,H4,L090_STAG,stagnation,90,0.75,0.75m,2016-09-19 08:00:00,5869,84,0.7,0.9333333333333332,9,2,8.17507670577877,-0.1942888430989827,0.0054507337526215,-0.1829702282591156,range_support_break,02_60-119bars,short,rebreak+stagnation,5863,5868,133.32,133.09,132.9,133.42,5,0.9092644366128386,0.1224009818517206,132.83,1.281665418464571,133.23,133.29,132.79,132.83,0.5718908373201842,0.7999999999999545,134.1577141076002,134.93869250916856,135.2408742535729,-2.2386895836772966,29.346839926911528,32.84650536386132,7.335864473588095,0.1136164956699769,0.9897901543350476,50.79365079365079,0.0800000000000409,1.101608836665585,-0.7122122298000022,-0.5515721304720035,-0.1606400993279987,0.0591564871778525,2016-09-19 12:00:00,132.84,133.56297270933004,131.39405458133993,2016-09-21 04:00:00,131.39405458133993,TP,10,0.7229727093300369,2.0,1.9723364385102236,2.088598892480015,0.5117758875613376,train_2015_2020,2016,133.42,132.9,133.16,0.9092644366128386,0.2972595273542189,0.314745381904467,0.2972595273541857,0.104915127301489,2,0.6994341820098605,0.7999999999999545,0.0800000000000409,0.8568068729620941,0.1748585455024651,-0.7344058911103735,0.5809347912858576,1.1618695825716758,0.4011216416021135,0.4011216416021135,5,False,True,True,False,False,False,2016-09-21 04:00:00,131.39405458133993,TP,2.0,1.9723364385102236,1.472336438510243,TP,6,1.9723364385102236,TP,10,1.9723364385102236,TP,10,-0.0276635614897765,SL_or_BE,10,0.4723364385102234,SL_or_BE,10,0.5887360164905926,SL_or_BE,10,02_wide_0.70-1.00,01_clean_0.05-0.20,00_close_near_low,02_large_body,02_drifting_up,01_1-1.5ATR,02_5-8ATR,01_0-0.25,00_<=12,01_hit_1r_<=6,00_no_mid_retest_6,True,1.9723364385102236,1.9723364385102236,0.484112326071561,1.9723364385102236,1.9723364385102236,1.9723364385102236,1.9723364385102236,1.9723364385102236,1.9723364385102236,1.9723364385102236,2016-09-18,133.1,134.9155811160801,135.8246300370859,149.10288582563646,0.0056195945670508675,40.33203436308171,16.01479596205016,4.624288790055748,0.11613665635360974,-0.3572493162177168,-0.34714735375338807,13.492063492063492,0.5714285714285482,True,True,True,True,True,True,True,True,True,False,False,True,False,False,True
SILVER,H4,L180_STAG,stagnation,180,1.5,1.5m,2016-11-16 08:00:00,4593,3,0.025,0.0166666666666666,10,2,5.638239352663228,-2.4913825123136446,0.0624046494733019,1.462649072764568,trend_continuation_break,00_<=24bars,short,stagnation,4581,4592,17.043,16.654,16.654,17.253,11,2.357714295725089,0.2164846181383765,16.929,1.4229530219133286,17.025,17.074,16.918,16.929,0.2540596208311085,0.6153846153846066,17.282502027882295,17.690528806871246,18.04007492114075,-1.7603439357434525,35.57592804065085,36.24626870803687,6.514918258845915,0.3360598948781637,1.0333692940202337,90.07936507936508,0.0705128205128145,1.2162499455409927,-0.2992932832190966,-0.326655404453532,0.0273621212344353,0.0270146448915549,2016-11-16 12:00:00,16.93,17.29051490520778,16.20897018958444,2016-11-23 12:00:00,16.20897018958444,TP,31,0.3605149052077792,2.0,1.9029166353612252,2.1302864012165363,0.4382620460836134,train_2015_2020,2016,17.227,16.984,17.1055,0.9564684037749464,0.4198489563895541,-0.1731876945106928,0.4605218240397953,-0.0944660151876392,2,0.3778640607505987,0.6153846153846066,0.0705128205128145,0.4487135721413386,0.7242394497719844,-0.2322289540029621,0.2135834022052985,0.2135834022052985,0.4243929939923528,0.4382620460836134,9,False,False,True,False,False,False,2016-11-23 12:00:00,16.20897018958444,TP,2.0,1.9029166353612252,1.4029166353612252,TP,31,-0.2524167480608163,no_progress_exit,6,1.9029166353612252,TP,31,1.9029166353612252,TP,31,1.4029166353612252,TP,31,0.6377995078772977,SL_or_BE,22,02_wide_0.70-1.00,02_strong_0.20-0.40,00_close_near_low,02_large_body,01_flat,01_1-1.5ATR,02_5-8ATR,02_0.25-0.50,00_<=12,02_no_fast_1r,00_no_mid_retest_6,True,1.9029166353612252,1.9029166353612252,-0.266285800152067,-0.2524167480608163,0.6268811545246548,1.9029166353612252,1.9029166353612252,1.9029166353612252,1.9029166353612252,1.9029166353612252,2016-11-15,17.071,17.827639744676908,18.118777643544654,17.902412712819654,-0.25788823102012176,36.23153800791705,22.5057089652953,4.166790840442876,0.0740698608516435,-0.11437953403241766,-0.13058430677585292,89.68253968253968,0.8348082595870276,True,True,True,True,False,True,True,True,True,True,True,True,False,False,False
GBPJPY,H4,L060_STAG,stagnation,60,0.5,0.5m,2018-11-16 16:00:00,9323,60,0.5,1.0,7,2,4.002207561242505,1.3266986390859306,0.0704225352112688,0.481491953066597,range_support_break,02_60-119bars,short,stagnation,9314,9322,145.82,144.55,144.24,145.4,8,1.5486222565016816,0.2937042210606631,144.59,1.3313655411778913,145.06,145.06,144.59,144.59,0.7490529050127577,1.0,146.02179833872236,146.67162531646034,146.63349199638284,-2.067622321249454,33.298877982420905,37.41918740075091,7.777710076704847,0.1713821667798714,1.2747049801661323,96.03174603174604,0.0,1.0813655411779046,-0.7391666257172176,-0.5512149444379557,-0.1879516812792618,0.084429783409292,2018-11-16 20:00:00,144.63,145.5872632262532,142.71547354749362,2018-11-22 08:00:00,145.5872632262532,SL,22,0.9572632262531896,-1.0,-1.020892894923232,0.6790190850056587,1.2640201428566848,train_2015_2020,2018,145.4,144.81,145.10500000000002,0.7876613201172415,0.1513021744857857,-0.040050575599183,0.3871555641254109,0.0400505755991451,3,0.6274590177205093,1.0,0.0,1.6420735995664295,-0.5607080583885249,-1.3483693785057664,0.1253573695395098,0.2611611865406357,0.2716076340022516,0.6581261900823971,-1,False,False,True,True,False,False,2018-11-19 08:00:00,145.10500000000002,mid_retest_exit_6,-0.4962062544272315,-0.5170991493504634,-1.0208928949232312,SL,22,-0.0417857898464921,no_progress_exit,6,0.5536617154661323,no_progress_exit,12,-1.0208928949232312,SL,22,-1.0208928949232312,SL,22,-1.0208928949232312,SL,22,02_wide_0.70-1.00,02_strong_0.20-0.40,00_close_near_low,02_large_body,01_flat,01_1-1.5ATR,02_5-8ATR,01_0-0.25,00_<=12,02_no_fast_1r,01_mid_retest_6,False,0.5536617154661323,0.5536617154661323,-0.3969650035417497,-0.0417857898464921,-0.156696711924353,-0.0522322373081077,0.5536617154661323,0.062678684769753,0.2193753966941357,-1.0208928949232312,2018-11-15,144.92,146.81395850526113,146.56211996452583,146.7043355449446,0.6487328566484674,42.030153032622515,19.7075032668416,5.345899996175587,0.3417753270195709,-0.04171046459215286,-0.21632650332394218,96.82539682539682,0.18784530386739712,True,True,False,False,False,True,True,True,True,True,False,True,True,False,False
CHFJPY,H4,L120_STAG,stagnation,120,1.0,1m,2019-04-22 12:00:00,8527,114,0.95,0.95,4,1,8.027968566261828,-5.311814098252063,0.0886839899413254,1.1915573891674915,mixed_or_wide_range,02_60-119bars,short,stagnation,8513,8526,110.368,110.206,110.172,110.457,13,1.9352642520625023,0.1765504229952488,110.225,1.3160929388555531,110.302,110.309,110.166,110.225,0.1472667103194091,0.5384615384616226,110.47355888027194,110.8230435157074,111.0528908952087,-2.11432580210044,31.861921268089816,43.44907153081055,6.464889745089878,0.2866212736698709,0.7810462596654358,0.3968253968253968,0.4125874125873931,1.4667265910369172,-0.2245417837741854,-0.2431160472095273,0.0185742634353418,0.0157637711522857,2019-04-22 16:00:00,110.224,110.41881667757984,109.8343666448403,2019-04-23 08:00:00,109.8343666448403,TP,4,0.1948166775798512,2.0,1.897339384654003,2.8077678297115676,0.102660615345924,train_2015_2020,2019,110.382,110.251,110.3165,0.8895425158603204,0.1991850926099302,0.2376640309550238,-0.4956992645634347,-0.1018560132664525,3,0.5228608681011876,0.5384615384616226,0.4125874125873931,0.9710273264734824,0.0950656123820867,-0.7944769034782336,1.7965607685540732,3.9678327831208096,0.1026606153459241,0.1026606153459241,2,True,True,False,False,False,False,2019-04-23 08:00:00,109.8343666448403,TP,2.0000000000000004,1.8973393846540032,1.3973393846539954,TP,2,1.8973393846539952,TP,4,1.8973393846539952,TP,4,-0.1026606153460045,TP1_then_BE_same_bar,2,0.3973393846539954,TP1_then_BE_same_bar,2,0.3973393846539954,TP1_then_BE_same_bar,2,02_wide_0.70-1.00,01_clean_0.05-0.20,01_lower_mid,01_medium_body,02_drifting_up,01_1-1.5ATR,02_5-8ATR,02_0.25-0.50,01_13-24,00_hit_1r_<=3,00_no_mid_retest_6,True,1.897339384654003,1.897339384654003,1.8973393846539952,1.8973393846539952,1.8973393846539952,1.8973393846539952,1.8973393846539952,1.8973393846539952,1.8973393846539952,1.8973393846539952,2019-04-21,110.316,111.04068689133437,111.0566958594852,111.65785676063541,-0.6776554708765725,37.61459458490124,15.852600484101126,4.5216340252047615,0.03259306474181849,-0.15854087474391249,-0.08935028552608941,0.7936507936507936,0.7315436241611288,True,True,True,True,True,True,True,True,True,False,False,True,False,True,False
CHFJPY,H4,L060_STAG,stagnation,60,0.5,0.5m,2020-01-28 08:00:00,9759,1,0.0083333333333333,0.0166666666666666,3,2,8.086852635793056,-0.5600548520066739,0.0241051862673492,-4.968307625854713,trend_continuation_break,00_<=24bars,short,stagnation,9749,9758,112.476,112.134,112.134,112.567,9,1.957727056103304,0.2034589319276062,112.149,1.3531995420073977,112.329,112.421,112.131,112.149,0.2211748561425328,0.620689655172375,112.564469955925,112.90159335543812,112.23783630227018,-2.1693105829235155,27.04467039064498,40.43602148899669,5.942726432454857,0.1804581107833646,1.039353681363854,65.47619047619048,0.0620689655172423,1.3111797835334411,-0.2808784299086966,-0.2804156068815031,-0.0004628230271935,0.0187852884717229,2020-01-28 12:00:00,112.153,112.44829371403564,111.56241257192876,2020-01-31 00:00:00,112.44829371403564,SL,15,0.2952937140356226,-1.0,-1.0677291762383996,1.415539783381847,1.2089657958548103,train_2015_2020,2020,112.393,112.194,112.2935,0.899740610079816,0.0753551599731589,0.1085114303613257,0.0,0.1220753591565637,0,0.8138357277103608,0.620689655172375,0.0620689655172423,1.4784682386738746,-0.3752686966664523,-1.2750093067462684,0.538446951095021,1.1005991138734388,0.5011959041638869,0.5011959041638869,5,False,True,True,True,False,False,2020-01-28 20:00:00,112.2935,mid_retest_exit_6,-0.475797463074475,-0.5435266393128746,-1.0677291762383962,SL,15,-1.0677291762383962,SL,15,-1.0677291762383962,SL,15,-0.0677291762383962,SL_or_BE,11,0.4322708237616037,SL_or_BE,11,0.4322708237616037,SL_or_BE,11,02_wide_0.70-1.00,02_strong_0.20-0.40,00_close_near_low,02_large_body,01_flat,01_1-1.5ATR,02_5-8ATR,01_0-0.25,00_<=12,01_hit_1r_<=6,01_mid_retest_6,True,-1.0677291762383996,-1.0677291762383996,0.2912354578249498,-1.0677291762383962,-1.0677291762383962,-1.0677291762383962,-1.0677291762383962,-1.0677291762383962,-1.0677291762383962,-1.0677291762383962,2020-01-27,112.305,112.76975314739752,111.95607787437976,110.44860081274466,0.9313819432920483,46.11194384653321,31.92870920238727,6.959169761220037,0.3416894993292482,-0.2137279235725642,-0.16558132754524868,57.53968253968254,0.4586776859504357,True,False,False,False,False,True,True,True,True,True,True,True,True,True,False
EURJPY,H4,L060_STAG,stagnation,60,0.5,0.5m,2020-04-02 08:00:00,9946,55,0.4583333333333333,0.9166666666666666,3,3,6.026405413714484,-1.237421911616034,0.0373605046094126,2.0341867187345626,mixed_or_wide_range,01_25-59bars,short,stagnation,9940,9945,117.38,116.94,116.94,117.7,5,1.3918502425176809,0.1465105518439623,117.13,1.2938876818882583,117.27,117.42,117.07,117.13,0.5460357564225167,0.3999999999999918,118.2122511738232,118.8153828231514,119.22080820126476,-2.1058662360067673,32.76519796175167,37.8697775264587,6.558209006118389,0.1487031100111361,0.7973517574504068,49.2063492063492,0.1714285714285737,1.41016406149816,-0.6464039234364805,-0.5291523597468778,-0.1172515636896026,0.0675544275598493,2020-04-02 12:00:00,117.12,117.83650893910564,115.68698212178876,2020-04-06 00:00:00,117.83650893910564,SL,10,0.7165089391056227,-1.0,-1.0174457000014427,1.1025682400921868,1.1583944800968429,train_2015_2020,2020,117.7,117.21,117.455,0.8973771300443049,0.2319750404196178,-0.2197658277659564,0.1098829138829782,-0.018313818980505,2,0.2563934657269405,0.3999999999999918,0.1714285714285737,0.4578454745123919,0.5860422073758752,-0.3113349226684296,1.1025682400921868,1.1025682400921868,0.4745230400396564,0.4745230400396564,0,True,True,True,True,False,False,2020-04-02 12:00:00,117.455,mid_retest_exit_6,-0.4675447600390794,-0.484990460040522,-1.0174457000014423,SL,10,-1.0174457000014423,SL,10,-1.0174457000014423,SL,10,-0.0174457000014423,TP1_then_BE_same_bar,0,0.4825542999985577,TP1_then_BE_same_bar,0,0.4825542999985577,TP1_then_BE_same_bar,0,02_wide_0.70-1.00,01_clean_0.05-0.20,00_close_near_low,01_medium_body,00_drifting_down,01_1-1.5ATR,02_5-8ATR,01_0-0.25,00_<=12,00_hit_1r_<=3,01_mid_retest_6,True,-1.0174457000014427,-1.0174457000014427,-1.0174457000014423,-1.0174457000014423,-1.0174457000014423,-1.0174457000014423,-1.0174457000014423,-1.0174457000014423,-1.0174457000014423,-1.0174457000014423,2020-04-01,117.4,119.15133180336235,119.48256111657386,120.42489027349305,0.21507111236089246,39.11695917639401,13.703456922909385,2.782923657934292,0.11159322264177556,-0.08358031506841068,-0.3191303342570494,96.42857142857143,0.24479166666666766,True,True,True,True,True,True,True,True,True,False,False,True,True,False,True
EURJPY,H4,L120_STAG,stagnation,120,1.0,1m,2022-03-03 08:00:00,13000,116,0.9666666666666668,0.9666666666666668,9,2,8.476151827289092,0.3539103059410698,0.0084317032040466,1.3883956112816331,range_support_break,02_60-119bars,short,stagnation,12968,12999,128.34,127.91,127.91,130.27,31,4.5719333523104595,0.1549807916037126,128.12,1.102394353820563,128.32,128.38,128.12,128.12,0.5161930015465712,0.7692307692307524,128.46996112478473,129.11588769377883,129.9296721399499,-0.899678888468944,42.24012086496313,32.628970075652674,4.283119783106971,0.3579774468498708,0.9685087277733428,87.3015873015873,0.0,1.1042381401766592,-0.3140368819936441,-0.3708461431009864,0.0568092611073423,0.0163320806089113,2022-03-03 12:00:00,128.13,128.68904825038663,127.01190349922672,2022-03-03 20:00:00,127.01190349922672,TP,2,0.5590482503866383,2.0,1.97764057039559,2.146505242025295,0.2504256115696465,test_2021_2024,2022,128.56,128.2,128.38,0.6974135622168722,0.1678958575707162,-0.0387451979009556,-0.1356081926532623,-0.0193725989504503,3,0.3874519790093367,0.7692307692307524,0.0,0.4261971769102924,0.4261971769102924,-0.2712163853065797,2.146505242025295,3.416520843556954,0.2504256115696465,0.2504256115696465,0,True,True,True,False,False,False,2022-03-03 20:00:00,127.01190349922672,TP,2.0,1.97764057039559,1.47764057039559,TP,2,1.97764057039559,TP,2,1.97764057039559,TP,2,-0.02235942960441,TP1_then_BE_same_bar,0,0.4776405703955899,TP1_then_BE_same_bar,0,0.4776405703955899,TP1_then_BE_same_bar,0,01_mid_0.40-0.70,01_clean_0.05-0.20,00_close_near_low,02_large_body,01_flat,01_1-1.5ATR,01_3-5ATR,02_0.25-0.50,02_25-36,00_hit_1r_<=3,00_no_mid_retest_6,True,1.97764057039559,1.97764057039559,1.97764057039559,1.97764057039559,1.97764057039559,1.97764057039559,1.97764057039559,1.97764057039559,1.97764057039559,1.97764057039559,2022-03-02,128.33,129.79149332529067,129.99552655967327,129.86948585693307,-0.8208405690435954,37.99261779924659,26.91064287874528,4.041310480204817,0.07483622914611637,-0.29628456796812946,-0.08302766759385719,100.0,0.712328767123295,True,True,True,True,False,True,True,True,True,True,True,True,False,True,False
SILVER,H4,L060_STAG,stagnation,60,0.5,0.5m,2023-06-21 04:00:00,15112,19,0.1583333333333333,0.3166666666666666,3,1,5.338723827442806,0.9445122640806198,0.039972551037914,0.833154323674256,mixed_or_wide_range,00_<=24bars,short,stagnation,15107,15111,23.203,23.037,23.019,23.148,4,0.6170013502127216,0.2582796349727743,23.02,1.230506021655867,23.14,23.148,23.019,23.02,0.2090757175094129,0.930232558139533,23.61504276296335,23.755578032068925,23.867453177243636,-1.6423111618608677,26.587956823914013,30.692718810217013,7.773536054466062,0.0297053299424714,0.933903963031956,45.23809523809524,0.0077519379845055,4.065512772719448,-0.2022123548463383,-0.0938777440647565,-0.1083346107815818,-0.0156581750444236,2023-06-21 08:00:00,23.021,23.277268929377353,22.508462141245296,2023-06-21 12:00:00,22.508462141245296,TP,1,0.2562689293773523,2.0,1.863424723063235,2.1188678679046555,0.316074212339367,test_2021_2024,2023,23.225,23.074,23.149500000000003,0.7222263866830998,0.0653670681103859,-0.0239147810159919,-0.2917603283951596,-0.0717443430479758,3,0.5739547443839259,0.930232558139533,0.0077519379845055,0.8752809851854789,0.1052250364703951,-0.6170013502127046,2.118867867904656,2.118867867904656,0.3160742123393671,0.3160742123393671,1,True,True,True,False,False,False,2023-06-21 12:00:00,22.508462141245296,TP,2.0000000000000004,1.8634247230632357,1.3634247230632282,TP,1,1.863424723063235,TP,1,1.863424723063235,TP,1,1.863424723063235,TP,1,1.363424723063235,TP,1,1.363424723063235,TP,1,02_wide_0.70-1.00,02_strong_0.20-0.40,00_close_near_low,02_large_body,01_flat,01_1-1.5ATR,02_5-8ATR,01_0-0.25,00_<=12,00_hit_1r_<=3,00_no_mid_retest_6,True,1.863424723063235,1.863424723063235,1.863424723063235,1.863424723063235,1.863424723063235,1.863424723063235,1.863424723063235,1.863424723063235,1.863424723063235,1.863424723063235,2023-06-20,23.146,23.826749892197462,23.90951163531027,23.08862812444819,0.22152443408396785,38.76296853331361,21.083945088180716,3.0279153256719162,0.08851772259088561,-0.0003759621901295099,-0.07941099770953217,21.428571428571427,0.11145194274028793,True,True,True,True,False,True,True,True,True,True,False,True,True,False,False
