rule,label,exit_model,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_losing_streak,symbols,periods,score
base_core4_strict,core4のみ + 厳選フィルタ,fixed_2R,8,100.0,15.708579352382134,1.9635724190477668,inf,0.0,0,"CHFJPY,EURJPY,GBPJPY,XAUUSD","oos_2025_2026,test_2021_2024,train_2015_2020",44.217158704764266
base_core4_strict,core4のみ + 厳選フィルタ,no_1R_by_12bars,8,100.0,15.708579352382124,1.9635724190477655,inf,0.0,0,"CHFJPY,EURJPY,GBPJPY,XAUUSD","oos_2025_2026,test_2021_2024,train_2015_2020",44.217158704764245
base_no_AUD_USD_strict,AUDJPY/USDJPYを除外 + 厳選フィルタ,fixed_2R,10,90.0,16.18930391337578,1.618930391337578,13.526064958061854,1.292449302121513,1,"CHFJPY,EURJPY,GBPJPY,SILVER,XAUUSD","oos_2025_2026,test_2021_2024,train_2015_2020",41.10678760237919
base_no_AUD_USD_strict,AUDJPY/USDJPYを除外 + 厳選フィルタ,no_1R_by_12bars,10,90.0,16.18930391337577,1.618930391337577,13.526064958061843,1.292449302121513,1,"CHFJPY,EURJPY,GBPJPY,SILVER,XAUUSD","oos_2025_2026,test_2021_2024,train_2015_2020",41.10678760237917
base_core4_quality,core4のみ + 品質フィルタ,fixed_2R,9,88.88888888888889,14.669944020037766,1.6299937800041961,15.124248967080074,0.0,1,"CHFJPY,EURJPY,GBPJPY,XAUUSD","oos_2025_2026,test_2021_2024,train_2015_2020",40.609894260071336
base_core4_quality,core4のみ + 品質フィルタ,no_1R_by_12bars,9,88.88888888888889,14.669944020037759,1.6299937800041955,15.124248967080065,0.0,1,"CHFJPY,EURJPY,GBPJPY,XAUUSD","oos_2025_2026,test_2021_2024,train_2015_2020",40.60989426007132
base_no_AUD_USD_quality,AUDJPY/USDJPYを除外 + 品質フィルタ,fixed_2R,12,83.33333333333334,16.955821658686315,1.4129851382238596,8.273790667223633,1.292449302121513,1,"CHFJPY,EURJPY,GBPJPY,SILVER,XAUUSD","oos_2025_2026,test_2021_2024,train_2015_2020",40.42574332277998
base_no_AUD_USD_quality,AUDJPY/USDJPYを除外 + 品質フィルタ,no_1R_by_12bars,12,83.33333333333334,16.955821658686304,1.4129851382238587,8.273790667223627,1.292449302121513,1,"CHFJPY,EURJPY,GBPJPY,SILVER,XAUUSD","oos_2025_2026,test_2021_2024,train_2015_2020",40.425743322779965
base_core4_age30_119,core4のみ + support age 30-119,fixed_2R,6,100.0,11.753282393203365,1.9588803988672276,inf,0.0,0,"CHFJPY,EURJPY,GBPJPY,XAUUSD","test_2021_2024,train_2015_2020",40.02432558414119
base_core4_age30_119,core4のみ + support age 30-119,no_1R_by_12bars,6,100.0,11.753282393203357,1.958880398867226,inf,0.0,0,"CHFJPY,EURJPY,GBPJPY,XAUUSD","test_2021_2024,train_2015_2020",40.02432558414117
base_core4_strict,core4のみ + 厳選フィルタ,fixed_1_5R,8,100.0,11.70857935238211,1.4635724190477637,inf,0.0,0,"CHFJPY,EURJPY,GBPJPY,XAUUSD","oos_2025_2026,test_2021_2024,train_2015_2020",36.217158704764216
base_all_strict,全通貨のPrimary L120 + 厳選フィルタ,fixed_2R,13,76.92307692307693,16.09074560517118,1.2377496619362445,5.783802833067641,1.292449302121513,2,"AUDJPY,CHFJPY,EURJPY,GBPJPY,SILVER,XAUUSD","oos_2025_2026,test_2021_2024,train_2015_2020",34.93448770856538
base_all_strict,全通貨のPrimary L120 + 厳選フィルタ,no_1R_by_12bars,13,76.92307692307693,16.090745605171172,1.237749661936244,5.783802833067638,1.292449302121513,2,"AUDJPY,CHFJPY,EURJPY,GBPJPY,SILVER,XAUUSD","oos_2025_2026,test_2021_2024,train_2015_2020",34.934487708565364
base_no_AUD_USD_age30_119,AUDJPY/USDJPYを除外 + support age 30-119,fixed_2R,7,85.71428571428571,10.621022951506317,1.517288993072331,10.380379231448368,1.1322594416970482,1,"CHFJPY,EURJPY,GBPJPY,SILVER,XAUUSD","test_2021_2024,train_2015_2020",34.55352734272733
base_no_AUD_USD_age30_119,AUDJPY/USDJPYを除外 + support age 30-119,no_1R_by_12bars,7,85.71428571428571,10.621022951506308,1.5172889930723297,10.38037923144836,1.1322594416970482,1,"CHFJPY,EURJPY,GBPJPY,SILVER,XAUUSD","test_2021_2024,train_2015_2020",34.55352734272731
base_all_quality,全通貨のPrimary L120 + 品質フィルタ,fixed_2R,15,73.33333333333333,16.857263350481713,1.123817556698781,4.82926058831791,1.292449302121513,2,"AUDJPY,CHFJPY,EURJPY,GBPJPY,SILVER,XAUUSD","oos_2025_2026,test_2021_2024,train_2015_2020",33.55773524485161
base_all_quality,全通貨のPrimary L120 + 品質フィルタ,no_1R_by_12bars,15,73.33333333333333,16.857263350481706,1.1238175566987805,4.829260588317908,1.292449302121513,2,"AUDJPY,CHFJPY,EURJPY,GBPJPY,SILVER,XAUUSD","oos_2025_2026,test_2021_2024,train_2015_2020",33.5577352448516
base_core4_strict,core4のみ + 厳選フィルタ,mid6_exit,8,75.0,10.678347080946452,1.3347933851183065,10.994369032167757,1.0684363411614326,2,"CHFJPY,EURJPY,GBPJPY,XAUUSD","oos_2025_2026,test_2021_2024,train_2015_2020",33.301945088963755
base_core4_quality,core4のみ + 品質フィルタ,fixed_1_5R,9,88.88888888888889,10.669944020037745,1.1855493355597495,11.273041642011142,0.0,1,"CHFJPY,EURJPY,GBPJPY,XAUUSD","oos_2025_2026,test_2021_2024,train_2015_2020",33.054338704515736
base_core4_age30_119,core4のみ + support age 30-119,fixed_1_5R,6,100.0,8.753282393203342,1.4588803988672236,inf,0.0,0,"CHFJPY,EURJPY,GBPJPY,XAUUSD","test_2021_2024,train_2015_2020",33.02432558414113
base_no_AUD_USD_strict,AUDJPY/USDJPYを除外 + 厳選フィルタ,fixed_1_5R,10,90.0,11.689303913375747,1.1689303913375748,10.044303628922341,1.292449302121513,1,"CHFJPY,EURJPY,GBPJPY,SILVER,XAUUSD","oos_2025_2026,test_2021_2024,train_2015_2020",33.006787602379134
base_core4_quality,core4のみ + 品質フィルタ,mid6_exit,9,66.66666666666666,10.16256539414942,1.1291739326832688,7.414878012242807,1.0684363411614326,2,"CHFJPY,EURJPY,GBPJPY,XAUUSD","oos_2025_2026,test_2021_2024,train_2015_2020",30.363524801050634
base_no_AUD_USD_strict,AUDJPY/USDJPYを除外 + 厳選フィルタ,half_1R_BE_rest_2R,10,100.0,9.189303913375769,0.9189303913375768,inf,0.0,0,"CHFJPY,EURJPY,GBPJPY,SILVER,XAUUSD","oos_2025_2026,test_2021_2024,train_2015_2020",29.540747044076383
base_core4,core4のみ,fixed_2R,11,72.72727272727273,12.55461407439882,1.1413285522180745,4.9805809410896265,1.0756784981731755,1,"CHFJPY,EURJPY,GBPJPY,XAUUSD","oos_2025_2026,test_2021_2024,train_2015_2020",29.39557110523932
base_core4,core4のみ,no_1R_by_12bars,11,72.72727272727273,12.554614074398811,1.1413285522180738,4.980580941089623,1.0756784981731755,1,"CHFJPY,EURJPY,GBPJPY,XAUUSD","oos_2025_2026,test_2021_2024,train_2015_2020",29.3955711052393
base_no_AUD_USD_quality,AUDJPY/USDJPYを除外 + 品質フィルタ,fixed_1_5R,12,83.33333333333334,11.955821658686293,0.9963184715571911,6.1288664006082865,1.292449302121513,1,"CHFJPY,EURJPY,GBPJPY,SILVER,XAUUSD","oos_2025_2026,test_2021_2024,train_2015_2020",29.28570959035904
base_no_AUD_USD_strict,AUDJPY/USDJPYを除外 + 厳選フィルタ,mid6_exit,10,70.0,11.159071641940088,1.1159071641940088,5.726646406482763,1.292449302121513,2,"CHFJPY,EURJPY,GBPJPY,SILVER,XAUUSD","oos_2025_2026,test_2021_2024,train_2015_2020",28.64233912351909
base_core4_strict,core4のみ + 厳選フィルタ,half_1R_BE_rest_2R,8,100.0,7.708579352382125,0.9635724190477656,inf,0.0,0,"CHFJPY,EURJPY,GBPJPY,XAUUSD","oos_2025_2026,test_2021_2024,train_2015_2020",28.21715870476425
base_no_AUD_USD_age30_119,AUDJPY/USDJPYを除外 + support age 30-119,fixed_1_5R,7,85.71428571428571,7.621022951506294,1.088717564500899,7.730809804583112,1.1322594416970482,1,"CHFJPY,EURJPY,GBPJPY,SILVER,XAUUSD","test_2021_2024,train_2015_2020",27.721170621030513
base_no_AUD_USD_quality,AUDJPY/USDJPYを除外 + 品質フィルタ,half_1R_BE_rest_2R,12,91.66666666666666,8.455821658686304,0.7046518048905254,9.141280577852257,0.0,1,"CHFJPY,EURJPY,GBPJPY,SILVER,XAUUSD","oos_2025_2026,test_2021_2024,train_2015_2020",27.293036097810507
base_all_strict,全通貨のPrimary L120 + 厳選フィルタ,mid6_exit,13,61.53846153846154,12.070544934992641,0.9285034565378955,4.527342998480539,1.292449302121513,2,"AUDJPY,CHFJPY,EURJPY,GBPJPY,SILVER,XAUUSD","oos_2025_2026,test_2021_2024,train_2015_2020",26.555627643319404
base_core4_age30_119,core4のみ + support age 30-119,mid6_exit,6,66.66666666666666,6.723050121767685,1.1205083536279474,7.292419925046221,1.068436341161433,2,"CHFJPY,EURJPY,GBPJPY,XAUUSD","test_2021_2024,train_2015_2020",26.37099776543145
base_core4_age30_119,core4のみ + support age 30-119,half_1R_BE_rest_2R,6,100.0,5.753282393203358,0.9588803988672264,inf,0.0,0,"CHFJPY,EURJPY,GBPJPY,XAUUSD","test_2021_2024,train_2015_2020",26.02432558414117
base_no_AUD_USD_age30_119,AUDJPY/USDJPYを除外 + support age 30-119,half_1R_BE_rest_2R,7,100.0,6.12102295150631,0.8744318502151872,inf,0.0,0,"CHFJPY,EURJPY,GBPJPY,SILVER,XAUUSD","test_2021_2024,train_2015_2020",25.816477753227808
base_no_AUD_USD,AUDJPY/USDJPYを除外,fixed_2R,15,66.66666666666666,13.708232271350319,0.9138821514233546,3.4572563691259837,2.4247087438185613,2,"CHFJPY,EURJPY,GBPJPY,SILVER,XAUUSD","oos_2025_2026,test_2021_2024,train_2015_2020",25.765407041371283
base_no_AUD_USD,AUDJPY/USDJPYを除外,no_1R_by_12bars,15,66.66666666666666,13.708232271350308,0.9138821514233538,3.4572563691259814,2.4247087438185613,2,"CHFJPY,EURJPY,GBPJPY,SILVER,XAUUSD","oos_2025_2026,test_2021_2024,train_2015_2020",25.76540704137126
base_core4_quality,core4のみ + 品質フィルタ,half_1R_BE_rest_2R,9,88.88888888888889,6.669944020037759,0.7411048911153065,7.421834316942247,0.0,1,"CHFJPY,EURJPY,GBPJPY,XAUUSD","oos_2025_2026,test_2021_2024,train_2015_2020",24.631534624373582
base_all_strict,全通貨のPrimary L120 + 厳選フィルタ,fixed_1_5R,13,76.92307692307693,11.09074560517115,0.8531342773208578,4.2972953242017145,1.292449302121513,2,"AUDJPY,CHFJPY,EURJPY,GBPJPY,SILVER,XAUUSD","oos_2025_2026,test_2021_2024,train_2015_2020",24.627803368343375
base_all,全通貨のPrimary L120,fixed_2R,18,61.111111111111114,13.609673963145719,0.7560929979525399,2.7790857172703896,2.4247087438185613,2,"AUDJPY,CHFJPY,EURJPY,GBPJPY,SILVER,XAUUSD","oos_2025_2026,test_2021_2024,train_2015_2020",23.687279527616774
base_all,全通貨のPrimary L120,no_1R_by_12bars,18,61.111111111111114,13.609673963145708,0.7560929979525394,2.779085717270388,2.4247087438185613,2,"AUDJPY,CHFJPY,EURJPY,GBPJPY,SILVER,XAUUSD","oos_2025_2026,test_2021_2024,train_2015_2020",23.687279527616756
base_all_quality,全通貨のPrimary L120 + 品質フィルタ,fixed_1_5R,15,73.33333333333333,11.357263350481695,0.757150890032113,3.5798921233501515,1.292449302121513,2,"AUDJPY,CHFJPY,EURJPY,GBPJPY,SILVER,XAUUSD","oos_2025_2026,test_2021_2024,train_2015_2020",23.250349214066617
base_core4,core4のみ,mid6_exit,11,54.54545454545454,9.220218431387387,0.8382016755806716,4.64930981995364,1.068436341161433,2,"CHFJPY,EURJPY,GBPJPY,XAUUSD","oos_2025_2026,test_2021_2024,train_2015_2020",23.145047493034077
base_no_AUD_USD_quality,AUDJPY/USDJPYを除外 + 品質フィルタ,mid6_exit,12,58.333333333333336,9.978026891707653,0.8315022409756377,3.8171154661806943,1.9577123655569153,2,"CHFJPY,EURJPY,GBPJPY,SILVER,XAUUSD","oos_2025_2026,test_2021_2024,train_2015_2020",21.989548126338264
base_all_quality,全通貨のPrimary L120 + 品質フィルタ,mid6_exit,15,53.333333333333336,10.889500184760209,0.7259666789840139,3.3657200985544304,1.9577123655569153,2,"AUDJPY,CHFJPY,EURJPY,GBPJPY,SILVER,XAUUSD","oos_2025_2026,test_2021_2024,train_2015_2020",21.679643872018435
base_all_age30_119,全通貨のPrimary L120 + support age 30-119,fixed_2R,9,66.66666666666666,8.549883458967392,0.9499870509963768,3.669003653460532,1.1322594416970482,2,"AUDJPY,CHFJPY,EURJPY,GBPJPY,SILVER,XAUUSD","test_2021_2024,train_2015_2020",21.647477793771564
