depth_min,fresh_depth_min,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_losing_streak,score
0.1,0.2,8,100.0,15.708579352382134,1.9635724190477668,inf,0.0,0,44.217158704764266
0.1,0.225,8,100.0,15.708579352382134,1.9635724190477668,inf,0.0,0,44.217158704764266
0.1,0.25,8,100.0,15.708579352382134,1.9635724190477668,inf,0.0,0,44.217158704764266
0.125,0.2,8,100.0,15.708579352382134,1.9635724190477668,inf,0.0,0,44.217158704764266
0.125,0.225,8,100.0,15.708579352382134,1.9635724190477668,inf,0.0,0,44.217158704764266
0.125,0.25,8,100.0,15.708579352382134,1.9635724190477668,inf,0.0,0,44.217158704764266
0.15,0.2,8,100.0,15.708579352382134,1.9635724190477668,inf,0.0,0,44.217158704764266
0.15,0.225,8,100.0,15.708579352382134,1.9635724190477668,inf,0.0,0,44.217158704764266
0.15,0.25,8,100.0,15.708579352382134,1.9635724190477668,inf,0.0,0,44.217158704764266
0.1,0.15,9,88.88888888888889,14.669944020037766,1.6299937800041961,15.124248967080074,0.0,1,40.609894260071336
0.1,0.175,9,88.88888888888889,14.669944020037766,1.6299937800041961,15.124248967080074,0.0,1,40.609894260071336
0.125,0.15,9,88.88888888888889,14.669944020037766,1.6299937800041961,15.124248967080074,0.0,1,40.609894260071336
0.125,0.175,9,88.88888888888889,14.669944020037766,1.6299937800041961,15.124248967080074,0.0,1,40.609894260071336
0.15,0.15,9,88.88888888888889,14.669944020037766,1.6299937800041961,15.124248967080074,0.0,1,40.609894260071336
0.15,0.175,9,88.88888888888889,14.669944020037766,1.6299937800041961,15.124248967080074,0.0,1,40.609894260071336
0.175,0.2,6,100.0,11.753702299083688,1.9589503831806148,inf,0.0,0,40.025305364528606
0.175,0.225,6,100.0,11.753702299083688,1.9589503831806148,inf,0.0,0,40.025305364528606
0.175,0.25,6,100.0,11.753702299083688,1.9589503831806148,inf,0.0,0,40.025305364528606
0.05,0.2,9,88.88888888888889,14.66892790491636,1.6298808783240402,15.109467110994713,1.039651447465772,1,39.77625377353606
0.05,0.225,9,88.88888888888889,14.66892790491636,1.6298808783240402,15.109467110994713,1.039651447465772,1,39.77625377353606
0.05,0.25,9,88.88888888888889,14.66892790491636,1.6298808783240402,15.109467110994713,1.039651447465772,1,39.77625377353606
0.075,0.2,9,88.88888888888889,14.66892790491636,1.6298808783240402,15.109467110994713,1.039651447465772,1,39.77625377353606
0.075,0.225,9,88.88888888888889,14.66892790491636,1.6298808783240402,15.109467110994713,1.039651447465772,1,39.77625377353606
0.075,0.25,9,88.88888888888889,14.66892790491636,1.6298808783240402,15.109467110994713,1.039651447465772,1,39.77625377353606
0.2,0.15,5,100.0,9.856362914429686,1.9712725828859372,inf,0.0,0,38.12654357751718
0.2,0.175,5,100.0,9.856362914429686,1.9712725828859372,inf,0.0,0,38.12654357751718
0.2,0.2,5,100.0,9.856362914429686,1.9712725828859372,inf,0.0,0,38.12654357751718
0.2,0.225,5,100.0,9.856362914429686,1.9712725828859372,inf,0.0,0,38.12654357751718
0.2,0.25,5,100.0,9.856362914429686,1.9712725828859372,inf,0.0,0,38.12654357751718
0.05,0.15,10,80.0,13.630292572571996,1.3630292572571996,7.55842721273394,1.0396514474657723,1,36.04044629175789
0.05,0.175,10,80.0,13.630292572571996,1.3630292572571996,7.55842721273394,1.0396514474657723,1,36.04044629175789
0.075,0.15,10,80.0,13.630292572571996,1.3630292572571996,7.55842721273394,1.0396514474657723,1,36.04044629175789
0.075,0.175,10,80.0,13.630292572571996,1.3630292572571996,7.55842721273394,1.0396514474657723,1,36.04044629175789
0.175,0.15,7,85.71428571428571,10.715066966739323,1.530723852391332,11.316486097727594,0.0,1,35.66085778586998
0.175,0.175,7,85.71428571428571,10.715066966739323,1.530723852391332,11.316486097727594,0.0,1,35.66085778586998
0.25,0.15,3,100.0,5.939856406550162,1.9799521355167207,inf,0.0,0,34.079473490683924
0.25,0.175,3,100.0,5.939856406550162,1.9799521355167207,inf,0.0,0,34.079473490683924
0.25,0.2,3,100.0,5.939856406550162,1.9799521355167207,inf,0.0,0,34.079473490683924
0.25,0.225,3,100.0,5.939856406550162,1.9799521355167207,inf,0.0,0,34.079473490683924
0.25,0.25,3,100.0,5.939856406550162,1.9799521355167207,inf,0.0,0,34.079473490683924
