lookback_bars,lookback_label,trigger_mode,exit_variant,filter,filter_notes,all_trades,all_win_rate,all_total_r,all_avg_r,all_pf,all_max_dd_r,all_max_losing_streak,train_trades,train_win_rate,train_total_r,train_avg_r,train_pf,train_max_dd_r,train_max_losing_streak,test_trades,test_win_rate,test_total_r,test_avg_r,test_pf,test_max_dd_r,test_max_losing_streak,oos_trades,oos_win_rate,oos_total_r,oos_avg_r,oos_pf,oos_max_dd_r,oos_max_losing_streak,avg_mfe_r,hit_1r_rate,hit_1_5r_rate,hit_2r_rate,giveback_1r_to_loss_rate,giveback_1_5r_to_loss_rate,score
90,0.75m,either,fixed_1R,ALL,全候補,432,53.70370370370371,20.916836181550888,0.048418602272108535,1.1038829717375458,17.939843981766053,8,275,53.81818181818182,12.601067150826797,0.0458220623666429,1.0982795917830048,14.569551393452592,8,126,59.523809523809526,21.620089844658423,0.17158801464014622,1.424453014088199,7.296050346237344,6,31,29.03225806451613,-13.304320813934329,-0.4291716391591719,0.40062860025103286,15.281120462045514,7,0.8512539967615509,52.54629629629629,9.027777777777777,2.7777777777777777,0.0,0.0,42.67354038052547
60,0.5m,stagnation,fixed_2R_no_progress12,ADX30_RISK_LE2_BBW3_8,ADX>=30 + risk<=2ATR + BB幅3-8ATR,39,48.717948717948715,15.108520586948094,0.38739796376789987,1.869255037715477,6.262305404220744,4,24,41.66666666666667,2.1092374333290627,0.08788489305537761,1.1640076238883865,5.958943185749679,4,12,66.66666666666666,13.048564562971197,1.0873803802475999,6.247262131925113,2.2854325816665666,3,3,33.33333333333333,-0.049281409352167405,-0.016427136450722468,0.975767073484925,2.033654883635699,2,1.388463709497776,56.41025641025641,43.58974358974359,41.02564102564102,15.384615384615385,2.564102564102564,31.620068604245418
120,1m,stagnation,fixed_2R_no_progress12,ADX30_RISK_LE2_BBW3_8,ADX>=30 + risk<=2ATR + BB幅3-8ATR,27,51.85185185185185,13.765314036905087,0.5098264458112995,2.0293346669059544,6.508801119101657,6,16,37.5,1.2744128792656073,0.07965080495410046,1.1261656234124138,5.957698202179444,6,10,70.0,10.506527683355946,1.0506527683355946,4.211129191291021,3.271910613827356,3,1,100.0,1.9843734742835317,1.9843734742835317,inf,0.0,0,1.4520843548785227,62.96296296296296,51.85185185185185,51.85185185185185,11.11111111111111,0.0,28.814587427307956
120,1m,stagnation,fixed_2R,ADX30_RISK_LE2_BBW3_8,ADX>=30 + risk<=2ATR + BB幅3-8ATR,27,51.85185185185185,13.229214913603439,0.4899709227260533,1.9511180340619954,7.044900242403306,6,16,37.5,0.7383137559639579,0.04614460974774737,1.069408594488773,6.493797325481093,6,10,70.0,10.506527683355946,1.0506527683355946,4.211129191291021,3.271910613827356,3,1,100.0,1.9843734742835317,1.9843734742835317,inf,0.0,0,1.4520843548785227,62.96296296296296,51.85185185185185,51.85185185185185,11.11111111111111,0.0,27.986824797995958
120,1m,stagnation,fixed_2R_max48,ADX30_RISK_LE2_BBW3_8,ADX>=30 + risk<=2ATR + BB幅3-8ATR,27,51.85185185185185,13.229214913603439,0.4899709227260533,1.9511180340619954,7.044900242403306,6,16,37.5,0.7383137559639579,0.04614460974774737,1.069408594488773,6.493797325481093,6,10,70.0,10.506527683355946,1.0506527683355946,4.211129191291021,3.271910613827356,3,1,100.0,1.9843734742835317,1.9843734742835317,inf,0.0,0,1.4520843548785227,62.96296296296296,51.85185185185185,51.85185185185185,11.11111111111111,0.0,27.986824797995958
120,1m,either,fixed_2R_no_progress12,ADX30_RISK_LE2_BBW3_8,ADX>=30 + risk<=2ATR + BB幅3-8ATR,52,42.30769230769231,10.753266185248147,0.2067935804855413,1.3525252951224018,11.91435619157464,8,31,32.25806451612903,-3.548865556080811,-0.11447953406712293,0.8321061640621122,10.699039109750872,8,18,61.111111111111114,14.343826467734445,0.7968792482074691,2.954224980051843,3.1956980161515607,3,3,33.33333333333333,-0.04169472640548566,-0.013898242135161887,0.9794208672781567,2.0260682006890174,2,1.300283687484811,55.769230769230774,46.15384615384615,40.38461538461539,15.384615384615385,5.769230769230769,26.16696851570039
120,1m,stagnation,fixed_2R,ADX30_RISK_LE1_5_BBW3_8,ADX>=30 + risk<=1.5ATR + BB幅3-8ATR,18,61.111111111111114,13.60967396314572,0.75609299795254,2.779085717270389,3.406763132639054,3,11,54.54545454545454,5.897620562874115,0.5361473238976469,2.0766201895898977,3.406763132639054,3,6,66.66666666666666,5.727679925988072,0.954613320998012,3.6371615679848857,1.0396514474657728,2,1,100.0,1.9843734742835317,1.9843734742835317,inf,0.0,0,1.6063950191628384,72.22222222222221,61.111111111111114,61.111111111111114,11.11111111111111,0.0,25.43465680025219
120,1m,stagnation,fixed_2R_max48,ADX30_RISK_LE1_5_BBW3_8,ADX>=30 + risk<=1.5ATR + BB幅3-8ATR,18,61.111111111111114,13.60967396314572,0.75609299795254,2.779085717270389,3.406763132639054,3,11,54.54545454545454,5.897620562874115,0.5361473238976469,2.0766201895898977,3.406763132639054,3,6,66.66666666666666,5.727679925988072,0.954613320998012,3.6371615679848857,1.0396514474657728,2,1,100.0,1.9843734742835317,1.9843734742835317,inf,0.0,0,1.6063950191628384,72.22222222222221,61.111111111111114,61.111111111111114,11.11111111111111,0.0,25.43465680025219
120,1m,stagnation,fixed_2R_no_progress12,ADX30_RISK_LE1_5_BBW3_8,ADX>=30 + risk<=1.5ATR + BB幅3-8ATR,18,61.111111111111114,13.60967396314572,0.75609299795254,2.779085717270389,3.406763132639054,3,11,54.54545454545454,5.897620562874115,0.5361473238976469,2.0766201895898977,3.406763132639054,3,6,66.66666666666666,5.727679925988072,0.954613320998012,3.6371615679848857,1.0396514474657728,2,1,100.0,1.9843734742835317,1.9843734742835317,inf,0.0,0,1.6063950191628384,72.22222222222221,61.111111111111114,61.111111111111114,11.11111111111111,0.0,25.43465680025219
90,0.75m,either,half_1R_trail1ATR_rest_2R,ALL,全候補,432,53.70370370370371,11.197679902122673,0.02592055532898767,1.0556130121545009,21.507163695026346,8,275,53.81818181818182,8.950285591837071,0.032546493061225715,1.0698060254562916,14.822321860076968,8,126,59.523809523809526,16.078071702381415,0.12760374366969376,1.315650214399458,8.751976959048854,6,31,29.03225806451613,-13.830677392095808,-0.4461508836159938,0.37691577165708456,16.47806900617973,7,1.0447399359389091,52.54629629629629,25.925925925925924,15.50925925925926,0.0,0.0,25.273870254694234
120,1m,stagnation,fixed_2R,NO_XAU_ADX30_RISK_LE1_5_BBW3_8,XAUUSD除外 + ADX>=30 + risk<=1.5ATR + BB幅3-8ATR,16,62.5,12.74729152896511,0.7967057205603194,2.9390066522235974,3.235476808941915,3,9,55.55555555555556,5.035238128693507,0.5594709031881675,2.1437941330168924,2.3310846344658787,2,6,66.66666666666666,5.727679925988072,0.954613320998012,3.6371615679848857,1.0396514474657728,2,1,100.0,1.9843734742835317,1.9843734742835317,inf,0.0,0,1.6811951692950176,75.0,62.5,62.5,12.5,0.0,24.93746777238019
120,1m,stagnation,fixed_2R_max48,NO_XAU_ADX30_RISK_LE1_5_BBW3_8,XAUUSD除外 + ADX>=30 + risk<=1.5ATR + BB幅3-8ATR,16,62.5,12.74729152896511,0.7967057205603194,2.9390066522235974,3.235476808941915,3,9,55.55555555555556,5.035238128693507,0.5594709031881675,2.1437941330168924,2.3310846344658787,2,6,66.66666666666666,5.727679925988072,0.954613320998012,3.6371615679848857,1.0396514474657728,2,1,100.0,1.9843734742835317,1.9843734742835317,inf,0.0,0,1.6811951692950176,75.0,62.5,62.5,12.5,0.0,24.93746777238019
120,1m,stagnation,fixed_2R_no_progress12,NO_XAU_ADX30_RISK_LE1_5_BBW3_8,XAUUSD除外 + ADX>=30 + risk<=1.5ATR + BB幅3-8ATR,16,62.5,12.74729152896511,0.7967057205603194,2.9390066522235974,3.235476808941915,3,9,55.55555555555556,5.035238128693507,0.5594709031881675,2.1437941330168924,2.3310846344658787,2,6,66.66666666666666,5.727679925988072,0.954613320998012,3.6371615679848857,1.0396514474657728,2,1,100.0,1.9843734742835317,1.9843734742835317,inf,0.0,0,1.6811951692950176,75.0,62.5,62.5,12.5,0.0,24.93746777238019
60,0.5m,stagnation,fixed_2R_max48,ADX30_RISK_LE2_BBW3_8,ADX>=30 + risk<=2ATR + BB幅3-8ATR,39,43.58974358974359,10.439899086416757,0.26768972016453224,1.4613998564846975,10.466915645828074,7,24,33.33333333333333,-1.3793951907310218,-0.05747479961379257,0.9185052991149616,9.788060733212495,7,12,66.66666666666666,11.868575686499947,0.9890479738749955,4.236831391808272,2.6609252758110804,3,3,33.33333333333333,-0.049281409352167405,-0.016427136450722468,0.975767073484925,2.033654883635699,2,1.445613513699353,61.53846153846154,48.717948717948715,43.58974358974359,17.94871794871795,5.128205128205128,23.597619735902498
120,1m,either,fixed_2R,ADX30_RISK_LE2_BBW3_8,ADX>=30 + risk<=2ATR + BB幅3-8ATR,52,40.38461538461539,8.760955304634068,0.1684799097045013,1.2734165808120583,13.906667072188718,9,31,29.03225806451613,-5.541176436694891,-0.17874762699015778,0.7556428042421136,12.691349990364952,9,18,61.111111111111114,14.343826467734445,0.7968792482074691,2.954224980051843,3.1956980161515607,3,3,33.33333333333333,-0.04169472640548566,-0.013898242135161887,0.9794208672781567,2.0260682006890174,2,1.3010529043449774,55.769230769230774,46.15384615384615,40.38461538461539,15.384615384615385,5.769230769230769,23.44421651749829
120,1m,either,fixed_2R_max48,ADX30_RISK_LE2_BBW3_8,ADX>=30 + risk<=2ATR + BB幅3-8ATR,52,40.38461538461539,8.760955304634068,0.1684799097045013,1.2734165808120583,13.906667072188718,9,31,29.03225806451613,-5.541176436694891,-0.17874762699015778,0.7556428042421136,12.691349990364952,9,18,61.111111111111114,14.343826467734445,0.7968792482074691,2.954224980051843,3.1956980161515607,3,3,33.33333333333333,-0.04169472640548566,-0.013898242135161887,0.9794208672781567,2.0260682006890174,2,1.3010529043449774,55.769230769230774,46.15384615384615,40.38461538461539,15.384615384615385,5.769230769230769,23.44421651749829
