support_age_bucket,trigger_mode,filter,filter_notes,all_trades,all_win_rate,all_total_r,all_avg_r,all_pf,all_max_dd_r,all_max_losing_streak,train_trades,train_win_rate,train_total_r,train_avg_r,train_pf,train_max_dd_r,train_max_losing_streak,test_trades,test_win_rate,test_total_r,test_avg_r,test_pf,test_max_dd_r,test_max_losing_streak,oos_trades,oos_win_rate,oos_total_r,oos_avg_r,oos_pf,oos_max_dd_r,oos_max_losing_streak,avg_mfe_r,hit_1r_rate,hit_1_5r_rate,hit_2r_rate,giveback_1r_to_loss_rate,giveback_1_5r_to_loss_rate,score
02_60-119bars,stagnation,ADX30_RISK_LE1_5_BBW3_8,ADX>=30 + risk<=1.5ATR + BB幅3-8ATR,13,76.92307692307693,16.503189674095072,1.269476128776544,6.242395173497156,2.1271318395581886,2,10,70.0,10.568657952648003,1.0568657952648004,4.357234724646784,2.1271318395581886,2,3,100.0,5.934531721447071,1.978177240482357,inf,0.0,0,0,0.0,0.0,0.0,,0.0,0,1.8266902445129234,76.92307692307693,76.92307692307693,76.92307692307693,0.0,0.0,30.17074929504819
02_60-119bars,stagnation,NO_XAU_ADX30_RISK_LE1_5_BBW3_8,XAUUSD除外 + ADX>=30 + risk<=1.5ATR + BB幅3-8ATR,12,75.0,14.565128741741288,1.2137607284784406,5.626751684065349,2.1271318395581886,2,9,66.66666666666666,8.63059702029422,0.9589552244771355,3.7415912352149765,2.1271318395581886,2,3,100.0,5.934531721447071,1.978177240482357,inf,0.0,0,0,0.0,0.0,0.0,,0.0,0,1.8112217796021302,75.0,75.0,75.0,0.0,0.0,28.00982676150199
02_60-119bars,stagnation,GBP_ADX25_RISK_LE2_5_BBW3_8,GBPJPY + ADX>=25 + risk<=2.5ATR + BB幅3-8ATR,11,81.81818181818183,15.771034338942039,1.4337303944492763,8.7471550265458,1.0208928949232323,1,8,87.5,12.828969764812442,1.6036212206015552,13.566420854341573,1.0208928949232323,1,2,100.0,3.9568911510514804,1.9784455755257402,inf,0.0,0,1,0.0,-1.0148265769218827,-1.0148265769218827,0.0,0.0,1,1.9753280640202149,81.81818181818183,81.81818181818183,81.81818181818183,0.0,0.0,26.999002074270113
01_25-59bars,stagnation,ADX30_RISK_LE2_BBW3_8,ADX>=30 + risk<=2ATR + BB幅3-8ATR,42,42.857142857142854,10.09746796836911,0.24041590400878832,1.3986332395373366,8.938087094955945,8,22,36.36363636363637,1.3312885183523318,0.060513114470560535,1.0927179359747001,7.295591666457801,7,18,55.55555555555556,10.799834333652477,0.5999907963140265,2.2082937007569745,8.938087094955945,8,2,0.0,-2.033654883635699,-1.0168274418178496,0.0,1.0148265769218827,2,1.341769258259284,61.904761904761905,42.857142857142854,42.857142857142854,19.047619047619047,0.0,22.18304425058558
00_<=24bars,stagnation,ADX30_RISK_LE1_5_BBW3_8,ADX>=30 + risk<=1.5ATR + BB幅3-8ATR,49,44.89795918367347,12.71924270788548,0.2595763817935812,1.4316606239990854,17.86849912504684,16,32,34.375,-2.737191393095717,-0.08553723103424116,0.8829796513161522,14.810793533946532,13,14,57.14285714285714,9.503313678130601,0.6788081198664715,2.5643032756831627,3.017403900683065,3,3,100.0,5.953120422850596,1.984373474283532,inf,0.0,0,1.394937682718332,63.26530612244898,48.97959183673469,44.89795918367347,18.367346938775512,4.081632653061225,22.1260604915539
00_<=24bars,stagnation,NO_XAU_ADX30_RISK_LE1_5_BBW3_8,XAUUSD除外 + ADX>=30 + risk<=1.5ATR + BB幅3-8ATR,45,44.44444444444444,10.942394207822353,0.24316431572938563,1.3998453483051763,15.7692257604024,14,29,31.03448275862069,-5.5376347596301105,-0.1909529227458659,0.7518430673299676,13.735115035773362,12,13,61.53846153846154,10.526908544601872,0.8097621957386055,3.083911326684811,3.0174039006830644,3,3,100.0,5.953120422850596,1.984373474283532,inf,0.0,0,1.4210400726454868,64.44444444444444,48.888888888888886,44.44444444444444,20.0,4.444444444444445,22.004880632466723
02_60-119bars,stagnation,ADX30_RISK_LE2_BBW3_8,ADX>=30 + risk<=2ATR + BB幅3-8ATR,24,54.166666666666664,13.793583247489623,0.5747326353120676,2.183790403680921,8.59940335228445,8,13,61.53846153846154,10.47599961825401,0.8058461244810776,3.0067821656106934,4.199404453626309,4,9,55.55555555555556,5.349335924235536,0.5943706582483929,2.2157584689093697,3.2999991739936063,4,2,0.0,-2.0317522949999214,-1.0158761474999607,0.0,1.0148265769218825,2,1.4301841717600794,58.333333333333336,54.166666666666664,54.166666666666664,4.166666666666666,0.0,21.545656463430344
04_>=240bars,either,GBP_ADX25_RISK_LE2_5_BBW3_8,GBPJPY + ADX>=25 + risk<=2.5ATR + BB幅3-8ATR,7,85.71428571428571,10.85402184839496,1.5505745497707086,11.517105208708683,1.0320351116586046,1,6,83.33333333333334,8.861645846298034,1.4769409743830055,9.586573989770852,1.0320351116586046,1,1,100.0,1.9923760020969268,1.9923760020969268,inf,0.0,0,0,0.0,0.0,0.0,,0.0,0,2.1042093397720314,100.0,100.0,85.71428571428571,14.285714285714285,14.285714285714285,21.189162472079456
00_<=24bars,rebreak,ADX30_RISK_LE2_BBW3_8,ADX>=30 + risk<=2ATR + BB幅3-8ATR,137,32.846715328467155,-7.046948289265508,-0.051437578753762835,0.9260228492999336,45.172812307882836,33,83,21.686746987951807,-32.37133812022001,-0.39001612193036156,0.5206525288610987,45.172812307882836,33,49,55.10204081632652,30.39296421752519,0.620264575867861,2.341392170661585,7.155665791620217,7,5,0.0,-5.068574386570694,-1.0137148773141387,0.0,4.049820402596691,5,1.2092258345810496,51.09489051094891,39.416058394160586,32.846715328467155,18.248175182481752,6.569343065693431,17.85167822907889
04_>=240bars,stagnation,GBP_ADX25_RISK_LE2_5_BBW3_8,GBPJPY + ADX>=25 + risk<=2.5ATR + BB幅3-8ATR,6,83.33333333333334,8.87287111253935,1.4788118520898916,9.691992100558439,1.020809845417288,1,6,83.33333333333334,8.87287111253935,1.4788118520898916,9.691992100558439,1.020809845417288,1,0,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,,0.0,0,1.8764095657265771,83.33333333333334,83.33333333333334,83.33333333333334,0.0,0.0,16.532916059544593
