strategy,trigger_type,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_losing_streak
L120_EITHER_PB075,stagnation,40,40.0,6.208256303169612,0.15520640757924029,1.2491678414892013,5.301381121239899,5
L360_EITHER_PB075,rebreak+stagnation,14,28.57142857142857,-2.3983790423850433,-0.17131278874178882,0.7685627447486675,4.206326525281153,5
L120_STAG_ONLY,stagnation,68,33.82352941176471,-2.85177959091627,-0.04193793516053339,0.9400700521817769,13.924622603022772,11
L240_EITHER_PB075,rebreak+stagnation,14,21.428571428571427,-5.411632735088441,-0.38654519536346005,0.5216379912041865,7.289229812486624,6
L360_EITHER_PB100,rebreak+stagnation,9,11.11111111111111,-6.3563160898347375,-0.7062573433149708,0.23981616218700055,5.346486090640115,5
L360_REBREAK_PB075,rebreak+stagnation,15,20.0,-6.3860006482602945,-0.42573337655068627,0.484045131888574,7.3366126815897825,6
L360_EITHER_PB075,stagnation,25,24.0,-8.26709124212239,-0.3306836496848956,0.5864306828871046,9.623757992992234,7
L240_REBREAK_PB075,rebreak+stagnation,14,14.285714285714285,-8.300586400090951,-0.5928990285779251,0.3211957312838129,10.197499024724932,11
L240_EITHER_PB100,rebreak+stagnation,10,0.0,-10.380588967180522,-1.0380588967180522,0.0,9.3707589679859,10
L360_EITHER_PB100,stagnation,32,21.875,-12.761750428177322,-0.3988047008805413,0.5176079807929889,15.55919925552782,9
L360_STAG_ONLY,stagnation,35,22.857142857142858,-13.126286362762112,-0.37503675322177465,0.5420444784794398,16.404762197681585,12
L240_EITHER_PB075,stagnation,34,20.588235294117645,-14.49425907794123,-0.42630173758650675,0.48653199692051563,18.096701512596425,12
L120_EITHER_PB075,rebreak+stagnation,32,21.875,-15.301735053596492,-0.47817922042489036,0.4065316574981452,20.60319062572176,10
L240_EITHER_PB100,stagnation,45,20.0,-20.030275785074636,-0.4451172396683252,0.4685444817540797,20.53435993948591,7
L120_REBREAK_PB075,rebreak+stagnation,30,13.333333333333334,-22.13313125832469,-0.7377710419441563,0.1733650021811097,22.561589815563003,12
L240_STAG_ONLY,stagnation,49,18.367346938775512,-24.39253128336129,-0.49780676088492426,0.4203414229477518,25.84222447366261,9
L360_EITHER_PB100,rebreak,123,27.64227642276423,-27.279776072862372,-0.22178679734034448,0.6877010509422151,31.664504051799604,11
L360_STAG_ONLY,rebreak+stagnation,67,25.37313432835821,-28.559540270979905,-0.4262617950892523,0.42248648843700476,33.672134656018756,12
L360_EITHER_PB075,rebreak,129,26.356589147286826,-32.03266214246462,-0.2483152104067025,0.6642622945976483,35.52031094017669,11
L360_REBREAK_PB075,rebreak,139,28.05755395683453,-33.99778365263601,-0.2445883716016979,0.6623095208152118,37.48543245034808,11
L240_EITHER_PB100,rebreak,166,28.313253012048197,-36.56175511180133,-0.22025153681808032,0.6863247822784599,38.57009278809271,13
L240_STAG_ONLY,rebreak+stagnation,84,23.809523809523807,-36.6926418620366,-0.4368171650242453,0.41421393850418003,36.68801261777537,12
L120_EITHER_PB075,rebreak,299,31.103678929765888,-43.544210907997005,-0.14563281240132778,0.7886434789712781,47.57727903205191,20
L240_EITHER_PB075,rebreak,178,26.96629213483146,-46.43014741131266,-0.2608435247826554,0.6423242006237283,48.438485087604036,14
L240_REBREAK_PB075,rebreak,191,28.272251308900525,-48.37278349599447,-0.25326064657588726,0.6467419183866737,50.38112117228583,15
L120_REBREAK_PB075,rebreak,324,30.864197530864196,-53.345048664321354,-0.16464521192691775,0.7623623095589702,56.34871544702467,22
L120_STAG_ONLY,rebreak+stagnation,146,26.71232876712329,-57.549272347440755,-0.3941730982701422,0.44024478547242557,64.6704511519644,22
