case,notes,all_trades,all_win_rate,all_total_r,all_avg_r,all_pf,all_max_dd_r,all_max_losing_streak,train_trades,train_win_rate,train_total_r,train_avg_r,train_pf,train_max_dd_r,train_max_losing_streak,test_trades,test_win_rate,test_total_r,test_avg_r,test_pf,test_max_dd_r,test_max_losing_streak,oos_trades,oos_win_rate,oos_total_r,oos_avg_r,oos_pf,oos_max_dd_r,oos_max_losing_streak,score
L120_STAG_ONLY__ADX30_RISK_LE2_BBW3_8,ADX>=30 + risk<=2ATR + BB幅3-8ATR,27,48.148148148148145,10.244822750386826,0.37943787964395653,1.684308482965406,7.0138594509648335,6,16,31.25,-2.2347168340961345,-0.1396698021310084,0.8089846595120254,6.493797325481092,6,10,70.0,10.481102237054593,1.0481102237054594,4.203358365830844,3.271910613827356,3,1,100.0,1.9984373474283665,1.9984373474283665,inf,0.0,0,28.2945091244127
L120_EITHER_PB075__ADX30_RISK_LE2_BBW3_8,ADX>=30 + risk<=2ATR + BB幅3-8ATR,51,39.21568627450981,6.5361093000767605,0.12815900588385806,1.203803909153513,12.861275000522056,8,30,26.666666666666668,-7.543256891079358,-0.25144189636931197,0.6677653335942173,11.638726891636232,8,18,61.111111111111114,14.106997044416769,0.7837220580231539,2.921958975154213,3.1956980161515607,3,3,33.33333333333333,-0.027630853260650845,-0.009210284420216949,0.986362328152994,2.0260682006890174,2,25.3258850551442
L120_STAG_ONLY__ADX30_RISK_LE1_5_BBW3_8,ADX>=30 + risk<=1.5ATR + BB幅3-8ATR,18,55.55555555555556,10.616174521400547,0.5897874734111415,2.2186037678975454,3.406763132639054,3,11,45.45454545454545,2.9245899728140228,0.2658718157103657,1.447195835951658,3.406763132639054,3,6,66.66666666666666,5.693147201158159,0.9488578668596932,3.6212618710856153,1.0396514474657728,2,1,100.0,1.9984373474283665,1.9984373474283665,inf,0.0,0,21.97174567493127
L120_REBREAK_PB075__ADX30_RISK_LE2_BBW3_8,ADX>=30 + risk<=2ATR + BB幅3-8ATR,37,35.13513513513514,0.39005698745652984,0.010542080742068374,1.015736901731097,14.502140327010789,14,20,15.0,-11.895156843301205,-0.5947578421650602,0.3238342858937746,14.502140327010789,14,15,66.66666666666666,14.31128203144675,0.9540854687631166,3.7692138651346965,2.0244741941962117,2,2,0.0,-2.0260682006890174,-1.0130341003445087,0.0,1.0073142167150142,2,18.299892258315392
L120_STAG_ONLY__GBP_ADX25_RISK_LE2_5_BBW3_8,GBPJPY + ADX>=25 + risk<=2.5ATR + BB幅3-8ATR,8,62.5,6.842026683800728,0.855253335475091,3.251170571680636,1.0229902624207816,1,5,60.0,3.9682454379238843,0.7936490875847768,2.9517118474201154,1.0229902624207816,1,2,50.0,0.8753438984484774,0.4376719492242387,1.870030822979315,0.0,1,1,100.0,1.9984373474283665,1.9984373474283665,inf,0.0,0,13.926732214924339
L120_STAG_ONLY__GBP_ADX25_RISK_LE2_BARS_LE24,GBPJPY + ADX>=25 + risk<=2ATR + 24本以内,8,62.5,6.831817877535524,0.8539772346919405,3.218972619262276,1.0290400804427524,1,7,57.14285714285714,4.833380530107157,0.690482932872451,2.569880703355649,1.0290400804427524,1,0,0.0,0.0,0.0,,0.0,0,1,100.0,1.9984373474283665,1.9984373474283665,inf,0.0,0,12.563416650146815
L240_EITHER_PB100__GBP_AUD_ADX25,GBPJPY/AUDJPY + ADX>=25,51,37.254901960784316,3.080038565526204,0.06039291304953341,1.09660639827238,7.338956585009516,6,38,34.21052631578947,-0.33967831844603924,-0.008938903117001032,0.9863063956136916,7.269417691367361,5,10,60.0,6.443136754407444,0.6443136754407444,2.589599718246388,2.021158567799789,2,3,0.0,-3.023419870435199,-1.0078066234783998,0.0,2.014599793306334,3,11.308575514405039
L240_EITHER_PB075__GBP_AUD_ADX25,GBPJPY/AUDJPY + ADX>=25,52,36.53846153846153,2.5968924257743615,0.04994023895719926,1.0774615417211522,7.3486845398343394,6,39,33.33333333333333,-0.8172841529233592,-0.020956003921111774,0.9690922085099561,7.331005535359542,5,10,60.0,6.437596449132921,0.6437596449132921,2.586064928815627,2.021158567799789,2,3,0.0,-3.023419870435199,-1.0078066234783998,0.0,2.014599793306334,3,10.743278701022309
L120_EITHER_PB075__GBP_AUD_ADX25,GBPJPY/AUDJPY + ADX>=25,92,35.869565217391305,0.7256167731666754,0.007887138838768211,1.0121105637289658,14.302310414256427,7,64,32.8125,-3.188493557289287,-0.04982021183264511,0.9270707973659887,14.302310414256427,7,20,55.00000000000001,8.991174966796013,0.44955874833980064,1.985861215112499,3.042470705583124,3,8,12.5,-5.077064636340051,-0.6346330795425064,0.2824446028017361,7.075501983768417,7,10.688347877719396
L120_EITHER_PB075__ADX30_RISK_LE1_5_BBW3_8,ADX>=30 + risk<=1.5ATR + BB幅3-8ATR,19,47.368421052631575,6.9276792975106645,0.3646146998689823,1.6626012565395762,4.265385424468185,4,14,42.857142857142854,3.1488486157617914,0.2249177582686994,1.3801412121266863,2.0934745353053645,2,4,50.0,1.7803933343205067,0.4450983335801267,1.819735903164412,1.0396514474657728,2,1,100.0,1.9984373474283665,1.9984373474283665,inf,0.0,0,10.517597698758866
L240_REBREAK_PB075__GBP_AUD_ADX25,GBPJPY/AUDJPY + ADX>=25,47,38.297872340425535,0.9956247869352157,0.02118350610500459,1.033801474685705,8.201107877295982,7,34,35.294117647058826,-2.418551791762507,-0.07113387622830902,0.891897678797067,8.201107877295982,7,10,60.0,6.437596449132921,0.6437596449132921,2.586064928815627,2.021158567799789,2,3,0.0,-3.023419870435199,-1.0078066234783998,0.0,2.014599793306334,3,8.741461496521328
L120_STAG_ONLY__GBP_AUD_ADX25_RISK_LE3,GBPJPY/AUDJPY + ADX>=25 + risk<=3ATR,20,40.0,4.088077412586468,0.20440387062932341,1.3501725618702174,4.127867942085535,4,15,33.33333333333333,0.2752461811723188,0.01834974541148792,1.0286069141588485,2.511272478757708,3,4,50.0,1.814393883985783,0.45359847099644574,1.8838633915975143,1.0061067669430015,2,1,100.0,1.9984373474283665,1.9984373474283665,inf,0.0,0,8.649893168060593
L240_REBREAK_PB075__ADX30_RISK_LE2_BBW3_8,ADX>=30 + risk<=2ATR + BB幅3-8ATR,21,33.33333333333333,-0.7468311233140754,-0.03556338682447978,0.9485536673494558,9.491304906433221,9,13,15.384615384615385,-7.512852947884662,-0.577911765221897,0.3449697651622727,9.424634399654533,9,7,71.42857142857143,7.773336041285602,1.1104765773265146,4.810620319393881,1.0161264276951956,1,1,0.0,-1.0073142167150142,-1.0073142167150142,0.0,0.0,1,8.311083445233079
L360_REBREAK_PB075__GBP_ADX25_RISK_LE2_5_BBW3_8,GBPJPY + ADX>=25 + risk<=2.5ATR + BB幅3-8ATR,5,40.0,1.6756323820881318,0.3351264764176264,1.5433145845655234,2.069816941873781,2,4,25.0,-1.0715194124137166,-0.26787985310342916,0.6525657234649742,2.069816941873781,2,1,100.0,2.7471517945018484,2.7471517945018484,inf,0.0,0,0,0.0,0.0,0.0,,0.0,0,6.997852805026115
L360_REBREAK_PB075__GBP_AUD_ADX25,GBPJPY/AUDJPY + ADX>=25,38,36.84210526315789,-1.0135337456373616,-0.02667194067466741,0.9583936509844998,9.016301184685979,7,31,32.25806451612903,-5.0913175045347865,-0.1642360485333802,0.7611958726843062,9.016301184685979,7,5,80.0,6.092383552203758,1.2184767104407517,6.941367381589607,0.0,1,2,0.0,-2.014599793306334,-1.007299896653167,0.0,1.0029752672278323,2,5.696000234107943
