symbol,denial_name,denial_family,d1_signal_time,context_start,fail_bars,denial_level,atr,body_ratio,close_location,rsi14
AUDJPY,DONCHIAN20_FALSE_BREAK_6_Q,Donchian20下抜け否定,2015-01-16,2015-01-17,2,95.632,1.0366891423995477,0.7878590078328885,0.8603133159268855,46.29599600582646
AUDJPY,DONCHIAN20_FALSE_BREAK_6_Q,Donchian20下抜け否定,2015-01-26,2015-01-27,1,93.049,1.1454871791083754,0.9137818419333824,0.9170476812540849,36.82981426993512
AUDJPY,DONCHIAN55_FALSE_BREAK_6_Q,Donchian55下抜け否定,2015-01-26,2015-01-27,1,93.049,1.1454871791083754,0.9137818419333824,0.9170476812540849,36.82981426993512
AUDJPY,RSI_70_30_REJECT_6_Q,RSI30割れ否定,2015-01-26,2015-01-27,2,30.0,1.1454871791083754,0.9137818419333824,0.9170476812540849,36.82981426993512
AUDJPY,DONCHIAN20_FALSE_BREAK_6_Q,Donchian20下抜け否定,2015-02-02,2015-02-03,2,91.38,1.172960992882553,0.5855855855855776,0.6171171171171155,31.39978894699192
AUDJPY,DONCHIAN55_FALSE_BREAK_6_Q,Donchian55下抜け否定,2015-02-02,2015-02-03,2,91.38,1.172960992882553,0.5855855855855776,0.6171171171171155,31.39978894699192
AUDJPY,RSI_70_30_REJECT_6_Q,RSI30割れ否定,2015-02-02,2015-02-03,3,30.0,1.172960992882553,0.5855855855855776,0.6171171171171155,31.39978894699192
AUDJPY,RSI_70_30_REJECT_6_Q,RSI30割れ否定,2015-02-05,2015-02-06,1,30.0,1.2976057949573516,0.5632377740303561,0.7748735244519441,34.666698371556805
AUDJPY,DONCHIAN20_FALSE_BREAK_6_Q,Donchian20下抜け否定,2015-04-07,2015-04-08,4,90.868,0.8765453273272013,0.7332928311057066,0.8201701093560108,47.06097958948877
AUDJPY,DONCHIAN20_FALSE_BREAK_6_Q,Donchian20下抜け否定,2015-07-09,2015-07-10,1,90.433,1.1548934392381358,0.5823466092572732,0.8740581270183014,31.221288155755133
AUDJPY,DONCHIAN55_FALSE_BREAK_6_Q,Donchian55下抜け否定,2015-07-09,2015-07-10,1,90.433,1.1548934392381358,0.5823466092572732,0.8740581270183014,31.221288155755133
AUDJPY,RSI_70_30_REJECT_6_Q,RSI30割れ否定,2015-07-09,2015-07-10,5,30.0,1.1548934392381358,0.5823466092572732,0.8740581270183014,31.221288155755133
AUDJPY,RSI_70_30_REJECT_6_Q,RSI30割れ否定,2015-08-27,2015-08-28,4,30.0,1.4660666561076474,0.7146610614818683,0.9385181292695722,35.74785735694658
AUDJPY,RSI_70_30_REJECT_6_Q,RSI30割れ否定,2015-09-02,2015-09-03,1,30.0,1.4741271102557283,0.747159090909095,0.8792613636363625,34.18308363002933
AUDJPY,DONCHIAN20_FALSE_BREAK_6_Q,Donchian20下抜け否定,2015-12-14,2015-12-15,1,86.793,0.9626078238692851,0.9336316181953773,0.9970171513795638,46.98847145695904
AUDJPY,DONCHIAN20_FALSE_BREAK_6_Q,Donchian20下抜け否定,2016-04-12,2016-04-13,4,82.804,1.1749562898730017,0.9405762304921951,1.0,47.9750841860451
AUDJPY,DONCHIAN20_FALSE_BREAK_6_Q,Donchian20下抜け否定,2016-05-10,2016-05-11,3,79.488,1.245173750472513,0.7985611510791409,0.895356442119034,41.7591918052612
AUDJPY,DONCHIAN55_FALSE_BREAK_6_Q,Donchian55下抜け否定,2016-05-10,2016-05-11,3,79.488,1.245173750472513,0.7985611510791409,0.895356442119034,41.7591918052612
AUDJPY,DONCHIAN20_FALSE_BREAK_6_Q,Donchian20下抜け否定,2016-06-15,2016-06-16,1,78.034,0.940005622110836,0.5145728643216135,0.7618090452261336,42.35609318702142
AUDJPY,DONCHIAN55_FALSE_BREAK_6_Q,Donchian55下抜け否定,2016-06-15,2016-06-16,1,78.034,0.940005622110836,0.5145728643216135,0.7618090452261336,42.35609318702142
AUDJPY,RSI_70_30_REJECT_6_Q,RSI30割れ否定,2017-04-09,2017-04-10,1,30.0,0.735142436688843,0.8394736842105118,0.8394736842105118,32.95841813011053
AUDJPY,RSI_70_30_REJECT_6_Q,RSI30割れ否定,2017-04-13,2017-04-14,2,30.0,0.7690235874185251,0.4853090172239056,0.6382978723404296,31.462851227172422
AUDJPY,DONCHIAN20_FALSE_BREAK_6_Q,Donchian20下抜け否定,2017-04-17,2017-04-18,5,82.795,0.7351420632501809,0.8658959537572251,0.9791907514450858,38.797985490948264
AUDJPY,DONCHIAN55_FALSE_BREAK_6_Q,Donchian55下抜け否定,2017-04-17,2017-04-18,5,82.795,0.7351420632501809,0.8658959537572251,0.9791907514450858,38.797985490948264
AUDJPY,RSI_70_30_REJECT_6_Q,RSI30割れ否定,2017-04-17,2017-04-18,2,30.0,0.7351420632501809,0.8658959537572251,0.9791907514450858,38.797985490948264
AUDJPY,DONCHIAN20_FALSE_BREAK_6_Q,Donchian20下抜け否定,2017-04-20,2017-04-21,1,81.838,0.7694198662393035,0.6966173361522022,0.7019027484143688,38.2355202363774
AUDJPY,DONCHIAN55_FALSE_BREAK_6_Q,Donchian55下抜け否定,2017-04-20,2017-04-21,1,81.838,0.7694198662393035,0.6966173361522022,0.7019027484143688,38.2355202363774
AUDJPY,DONCHIAN20_FALSE_BREAK_6_Q,Donchian20下抜け否定,2017-08-13,2017-08-14,2,86.285,0.6801393369233804,0.7323943661971619,1.0,40.715183392233776
AUDJPY,DONCHIAN20_FALSE_BREAK_6_Q,Donchian20下抜け否定,2017-10-11,2017-10-12,4,87.671,0.6154431736537963,0.5429769392033507,0.9601677148846849,46.33773534296875
AUDJPY,DONCHIAN20_FALSE_BREAK_6_Q,Donchian20下抜け否定,2017-11-20,2017-11-21,1,84.639,0.5908108181302458,0.7611111111111248,0.8962962962962996,31.303223022913926
AUDJPY,DONCHIAN55_FALSE_BREAK_6_Q,Donchian55下抜け否定,2017-11-20,2017-11-21,1,84.639,0.5908108181302458,0.7611111111111248,0.8962962962962996,31.303223022913926
AUDJPY,RSI_70_30_REJECT_6_Q,RSI30割れ否定,2017-11-20,2017-11-21,2,30.0,0.5908108181302458,0.7611111111111248,0.8962962962962996,31.303223022913926
AUDJPY,RSI_70_30_REJECT_6_Q,RSI30割れ否定,2018-02-19,2018-02-20,4,30.0,0.8199791774097571,0.7517241379310591,0.7586206896551972,32.89216873396322
AUDJPY,DONCHIAN20_FALSE_BREAK_6_Q,Donchian20下抜け否定,2018-03-05,2018-03-06,2,82.125,0.7807895893793724,0.5762557077625579,0.926027397260284,31.21855459816193
AUDJPY,DONCHIAN55_FALSE_BREAK_6_Q,Donchian55下抜け否定,2018-03-05,2018-03-06,2,82.125,0.7807895893793724,0.5762557077625579,0.926027397260284,31.21855459816193
AUDJPY,RSI_70_30_REJECT_6_Q,RSI30割れ否定,2018-03-05,2018-03-06,4,30.0,0.7807895893793724,0.5762557077625579,0.926027397260284,31.21855459816193
AUDJPY,RSI_70_30_REJECT_6_Q,RSI30割れ否定,2018-03-07,2018-03-08,1,30.0,0.8362624520669071,0.8452157598499119,0.9784240150093843,40.84786318192545
AUDJPY,DONCHIAN20_FALSE_BREAK_6_Q,Donchian20下抜け否定,2018-03-26,2018-03-27,3,81.255,0.8509077391010992,0.9576669802446021,0.9887111947318903,43.31106585544808
AUDJPY,DONCHIAN55_FALSE_BREAK_6_Q,Donchian55下抜け否定,2018-03-26,2018-03-27,3,81.255,0.8509077391010992,0.9576669802446021,0.9887111947318903,43.31106585544808
