context_name,v_strategy,period,trades,win_rate,total_r_after_cost,avg_r_after_cost,pf_after_cost,max_dd_r,max_losing_streak,avg_hold_bars
AVOID_D20_OR_RSI_30D,RS120_RECLAIM_RR15,Research_2015_2024,78,51.28205128205128,20.92492683577435,0.26826829276633785,1.585582996944586,5.058568698593196,5,70.53846153846153
AVOID_D20_OR_RSI_30D,RS120_BODY45_CLOSE60_RR15,Research_2015_2024,71,52.112676056338024,20.36659844650343,0.2868534992465272,1.6403367360571284,4.600707061746995,5,71.38028169014085
AVOID_D20_D55_OR_RSI_20D,RS120_RECLAIM_RR15,Research_2015_2024,91,49.45054945054945,20.145949885681294,0.2213840646778164,1.4596652371189067,6.646440681691633,5,72.45054945054945
AVOID_D20_OR_RSI_20D,RS120_RECLAIM_RR15,Research_2015_2024,91,49.45054945054945,20.145949885681294,0.2213840646778164,1.4596652371189067,6.646440681691633,5,72.45054945054945
AVOID_D20_OR_RSI_30D,RS100_BODY45_CLOSE60_RR15,Research_2015_2024,106,48.113207547169814,19.937634400591715,0.18809089057161996,1.3797214016376187,8.16339179184682,6,69.4245283018868
AVOID_D20_D55_OR_RSI_20D,RS100_BODY45_CLOSE60_RR15,Research_2015_2024,121,47.107438016528924,19.59170491144718,0.1619149166235304,1.3177673615688308,10.18449840518767,8,71.85950413223141
AVOID_D20_OR_RSI_20D,RS100_BODY45_CLOSE60_RR15,Research_2015_2024,121,47.107438016528924,19.59170491144718,0.1619149166235304,1.3177673615688308,10.18449840518767,8,71.85950413223141
AVOID_D20_D55_OR_RSI_20D,RS120_BODY45_CLOSE60_RR15,Research_2015_2024,82,50.0,19.106809658325464,0.23300987388201785,1.4912660980354189,5.637122348267164,5,73.04878048780488
AVOID_D20_OR_RSI_20D,RS120_BODY45_CLOSE60_RR15,Research_2015_2024,82,50.0,19.106809658325464,0.23300987388201785,1.4912660980354189,5.637122348267164,5,73.04878048780488
AVOID_D20_OR_RSI_10D,RS100_BODY45_CLOSE60_RR15,Research_2015_2024,140,46.42857142857143,18.96055179923561,0.13543251285168292,1.260612884538563,13.208962800000284,9,73.17142857142858
BASELINE_NO_D1_CONTEXT,RS120_BODY45_CLOSE60_RR15,Research_2015_2024,114,48.24561403508772,17.93611996353888,0.15733438564507787,1.3173250595797596,9.626330446675315,8,79.21929824561404
AVOID_D20_OR_RSI_10D,RS120_RECLAIM_RR15,Research_2015_2024,108,47.22222222222222,17.88767283869206,0.1656266003582598,1.3256600368474327,9.670905076504246,6,72.80555555555556
AVOID_D20_OR_RSI_10D,RS120_BODY45_CLOSE60_RR15,Research_2015_2024,98,47.95918367346938,17.854749649511266,0.1821913229541966,1.3644809724786875,8.66158674307978,7,73.78571428571429
BASELINE_NO_D1_CONTEXT,RS100_BODY45_CLOSE60_RR15,Research_2015_2024,165,46.06060606060606,17.44351752791487,0.10571828804796891,1.205410891790003,13.941961386316525,9,78.55151515151515
AVOID_D20_OR_RSI_15D,RS120_RECLAIM_RR15,Research_2015_2024,99,47.474747474747474,16.989850787973605,0.1716146544239758,1.3405260415001021,7.654858127628508,5,71.64646464646465
AVOID_D20_OR_RSI_15D,RS120_BODY45_CLOSE60_RR15,Research_2015_2024,89,48.31460674157304,16.956927598792817,0.19052727639093053,1.3858030076733119,6.645539794204039,6,72.59550561797752
