context_name,v_strategy,strategy,trades,win_rate,total_r_after_cost,avg_r_after_cost,pf_after_cost,max_dd_r,max_losing_streak,avg_hold_bars
AVOID_D20_OR_RSI_30D,RS100_BODY45_CLOSE60_RR15,AVOID_D20_OR_RSI_30D__RS100_BODY45_CLOSE60_RR15,126,52.38095238095239,34.75749356591367,0.2758531235389974,1.610290538232367,8.16339179184682,6,73.03968253968254
AVOID_D20_D55_OR_RSI_20D,RS100_BODY45_CLOSE60_RR15,AVOID_D20_D55_OR_RSI_20D__RS100_BODY45_CLOSE60_RR15,141,51.06382978723404,34.41156407676913,0.24405364593453285,1.5205933745830515,10.18449840518767,8,74.74468085106383
AVOID_D20_OR_RSI_20D,RS100_BODY45_CLOSE60_RR15,AVOID_D20_OR_RSI_20D__RS100_BODY45_CLOSE60_RR15,141,51.06382978723404,34.41156407676913,0.24405364593453285,1.5205933745830515,10.18449840518767,8,74.74468085106383
AVOID_D20_OR_RSI_30D,RS120_RECLAIM_RR15,AVOID_D20_OR_RSI_30D__RS120_RECLAIM_RR15,94,54.25531914893617,31.97096227734336,0.34011661997173787,1.7956570817198705,5.058568698593196,5,73.52127659574468
AVOID_D20_OR_RSI_10D,RS100_BODY45_CLOSE60_RR15,AVOID_D20_OR_RSI_10D__RS100_BODY45_CLOSE60_RR15,162,49.382716049382715,31.776421392977884,0.19615074933936966,1.4011966319342544,13.208962800000284,9,75.67901234567901
AVOID_D20_D55_OR_RSI_20D,RS120_RECLAIM_RR15,AVOID_D20_D55_OR_RSI_20D__RS120_RECLAIM_RR15,107,52.336448598130836,31.191985327250308,0.291513881563087,1.646120797550709,6.646440681691633,5,74.78504672897196
AVOID_D20_OR_RSI_20D,RS120_RECLAIM_RR15,AVOID_D20_OR_RSI_20D__RS120_RECLAIM_RR15,107,52.336448598130836,31.191985327250308,0.291513881563087,1.646120797550709,6.646440681691633,5,74.78504672897196
AVOID_D20_OR_RSI_30D,RS120_BODY45_CLOSE60_RR15,AVOID_D20_OR_RSI_30D__RS120_BODY45_CLOSE60_RR15,85,55.294117647058826,30.92769962697831,0.3638552897291566,1.8774658195944192,4.600707061746995,5,73.36470588235294
AVOID_D20_D55_OR_RSI_20D,RS120_BODY45_CLOSE60_RR15,AVOID_D20_D55_OR_RSI_20D__RS120_BODY45_CLOSE60_RR15,96,53.125,29.66791083880034,0.3090407379041702,1.7008134714361545,5.637122348267164,5,74.5625
AVOID_D20_OR_RSI_20D,RS120_BODY45_CLOSE60_RR15,AVOID_D20_OR_RSI_20D__RS120_BODY45_CLOSE60_RR15,96,53.125,29.66791083880034,0.3090407379041702,1.7008134714361545,5.637122348267164,5,74.5625
AVOID_D20_OR_RSI_15D,RS100_BODY45_CLOSE60_RR15,AVOID_D20_OR_RSI_15D__RS100_BODY45_CLOSE60_RR15,151,49.00662251655629,29.207375008109395,0.19342632455701586,1.3937916127563967,11.192915851124544,8,74.68211920529801
BASELINE_NO_D1_CONTEXT,RS100_BODY45_CLOSE60_RR15,BASELINE_NO_D1_CONTEXT__RS100_BODY45_CLOSE60_RR15,189,48.148148148148145,28.25278528966291,0.14948563645324292,1.3025664379150794,13.941961386316525,9,79.80423280423281
AVOID_D20_OR_RSI_10D,RS120_RECLAIM_RR15,AVOID_D20_OR_RSI_10D__RS120_RECLAIM_RR15,125,49.6,27.93146110750111,0.22345168886000888,1.4626096744549442,9.670905076504246,6,75.024
AVOID_D20_OR_RSI_10D,RS120_BODY45_CLOSE60_RR15,AVOID_D20_OR_RSI_10D__RS120_BODY45_CLOSE60_RR15,113,50.442477876106196,27.41360365722619,0.2425982624533291,1.5130792708918048,8.66158674307978,7,75.26548672566372
AVOID_D20_OR_RSI_15D,RS120_RECLAIM_RR15,AVOID_D20_OR_RSI_15D__RS120_RECLAIM_RR15,116,50.0,27.033639056782658,0.23304861255847117,1.4884696007061053,7.654858127628508,5,74.20689655172414
AVOID_D20_OR_RSI_15D,RS120_BODY45_CLOSE60_RR15,AVOID_D20_OR_RSI_15D__RS120_BODY45_CLOSE60_RR15,104,50.96153846153846,26.515781606507737,0.25495943852411285,1.5479024060613251,6.645539794204039,6,74.375
BASELINE_NO_D1_CONTEXT,RS120_BODY45_CLOSE60_RR15,BASELINE_NO_D1_CONTEXT__RS120_BODY45_CLOSE60_RR15,130,50.0,26.490215744472845,0.2037708903420988,1.4274655907608735,9.626330446675315,8,79.71538461538462
AVOID_D20_OR_RSI_5D,RS100_BODY45_CLOSE60_RR15,AVOID_D20_OR_RSI_5D__RS100_BODY45_CLOSE60_RR15,175,47.42857142857143,26.0652914932419,0.14894452281852516,1.291635823499843,13.208962800000284,10,74.67428571428572
AVOID_D20_OR_RSI_5D,RS120_BODY45_CLOSE60_RR15,AVOID_D20_OR_RSI_5D__RS120_BODY45_CLOSE60_RR15,120,48.333333333333336,22.827351696270515,0.19022793080225428,1.3836045991374784,9.627428103580161,9,74.65833333333333
BASELINE_NO_D1_CONTEXT,RS120_RECLAIM_RR15,BASELINE_NO_D1_CONTEXT__RS120_RECLAIM_RR15,151,47.682119205298015,21.786649042624006,0.14428244399088747,1.2864547363281706,9.624968140145691,7,78.09271523178808
AVOID_D20_OR_RSI_5D,RS120_RECLAIM_RR15,AVOID_D20_OR_RSI_5D__RS120_RECLAIM_RR15,135,46.666666666666664,20.245055536824253,0.1499633743468463,1.2910607402596084,9.67090507650425,7,74.02222222222223
AVOID_D20_OR_RSI_10D,RS120_UPREG_BODY45_CLOSE60_RR15,AVOID_D20_OR_RSI_10D__RS120_UPREG_BODY45_CLOSE60_RR15,54,51.85185185185185,13.335285286350906,0.2469497275250168,1.5296532556513727,5.074142290900922,5,69.20370370370371
AVOID_D20_OR_RSI_5D,RS120_UPREG_BODY45_CLOSE60_RR15,AVOID_D20_OR_RSI_5D__RS120_UPREG_BODY45_CLOSE60_RR15,54,51.85185185185185,13.335285286350906,0.2469497275250168,1.5296532556513727,5.074142290900922,5,69.20370370370371
BASELINE_NO_D1_CONTEXT,RS120_UPREG_BODY45_CLOSE60_RR15,BASELINE_NO_D1_CONTEXT__RS120_UPREG_BODY45_CLOSE60_RR15,54,51.85185185185185,13.335285286350906,0.2469497275250168,1.5296532556513727,5.074142290900922,5,69.20370370370371
AVOID_D20_OR_RSI_15D,RS120_UPREG_BODY45_CLOSE60_RR15,AVOID_D20_OR_RSI_15D__RS120_UPREG_BODY45_CLOSE60_RR15,52,50.0,10.37211926258185,0.19946383197272788,1.4119616954167225,5.074142290900922,5,69.09615384615384
AVOID_D20_D55_OR_RSI_20D,RS120_UPREG_BODY45_CLOSE60_RR15,AVOID_D20_D55_OR_RSI_20D__RS120_UPREG_BODY45_CLOSE60_RR15,50,50.0,9.892304737556666,0.19784609475113332,1.4095795630026726,5.074142290900922,5,68.96
AVOID_D20_OR_RSI_20D,RS120_UPREG_BODY45_CLOSE60_RR15,AVOID_D20_OR_RSI_20D__RS120_UPREG_BODY45_CLOSE60_RR15,50,50.0,9.892304737556666,0.19784609475113332,1.4095795630026726,5.074142290900922,5,68.96
