outcome,keep_with_l60_guard,symbol,entry_time,period,base_r_after_cost,lookback_bars,support_age_bars,break_depth_atr,break_close_location,risk_atr_at_signal,adx14,bb_width_atr,bb_pos,prev_d1_rsi14,prev_d1_adx14,prev_d1_bb_pos,prev_d1_close_location,base_exit_reason
loss,False,GBPJPY,2018-11-16 20:00:00,train_2015_2020,-1.020892894923232,60,60,0.2937042210606631,0.0,1.3313655411778913,37.41918740075091,7.777710076704847,0.1713821667798714,42.030153032622515,19.7075032668416,0.3417753270195709,0.1878453038673971,SL
loss,False,CHFJPY,2020-01-28 12:00:00,train_2015_2020,-1.0677291762383996,60,1,0.2034589319276062,0.0620689655172423,1.3531995420073977,40.43602148899669,5.942726432454857,0.1804581107833646,46.11194384653321,31.92870920238727,0.3416894993292482,0.4586776859504357,SL
loss,False,EURJPY,2020-04-02 12:00:00,train_2015_2020,-1.0174457000014427,60,55,0.1465105518439623,0.1714285714285737,1.2938876818882583,37.8697775264587,6.558209006118389,0.1487031100111361,39.11695917639401,13.703456922909384,0.1115932226417755,0.2447916666666676,SL
win,True,XAUUSD,2015-06-05 12:00:00,train_2015_2020,1.938060932353784,120,111,0.2092987441803503,0.2376088915590122,1.2041995219039854,30.751431599741498,5.788494312563242,0.1016521371970484,37.167574067729035,10.972169413682147,0.083069191910194,0.3619363595234595,TP
win,True,SILVER,2015-11-03 12:00:00,train_2015_2020,1.77317386311516,120,1,0.3241966145268217,0.368421052631578,1.3420307015640232,32.30661695073879,4.217741232048751,0.1580519570066215,42.90946193593586,18.259425582044184,-0.0344758131625875,0.4810996563573835,TP
win,True,GBPJPY,2016-09-19 12:00:00,train_2015_2020,1.9723364385102236,90,84,0.1224009818517206,0.0800000000000409,1.281665418464571,32.84650536386132,7.335864473588095,0.1136164956699769,40.33203436308171,16.01479596205016,0.1161366563536097,0.5714285714285482,TP
win,True,SILVER,2016-11-16 12:00:00,train_2015_2020,1.9029166353612252,180,3,0.2164846181383765,0.0705128205128145,1.4229530219133286,36.24626870803687,6.514918258845915,0.3360598948781637,36.23153800791705,22.5057089652953,0.0740698608516435,0.8348082595870276,TP
win,True,CHFJPY,2019-04-22 16:00:00,train_2015_2020,1.897339384654003,120,114,0.1765504229952488,0.4125874125873931,1.3160929388555531,43.44907153081055,6.464889745089878,0.2866212736698709,37.61459458490124,15.852600484101126,0.0325930647418184,0.7315436241611288,TP
win,True,EURJPY,2022-03-03 12:00:00,test_2021_2024,1.97764057039559,120,116,0.1549807916037126,0.0,1.102394353820563,32.628970075652674,4.283119783106971,0.3579774468498708,37.99261779924659,26.91064287874528,0.0748362291461163,0.712328767123295,TP
win,True,SILVER,2023-06-21 08:00:00,test_2021_2024,1.863424723063235,60,19,0.2582796349727743,0.0077519379845055,1.230506021655867,30.692718810217013,7.773536054466062,0.0297053299424714,38.76296853331361,21.083945088180716,0.0885177225908856,0.1114519427402879,TP
win,True,GBPJPY,2023-12-13 12:00:00,test_2021_2024,1.97844557552574,120,73,0.2058476696193535,0.2307692307692349,1.4217482732179283,30.06428859230172,4.292818630172977,0.3755101798506254,40.547120195092994,25.60076517650785,0.2004659990179439,0.4999999999999852,TP
win,True,EURJPY,2024-07-22 04:00:00,test_2021_2024,1.9835110206094584,60,17,0.5855619510994243,0.0270270270270405,1.499198829012096,42.01095145236035,3.988792758186647,0.3174764304213812,45.90998836515842,29.872612835946345,0.1938581751435002,0.7599999999999909,TP
win,True,CHFJPY,2024-11-29 00:00:00,test_2021_2024,1.9709234848952353,120,1,0.2562771231752966,0.4119850187265959,1.3645074891577176,45.49001029149255,7.308164074480173,0.2419431915951812,35.579318191195725,21.104199639519216,-0.0882475401658513,0.3215305539691528,TP
win,True,GBPJPY,2025-01-15 08:00:00,oos_2025_2026,1.9843734742835315,120,3,0.4238563482934323,0.4872465663832611,1.4891428761583283,46.021962900282354,4.5215657425533955,0.3737056972615691,43.442034314834935,22.70443272076253,0.1467422695020603,0.9940476190476282,TP
