group,value,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_losing_streak
lookback_bars,120,7,100.0,13.519957285223043,1.9314224693175777,inf,0.0,0
lookback_bars,60,2,100.0,3.8469357436726934,1.9234678718363467,inf,0.0,0
lookback_bars,90,1,100.0,1.9723364385102236,1.9723364385102236,inf,0.0,0
lookback_bars,180,1,100.0,1.9029166353612252,1.9029166353612252,inf,0.0,0
period,test_2021_2024,5,100.0,9.773945374489259,1.9547890748978518,inf,0.0,0
period,train_2015_2020,5,100.0,9.483827253994395,1.896765450798879,inf,0.0,0
period,oos_2025_2026,1,100.0,1.9843734742835315,1.9843734742835315,inf,0.0,0
symbol,GBPJPY,3,100.0,5.935155488319495,1.978385162773165,inf,0.0,0
symbol,SILVER,3,100.0,5.53951522153962,1.84650507384654,inf,0.0,0
symbol,EURJPY,2,100.0,3.9611515910050485,1.9805757955025243,inf,0.0,0
symbol,CHFJPY,2,100.0,3.8682628695492385,1.9341314347746192,inf,0.0,0
symbol,XAUUSD,1,100.0,1.938060932353784,1.938060932353784,inf,0.0,0
