timeframe,family,strategy,period,trades,win_rate,total_r_after_cost,avg_r_after_cost,pf_after_cost,max_dd_r,max_losing_streak,avg_hold_bars,avg_fwd_4_atr,avg_fwd_8_atr,avg_fwd_16_atr,avg_fwd_24_atr,avg_mfe_16_atr,avg_mae_16_atr,hit_1atr_first_16
D1,Donchian高安値更新否定,DONCHIAN20_FALSE_BREAK_6_Q,Research_2015_2024,753,44.223107569721115,61.17221735642259,0.08123800445740052,1.1429475142185312,25.141215054889862,13,3.941567065073041,0.057934729422705535,0.16804925175069804,0.13742217293647238,0.2537477345014879,2.322684241073239,-2.188329675849651,54.581673306772906
D1,Donchian高安値更新否定,DONCHIAN20_FALSE_BREAK_6,Research_2015_2024,1038,43.25626204238921,58.88871713041304,0.05673286814105303,1.0978516985477031,25.051751182969287,12,3.6801541425818884,0.04786062893464955,0.1403637568154332,0.1271597143710949,0.2865301987911398,2.3169800954481077,-2.200151184513944,52.79383429672448
H4,Donchian高安値更新否定,DONCHIAN55_FALSE_BREAK_6,OOS_2025_2026,365,47.94520547945205,58.36833029080536,0.15991323367343935,1.2991437758837547,15.165757986237402,11,3.336986301369863,0.11833141269730894,-0.20157087687741945,0.0021466847076816887,0.03382732257272125,2.446750233413938,-2.3518977114778084,54.794520547945204
H4,Donchian高安値更新否定,DONCHIAN55_FALSE_BREAK_6_Q,OOS_2025_2026,239,50.627615062761514,53.484490408816725,0.22378447869797793,1.4430018538302933,11.735431043480215,6,3.401673640167364,0.1414565550423849,0.16507362932259237,0.2766789649002494,0.42059768122710356,2.4611488181683776,-2.055537330352296,58.57740585774059
D1,RSI 70/30否定,RSI_70_30_REJECT_6_Q,Research_2015_2024,332,46.68674698795181,47.7448416461102,0.14380976399430784,1.2642328350733447,14.31810011214411,7,3.6716867469879517,0.19878451533761532,0.23169022492159885,0.12878672738063518,0.19714418296806932,2.4244989602988056,-2.162280923880062,55.72289156626506
H4,RSI 70/30否定,RSI_70_30_REJECT_6,OOS_2025_2026,301,46.84385382059801,42.79644022819683,0.1421808645455044,1.2600834152830354,16.303023983132483,7,3.2956810631229234,0.2059899398992305,0.3396746897383107,0.6755269133232137,0.7318043805186463,2.560869035068833,-1.8082071619496582,56.47840531561462
D1,RSI 70/30否定,RSI_70_30_REJECT_6,Research_2015_2024,491,44.39918533604888,42.348428665712035,0.08624934555134835,1.1516395061176081,21.187632168449554,12,3.4134419551934827,0.15094645819237898,0.12730740868520893,0.046734522736840575,0.15633256906989917,2.346669412958127,-2.221337510823954,52.74949083503056
H4,Donchian高安値更新否定,DONCHIAN20_FALSE_BREAK_6_Q,OOS_2025_2026,419,45.58472553699284,40.50263228473653,0.09666499351965759,1.173014814835611,25.022128407143704,12,3.596658711217184,0.11191716955143242,0.08535762208206871,-0.05371080127496527,-0.050124225373684814,2.306267478505894,-2.2928771481631864,54.8926014319809
H4,RSI 70/30否定,RSI_70_30_REJECT_6_Q,OOS_2025_2026,211,47.39336492890995,33.870954922058175,0.1605258527111762,1.297463222165949,9.261729440943725,7,3.2369668246445498,0.17520881951488956,0.3407432623600275,0.6583874103395807,0.6406095263054482,2.572130467841733,-1.8054988093967776,59.71563981042654
D1,Bollinger外側否定,BB_OUTER_REJECT_12,OOS_2025_2026,145,48.275862068965516,29.786298060664706,0.2054227452459635,1.3945597979135744,12.432029491936504,7,3.462068965517241,0.02476360869030084,0.15855118580986663,-0.08984159418404222,-0.8194517018226285,2.284829780410576,-2.176454637153867,55.86206896551724
