timeframe,strategy,trades,win_rate,total_r_after_cost,avg_r_after_cost,pf_after_cost,max_dd_r,max_losing_streak,avg_hold_bars
H4,RS100_BODY45_CLOSE60_RR15,189,48.148148148148145,28.25278528966291,0.14948563645324292,1.3025664379150794,13.941961386316525,9,79.80423280423281
H4,RS120_BODY45_CLOSE60_RR15,130,50.0,26.490215744472845,0.2037708903420988,1.4274655907608735,9.626330446675315,8,79.71538461538462
H4,RS120_BODY45_CLOSE60_RR2,128,44.53125,24.826629165969315,0.19395804035913528,1.3745621465578841,11.939034095145924,10,98.21875
H4,RS120_RECLAIM_RR15,151,47.682119205298015,21.786649042624006,0.14428244399088747,1.2864547363281706,9.624968140145691,7,78.09271523178808
H4,RS120_RECLAIM_RR2,149,42.95302013422819,21.26072524032469,0.14268943114311872,1.2645390258830886,12.817219569822017,9,95.42281879194631
H4,RS100_RECLAIM_RR15,221,45.70135746606335,20.012650562236814,0.0905549799196236,1.173323271082587,16.488639511624058,7,77.18552036199095
H4,RS120_RECLAIM_RR1,158,55.06329113924051,13.996688808929731,0.08858663803120083,1.1994403666705593,12.141706371741092,8,55.41772151898734
H4,RS120_UPREG_BODY45_CLOSE60_RR15,54,51.85185185185185,13.335285286350906,0.2469497275250168,1.5296532556513727,5.074142290900922,5,69.20370370370371
H4,RS100_RECLAIM_RR2,216,40.27777777777778,12.095178508431896,0.055996196798295816,1.0984827290360177,21.64424761035137,9,93.57870370370371
H4,RS100_RECLAIM_RR1,230,52.17391304347826,5.389171708335358,0.02343118134058851,1.0496882837325894,15.596265804738564,8,58.14782608695652
H4,RS120_UPREG_BODY45_CLOSE60_STRETCH35_RR15,34,47.05882352941176,2.7300939697150866,0.08029688146220842,1.1493833405631892,4.21772902691022,3,63.85294117647059
H4,RS150_UPREG_BODY45_CLOSE60_STRETCH35_RR15,14,50.0,0.78465169761969,0.05604654982997786,1.1101880956175503,3.0398171770509315,3,74.21428571428571
