strategy,excluded_symbols,trades,win_rate,total_r_after_cost,avg_r_after_cost,pf_after_cost,max_dd_r,research_trades,research_total_r,oos_trades,oos_total_r
SHELF6_DON55_BREAK_RR15,"GBPJPY,USDJPY,XAUUSD",24,66.66666666666666,15.014089381181574,0.6255870575492323,2.832681055197064,2.7600221491134374,24,15.014089381181574,0,0.0
SHELF6_PRECALM_BREAK_RR15,"CHFJPY,SILVER,USDJPY",25,64.0,14.60852270866222,0.5843409083464888,2.591452940961758,2.0523938605443472,21,13.671901109428074,4,0.9366215992341482
SHELF6_DON55_BREAK_RR15,"AUDJPY,USDJPY,XAUUSD",24,62.5,12.916570697088563,0.5381904457120235,2.4547899688463617,4.4663005233059465,24,12.916570697088563,0,0.0
SHELF6_PRECALM_OVERHEAD_ROOM_RR15,"CHFJPY,SILVER,USDJPY",24,62.5,13.129623828303178,0.5470676595126324,2.430341648638074,2.0523938605443472,20,12.193002229069029,4,0.9366215992341482
SHELF8_TIGHT_BREAK_RR15,"CHFJPY,EURJPY,XAUUSD",16,62.5,8.676485832812885,0.5422803645508053,2.4196590006475924,2.0202194282324157,14,5.695612498233475,2,2.980873334579411
SHELF6_DON55_BREAK_RR15,"EURJPY,USDJPY,XAUUSD",21,61.904761904761905,11.179614245804355,0.5323625831335408,2.419100889351773,3.3417259117184663,21,11.179614245804355,0,0.0
SHELF6_DON55_BREAK_RR15,"USDJPY,XAUUSD",29,62.06896551724138,15.290682851282181,0.5272649259062822,2.3994670327122534,4.033406970684983,29,15.290682851282181,0,0.0
SHELF8_TIGHT_BREAK_RR15,"CHFJPY,GBPJPY,XAUUSD",18,61.111111111111114,9.177361902792862,0.5098534390440479,2.286854347940677,2.6054478493117985,16,6.19648856821345,2,2.980873334579411
SHELF8_TIGHT_BREAK_RR15,"CHFJPY,EURJPY,GBPJPY",18,61.111111111111114,9.083894641135585,0.5046608133964213,2.266896224021551,2.088204849396216,15,7.105696678168284,3,1.9781979629673005
SHELF6_DON55_BREAK_RR15,"CHFJPY,USDJPY,XAUUSD",20,60.0,9.518619147991707,0.47593095739958535,2.215783840466803,2.992445223055526,20,9.518619147991707,0,0.0
SHELF6_DON55_BREAK_RR15,"SILVER,USDJPY,XAUUSD",27,59.25925925925925,12.533837933062523,0.46421621974305644,2.147149094077799,5.381752863960051,27,12.533837933062523,0,0.0
SHELF6_DON20_PRECALM_RR15,"USDJPY,XAUUSD",15,60.0,7.016053903582561,0.46773692690550406,2.123137073685299,5.221300516422955,14,5.53782323470686,1,1.4782306688757012
SHELF6_PRECALM_BREAK_RR15,"CHFJPY,USDJPY,XAUUSD",25,60.0,11.771379932959624,0.47085519731838493,2.1207737482462696,4.962532890709294,22,9.824787260722564,3,1.9465926722370614
SHELF6_PRECALM_BREAK_RR15,"CHFJPY,GBPJPY,USDJPY",25,60.0,11.681813199950332,0.4672725279980133,2.111980398507718,3.28173298533091,21,10.745191600716185,4,0.9366215992341482
