symbol,timeframe,strategy,note,signal_time,period,pair_key,v_start_i,v_extreme_i,v_start,v_extreme,drop,drop_atr,drop_bars,recovery_bars_at_context,recovery_ratio_at_context,drop_speed,recovery_speed_at_context,speed_ratio_at_context,context_i,shelf_high,shelf_low,shelf_range_atr,shelf_hold_level,risk_atr,entry_close,body_ratio,close_location,ema20_gt_50,don20_break,don55_break,dormant120_break,dormant360_break,dormant1250_break,dormant_break_key,dormant_high_level,dormant_break_atr,recent_dormant_break_key,bars_since_dormant_break,recent_dormant_high_level,nearest_overhead_key,nearest_overhead_level,nearest_overhead_room_atr,pre_calm,mfe_12_atr,mae_12_atr,fwd_12_atr,mfe_24_atr,mae_24_atr,fwd_24_atr,mfe_48_atr,mae_48_atr,fwd_48_atr,mfe_72_atr,mae_72_atr,fwd_72_atr,entry_time,entry,stop,target,exit_time,exit,exit_reason,bars_held,risk,r_clean,r_after_cost
GBPJPY,H4,SHELF6_AFTER_DORMANT120_RR15,自作ライン応用: 休眠高値更新から120本以内のV後棚ブレイク。,2015-02-25 16:00:00,Research_2015_2024,3330-3344,3330,3344,184.14,181.51,2.6299999999999955,3.774559020384194,14,10,0.946768060836507,0.269611358598871,0.3573631924242089,1.32547528517111,3354,184.5,183.5,1.7712558868155903,182.825,2.1098186811564137,184.55,0.7741935483871204,0.8709677419355105,True,False,False,False,False,False,NONE,,,dormant120,82.0,180.88,NONE,,,False,0.7793525901988557,1.8243935634200599,0.33653861849495814,0.7793525901988557,1.8243935634200599,-1.3284419151116926,0.7793525901988557,5.45546813139204,-3.1528354785317525,0.7793525901988557,8.448890580110383,-8.324902668033305,2015-02-25 20:00:00,184.54,183.35885720868401,186.336714186974,2015-03-04 08:00:00,183.35885720868401,SL,28,1.1811427913159775,-1.0,-1.016932753725482
USDJPY,H4,SHELF6_AFTER_DORMANT120_RR15,自作ライン応用: 休眠高値更新から120本以内のV後棚ブレイク。,2015-05-31 20:00:00,Research_2015_2024,2220-2229,2220,2229,121.478,120.639,0.8389999999999986,3.350278224901848,9,8,1.0679380214541148,0.37225313610020533,0.4472361873528104,1.201430274135879,2237,124.184,123.606,1.6185036523960292,121.0585,2.0421147708191074,124.246,0.8605769230769394,0.9567307692307673,True,False,False,False,False,False,NONE,,,dormant1250,23.0,122.025,NONE,,,False,2.2597447188297446,1.3804884093965921,-0.5376344312457176,2.2597447188297446,1.3804884093965921,0.4088261820931148,4.499888182353641,5.012320999634714,-4.5670924862593605,4.499888182353641,5.012320999634714,-2.3829526093235507,2015-06-01 00:00:00,124.252,123.51672000376021,125.33991999435966,2015-06-05 12:00:00,125.33991999435966,TP,27,0.7352799962397825,1.4795996082081417,1.4659993470135888
GBPJPY,H4,SHELF6_AFTER_DORMANT120_RR15,自作ライン応用: 休眠高値更新から120本以内のV後棚ブレイク。,2015-06-12 12:00:00,Research_2015_2024,3824-3834,3824,3834,191.9,189.5,2.4000000000000057,4.106467076821883,10,3,0.7541666666666659,0.41064670768218836,1.0323201957010557,2.513888888888886,3837,192.01,191.04,1.5552199679157381,190.7,1.901419141188874,192.07,0.7294117647058925,0.8705882352941007,True,True,True,False,False,False,NONE,,,dormant1250,97.0,189.67,NONE,,,False,1.635385945643372,1.0902572970955813,1.2345560570052945,5.980381938480143,1.0902572970955813,4.970290619112149,5.980381938480143,1.0902572970955813,4.393095579473342,5.980381938480143,1.0902572970955813,-0.01603319554550851,2015-06-12 16:00:00,192.06,190.88407350406837,193.84888974389742,2015-06-17 08:00:00,193.84888974389742,TP,16,1.175926495931634,1.5212598322143909,1.5042519664428684
XAUUSD,H4,SHELF6_AFTER_DORMANT120_RR15,自作ライン応用: 休眠高値更新から120本以内のV後棚ブレイク。,2016-03-08 04:00:00,Research_2015_2024,3422-3435,3422,3435,1253.251,1211.459,41.791999999999916,4.339726184998009,13,7,0.6544075421133229,0.33382509115369297,0.4057070780241963,1.215328292496171,3442,1273.111,1258.319,1.587409916894111,1232.355,1.8963260907972344,1273.66,0.6356889319135276,0.8962030762611686,True,False,False,False,False,False,NONE,,,dormant1250,111.0,1232.329,NONE,,,False,0.47004160600297124,3.2997350003150165,-2.9842276209431446,1.1299242168048895,3.9222718396810614,-2.2279757493671326,1.1299242168048895,5.151248203139091,-1.0484718015180694,1.1299242168048895,6.262928795966713,-5.545095850178129,2016-03-08 08:00:00,1273.659,1255.9894189884137,1300.1658715173796,2016-03-09 00:00:00,1255.9894189884137,SL,4,17.669581011586388,-1.0,-1.019808053160436
CHFJPY,H4,SHELF6_AFTER_DORMANT120_RR15,自作ライン応用: 休眠高値更新から120本以内のV後棚ブレイク。,2016-11-14 12:00:00,Research_2015_2024,4555-4569,4555,4569,106.938,105.541,1.3970000000000056,3.7085926370505824,14,6,0.9520400858983485,0.2648994740750416,0.5884548087899366,2.2214268670961466,4575,108.562,107.757,1.5698708453229138,106.23949999999999,1.8920263997042293,108.599,0.557755775577576,0.9966996699670043,True,True,True,False,False,False,NONE,,,dormant360,57.0,106.447,NONE,,,False,1.5659705450860957,0.6318486383659946,0.8912186041149915,2.3655320936356548,0.6318486383659946,1.5776714457965775,5.659335643636197,0.6318486383659946,5.201050365809008,6.415993889580648,0.6318486383659946,4.703762085613528,2016-11-14 16:00:00,108.6,107.62880474075331,110.05429288887004,2016-11-21 04:00:00,110.05429288887004,TP,28,0.9711952592466844,1.4974258523441284,1.4768326710970088
XAUUSD,H4,SHELF6_AFTER_DORMANT120_RR15,自作ライン応用: 休眠高値更新から120本以内のV後棚ブレイク。,2017-01-17 04:00:00,Research_2015_2024,4834-4841,4834,4841,1206.929,1187.838,19.091000000000122,2.9994823467782,7,3,0.8135246975014326,0.4284974781111714,0.8133843229412073,1.8982242941700094,4844,1208.581,1201.151,1.4162159090031858,1197.3835,2.1078541675712015,1210.898,0.6648044692737552,0.7219273743016723,True,True,True,False,False,False,NONE,,,dormant120,48.0,1180.189,NONE,,,False,1.5058015721568698,2.5427079712116822,-2.159586305384434,1.629887246014365,2.868456691061828,1.0961854229713954,1.7217602026953218,5.234090021699605,-5.148316514424883,1.7217602026953218,5.784946546197511,-0.23806913463594231,2017-01-17 08:00:00,1210.898,1199.839406204032,1227.4858906939517,2017-01-19 00:00:00,1199.839406204032,SL,10,11.058593795967909,-1.0,-1.0316495936515682
XAUUSD,H4,SHELF6_AFTER_DORMANT120_RR15,自作ライン応用: 休眠高値更新から120本以内のV後棚ブレイク。,2017-02-08 08:00:00,Research_2015_2024,4881-4903,4881,4903,1219.931,1180.548,39.38300000000004,6.899017980270025,22,13,0.8094863265876159,0.3135917263759102,0.4295892863008227,1.3698999373021192,4916,1235.709,1227.691,1.5755383623338026,1200.2395000000001,2.0715565750604132,1236.961,0.7524369266055203,0.8011754587156011,True,True,True,False,False,False,NONE,,,dormant360,10.0,1232.998,NONE,,,True,1.5222868162883558,3.020600611847747,-2.0125547402123583,1.5222868162883558,3.470782501110236,-2.004891233585893,1.5222868162883558,4.0007434593559426,-0.5566849813534271,2.773992898611393,4.0007434593559426,2.5957672445035564,2017-02-08 12:00:00,1237.023,1226.4187364690563,1252.7743952964156,2017-02-09 20:00:00,1226.4187364690563,SL,8,10.604263530943626,-1.0,-1.0330055924184478
CHFJPY,H4,SHELF6_AFTER_DORMANT120_RR15,自作ライン応用: 休眠高値更新から120本以内のV後棚ブレイク。,2017-06-02 00:00:00,Research_2015_2024,5464-5482,5464,5482,115.164,113.034,2.1299999999999955,6.063381658762507,18,10,0.6544600938967109,0.3368545365979171,0.39682413297253055,1.1780281690140797,5492,114.88,114.398,1.519331844410775,114.099,1.8828089116281883,114.916,0.74230769230771,0.75,True,True,False,False,False,False,NONE,,,dormant120,36.0,114.962,NONE,,,False,0.37510474996863513,1.8660673275750583,-1.6706346007006507,0.37510474996863513,5.730591894478817,-3.114315066966488,0.37510474996863513,5.730591894478817,-4.4066927769424495,0.37510474996863513,7.63133277037029,-2.1213907288142235,2017-06-02 04:00:00,114.915,114.31868882091605,115.81196676862592,2017-06-06 00:00:00,114.31868882091605,SL,12,0.5963111790839548,-1.0,-1.0335395355672083
EURJPY,H4,SHELF6_AFTER_DORMANT120_RR15,自作ライン応用: 休眠高値更新から120本以内のV後棚ブレイク。,2017-07-10 00:00:00,Research_2015_2024,5542-5547,5542,5547,128.81,127.43,1.3799999999999955,3.186289356065039,5,3,0.6884057971014433,0.6372578712130078,0.7311533546525993,1.1473429951690723,5550,130.11,129.51,1.6739703883264372,128.12,2.063467920686899,130.16,0.5384615384615777,0.7435897435897492,True,True,True,False,False,False,NONE,,,dormant360,54.0,125.8,NONE,,,False,1.6181713753821962,0.8648847006352994,-0.13949753236048357,1.6181713753821962,4.6313180743696245,-2.148261998352208,1.6181713753821962,4.6313180743696245,-3.347940776652716,1.6181713753821962,4.6313180743696245,0.39059309060952846,2017-07-10 04:00:00,130.17,129.4203926801537,131.26941097976945,2017-07-12 12:00:00,129.4203926801537,SL,14,0.7496073198462909,-1.0,-1.0166753974635037
AUDJPY,H4,SHELF6_AFTER_DORMANT120_RR15,自作ライン応用: 休眠高値更新から120本以内のV後棚ブレイク。,2019-07-22 08:00:00,Research_2015_2024,8904-8913,8904,8913,76.142,75.446,0.695999999999998,4.2039732052757675,9,5,0.6666666666666666,0.46710813391952966,0.5605297607034356,1.2000000000000002,8918,76.071,75.815,1.5201941888483737,75.794,1.888959359852149,76.091,0.7942583732057144,0.9952153110047619,True,False,False,False,False,False,NONE,,,dormant120,96.0,76.017,NONE,,,False,0.40973983996305335,4.447755654091498,-3.94300367732539,0.40973983996305335,4.988137182158657,-4.691224254649226,0.40973983996305335,10.350384652979317,-8.319500228814702,0.40973983996305335,31.78749801916144,-29.881317024550796,2019-07-22 12:00:00,76.091,75.77290011534744,76.56814982697882,2019-07-23 12:00:00,75.77290011534744,SL,6,0.318099884652554,-1.0,-1.0392958331740416
