symbol,period,trades,win_rate,total_r,avg_r
AUDJPY,DEV_2015_2021,4,25.0,-1.0686320265035825,-0.2671580066258956
AUDJPY,OOS_2024_2026,1,100.0,1.9879272666006391,1.9879272666006391
AUDJPY,VALID_2022_2023,1,100.0,1.9840676065079008,1.9840676065079008
CHFJPY,DEV_2015_2021,1,100.0,1.965201820008066,1.965201820008066
EURJPY,DEV_2015_2021,4,25.0,-1.0550100413155428,-0.2637525103288857
EURJPY,OOS_2024_2026,1,0.0,-1.0220143125475067,-1.0220143125475067
EURJPY,VALID_2022_2023,1,0.0,-1.0090559872346652,-1.0090559872346652
GBPJPY,DEV_2015_2021,6,16.666666666666664,-4.627204310299206,-0.7712007183832009
GBPJPY,OOS_2024_2026,1,0.0,-1.0220432539763529,-1.0220432539763529
GBPJPY,VALID_2022_2023,1,0.0,-1.0122364762196814,-1.0122364762196814
SILVER,DEV_2015_2021,5,60.0,3.4868617143467486,0.6973723428693497
SILVER,VALID_2022_2023,2,100.0,3.8467324062174137,1.9233662031087069
USDJPY,DEV_2015_2021,7,57.14285714285714,4.905655393457368,0.7008079133510526
USDJPY,OOS_2024_2026,4,50.0,1.975862200336545,0.49396555008413623
USDJPY,VALID_2022_2023,2,0.0,-2.010198458640826,-1.005099229320413
XAUUSD,DEV_2015_2021,6,50.0,2.799404615390419,0.46656743589840316
XAUUSD,OOS_2024_2026,3,100.0,5.953167768567186,1.9843892561890621
XAUUSD,VALID_2022_2023,1,100.0,1.9782407546836165,1.9782407546836165
