symbol,strategy,family,signal_time,period,rr,max_hold,signal_kind,shelf_high,shelf_low,shelf_range_atr,sharp_drop_atr,signal_range_atr,body_ratio,close_location,lower_wick_ratio,d1_ema50_prev,stop,entry_time,entry,target,exit_time,exit,exit_reason,bars_held,risk,r_clean,r_after_cost,mfe_r,mae_r
XAUUSD,CAP_DEFAULT_RR15,capitulation,2015-01-02 12:00:00,DEV_2015_2021,1.5,120,capitulation,,,,5.3015488900882195,3.31397622150024,0.18921229694063227,0.7624623619939812,0.573250065053349,1196.4402548664712,1165.4006402368345,2015-01-02 16:00:00,1187.941,1221.7515396447484,2015-01-06 16:00:00,1221.7515396447484,target,14,22.540359763165497,1.500000000000005,1.4844722975286322,1.5563638011371845,0.44418102040949364
CHFJPY,CAP_DEFAULT_RR15,capitulation,2015-01-04 20:00:00,DEV_2015_2021,1.5,120,capitulation,,,,9.773690621028695,5.210333025379196,0.022322985699334795,0.9295430763864674,0.9295430763864674,120.78719940089223,116.88043681612888,2015-01-05 00:00:00,119.683,123.88684477580671,2015-01-09 12:00:00,116.88043681612888,stop,28,2.802563183871129,-1.0,-1.007136324388728,0.09634037924777487,1.0144285118571421
EURJPY,CAP_DEFAULT_RR15,capitulation,2015-01-06 08:00:00,DEV_2015_2021,1.5,120,capitulation,,,,9.227460479595175,1.8379130729378548,0.3505154639175297,0.5670103092783336,0.5670103092783336,145.1296617480997,141.22805687191052,2015-01-06 12:00:00,141.9,142.90791469213423,2015-01-06 16:00:00,141.22805687191052,stop,2,0.671943128089481,-1.0,-1.0186027648434022,0.13393990687262203,1.5179856112230072
EURJPY,CAP_DEFAULT_RR15,capitulation,2015-01-23 12:00:00,DEV_2015_2021,1.5,120,capitulation,,,,7.478793750782424,2.073108252824947,0.15591397849461824,0.8010752688172034,0.6451612903225851,141.85150125759466,130.68569912262595,2015-01-23 16:00:00,132.39,134.94645131606103,2015-01-25 20:00:00,130.68569912262595,stop,3,1.7043008773740382,-1.0,-1.007334385709669,0.3344479883612272,1.3201894277416362
SILVER,CAP_DEFAULT_RR15,capitulation,2015-02-18 16:00:00,DEV_2015_2021,1.5,120,capitulation,,,,6.685612670436171,1.9360537961804916,0.07894736842105592,0.5058479532163711,0.5058479532163711,16.99740776697956,16.2058380040014,2015-02-18 20:00:00,16.422,16.746242993997903,2015-02-19 12:00:00,16.746242993997903,target,5,0.21616199599860053,1.5000000000000082,1.3380843966659848,1.6792961145785759,0.12490632257196509
XAUUSD,CAP_DEFAULT_RR15,capitulation,2015-02-18 16:00:00,DEV_2015_2021,1.5,120,capitulation,,,,5.818071835780365,2.3639505864404793,0.10253012808378974,0.6499463688560827,0.5474162407722929,1238.6817478379517,1195.854886284795,2015-02-18 20:00:00,1207.85,1225.8426705728075,2015-02-23 08:00:00,1195.854886284795,stop,17,11.99511371520498,-1.0,-1.0291785478912532,1.2556779666796796,1.4256638499660654
EURJPY,CAP_DEFAULT_RR15,capitulation,2015-02-20 12:00:00,DEV_2015_2021,1.5,120,capitulation,,,,4.781108896994766,2.800873495627511,0.388535031847126,0.9617834394904442,0.5732484076433182,137.39700161197138,133.38986514542242,2015-02-20 16:00:00,135.03,137.49020228186637,2015-03-04 08:00:00,133.38986514542242,stop,49,1.6401348545775818,-1.0,-1.007621324530176,0.5182500680524301,1.2864795806948728
XAUUSD,CAP_DEFAULT_RR15,capitulation,2015-02-24 12:00:00,DEV_2015_2021,1.5,120,capitulation,,,,4.792776568962518,1.8826870447996935,0.09807451471508473,0.7140732623669379,0.6159987476518533,1232.674049316601,1188.691488618131,2015-02-24 16:00:00,1199.529,1215.7852670728034,2015-02-26 08:00:00,1215.7852670728034,target,11,10.837511381869035,1.4999999999999896,1.4677047628678117,1.8834582295478783,0.7103106726954594
SILVER,CAP_DEFAULT_RR15,capitulation,2015-03-03 00:00:00,DEV_2015_2021,1.5,120,capitulation,,,,4.762762970140299,2.7971782523046205,0.095634095634094,0.8212058212058175,0.7255717255717234,16.801839534980726,16.023010247773474,2015-03-03 04:00:00,16.462,17.12048462833979,2015-03-06 08:00:00,16.023010247773474,stop,20,0.4389897522265258,-1.0,-1.0797285126189906,0.2642430703943672,1.2665443718902445
XAUUSD,CAP_DEFAULT_RR15,capitulation,2015-03-03 00:00:00,DEV_2015_2021,1.5,120,capitulation,,,,4.183964968164517,2.194810144207419,0.04037288367949567,0.830077455617245,0.7897045719377493,1227.662228173813,1193.7162389544599,2015-03-03 04:00:00,1207.508,1228.1956415683103,2015-03-06 08:00:00,1193.7162389544599,stop,20,13.79176104554017,-1.0,-1.025377469841918,0.5264012315778667,1.0670863533239014
CHFJPY,CAP_DEFAULT_RR15,capitulation,2015-03-04 12:00:00,DEV_2015_2021,1.5,120,capitulation,,,,5.743760047776239,2.4802600206306495,0.10877192982455716,0.657894736842105,0.5491228070175478,125.9961533274963,123.512092692851,2015-03-04 16:00:00,124.376,125.6718609607235,2015-03-05 16:00:00,123.512092692851,stop,7,0.863907307149006,-1.0,-1.0231506318264776,0.2697048607783129,1.3531544302569292
CHFJPY,CAP_DEFAULT_RR15,capitulation,2015-04-13 12:00:00,DEV_2015_2021,1.5,120,capitulation,,,,6.169029062114746,2.6407311013753323,0.3868552412645625,0.8943427620632317,0.5074875207986692,123.98743520649185,121.82720575573049,2015-04-13 16:00:00,123.018,124.80419136640427,2015-04-17 08:00:00,124.80419136640427,target,23,1.1907942442695116,1.5,1.4832044871763055,1.6106896797914878,0.6407488142236233
EURJPY,CAP_DEFAULT_RR15,capitulation,2015-04-13 12:00:00,DEV_2015_2021,1.5,120,capitulation,,,,8.466482150520756,1.8142461751115992,0.2528735632184045,0.8390804597701151,0.5862068965517107,131.31741683982185,126.44011549756382,2015-04-13 16:00:00,127.28,128.53982675365427,2015-04-14 04:00:00,126.44011549756382,stop,4,0.8398845024361776,-1.0,-1.0148829987501031,0.1309703890010261,1.4287678800112045
GBPJPY,CAP_DEFAULT_RR15,capitulation,2015-04-13 12:00:00,DEV_2015_2021,1.5,120,capitulation,,,,6.841283415047922,1.9071608497192494,0.16513761467887875,0.8440366972476923,0.6788990825688136,179.33293476026816,175.19711745286713,2015-04-13 16:00:00,176.27,177.8793238206993,2015-04-14 08:00:00,175.19711745286713,stop,5,1.0728825471328776,-1.0,-1.0186413695081804,0.18641369508196357,1.3235372350820314
XAUUSD,CAP_DEFAULT_RR15,capitulation,2015-05-28 12:00:00,DEV_2015_2021,1.5,120,capitulation,,,,6.407177621690006,2.192989023681524,0.15449263332642094,0.7654077609462558,0.6109151276198349,1200.073258362955,1179.3222712904715,2015-05-28 16:00:00,1187.818,1200.5615930642928,2015-06-01 12:00:00,1200.5615930642928,target,13,8.495728709528521,1.5,1.4588028276364817,1.9339129769495504,0.383604527807583
XAUUSD,CAP_DEFAULT_RR15,capitulation,2015-06-03 16:00:00,DEV_2015_2021,1.5,120,capitulation,,,,4.548663271452632,2.04421762100803,0.48545340614090843,0.5099812013248572,0.5099812013248572,1198.3669315732693,1178.0248294067621,2015-06-03 20:00:00,1185.128,1195.7827558898566,2015-06-04 12:00:00,1178.0248294067621,stop,5,7.103170593237792,-1.0,-1.0492737708331736,0.18189060547555,1.720358513088993
SILVER,CAP_DEFAULT_RR15,capitulation,2015-06-05 12:00:00,DEV_2015_2021,1.5,120,capitulation,,,,7.0635085627425624,1.9183930643868952,0.25670498084291327,0.613026819923374,0.613026819923374,16.665898366405354,15.884987158100547,2015-06-05 16:00:00,16.075,16.36001926284918,2015-06-11 04:00:00,15.884987158100547,stop,23,0.19001284189945267,-1.0,-1.1841980765622186,0.8209971412487553,1.1157140637482903
XAUUSD,CAP_DEFAULT_RR15,capitulation,2015-06-15 08:00:00,DEV_2015_2021,1.5,120,capitulation,,,,4.243774846396634,2.0751689597075123,0.2558115183246306,0.8776963350785447,0.621884816753914,1192.068857738377,1171.578491272105,2015-06-15 12:00:00,1181.111,1195.4097630918427,2015-06-18 08:00:00,1195.4097630918427,target,18,9.532508727894992,1.500000000000012,1.4632835374201318,2.00765617386705,0.6862831377071055
SILVER,CAP_DEFAULT_RR15,capitulation,2015-06-19 12:00:00,DEV_2015_2021,1.5,120,capitulation,,,,4.136872781755518,2.387227662590102,0.19565217391303927,0.6180124223602461,0.6180124223602461,16.42709257738134,15.860278876011073,2015-06-19 16:00:00,16.094,16.444581685983394,2015-06-23 12:00:00,15.860278876011073,stop,13,0.23372112398892853,-1.0,-1.1497511196363155,0.7145267708361223,1.4889539895267903
SILVER,CAP_DEFAULT_RR15,capitulation,2015-06-26 04:00:00,DEV_2015_2021,1.5,120,capitulation,,,,6.4585827035691805,2.9517397076339336,0.05970149253731232,0.8417910447761218,0.8417910447761218,16.33307545909595,15.49962690199837,2015-06-26 08:00:00,15.814,16.285559647002444,2015-06-30 12:00:00,15.49962690199837,stop,15,0.3143730980016297,-1.0,-1.1113326815254996,0.718891029278935,1.065612808886924
AUDJPY,CAP_DEFAULT_RR15,capitulation,2015-06-28 20:00:00,DEV_2015_2021,1.5,120,capitulation,,,,8.385639496549297,2.31105934930496,0.16821465428276336,0.7481940144478831,0.7481940144478831,95.08751125134059,92.56317794076867,2015-06-29 00:00:00,93.392,94.63523308884699,2015-06-29 00:00:00,94.63523308884699,target,1,0.828822059231328,1.5,1.4849183550790366,1.6022739564046184,0.1194466277741266
CHFJPY,CAP_DEFAULT_RR15,capitulation,2015-06-28 20:00:00,DEV_2015_2021,1.5,120,capitulation,,,,6.043640284433944,1.8641148631997961,0.35690515806988576,0.5648918469217996,0.5648918469217996,130.94649669291374,129.4817974872513,2015-06-29 00:00:00,130.319,131.57480376912304,2015-06-29 08:00:00,131.57480376912304,target,3,0.8372025127486893,1.5000000000000169,1.4761109173761269,1.7331529443648264,0.15050122053061601
XAUUSD,CAP_DEFAULT_RR15,capitulation,2015-07-20 00:00:00,DEV_2015_2021,1.5,120,capitulation,,,,10.912869060448172,7.622094866007077,0.38404888245698793,0.6037948223187017,0.6037948223187017,1172.578656208633,1068.6582064428064,2015-07-20 04:00:00,1108.248,1167.6326903357904,2015-08-14 16:00:00,1115.089,time,121,39.589793557193616,0.17279706170018305,0.1639563992831258,0.46880769845862263,0.7837626118250346
GBPJPY,CAP_DEFAULT_RR15,capitulation,2015-08-23 20:00:00,DEV_2015_2021,1.5,120,capitulation,,,,7.741193105276237,1.972949993757182,0.4503816793893148,0.5038167938931263,0.5038167938931263,192.63919463213668,189.92400491597036,2015-08-24 00:00:00,190.78,192.06399262604447,2015-08-24 00:00:00,189.92400491597036,stop,1,0.8559950840296437,-1.0,-1.0233646201632733,0.268693131877875,1.6588880315938963
USDJPY,CAP_DEFAULT_RR15,capitulation,2015-08-23 20:00:00,DEV_2015_2021,1.5,120,capitulation,,,,8.86892382656097,2.2378532667680324,0.12841854934600336,0.6563614744351978,0.6563614744351978,123.65932027900162,121.08704835307023,2015-08-24 00:00:00,121.733,122.70192747039466,2015-08-24 00:00:00,121.08704835307023,stop,1,0.6459516469297739,-1.0,-1.0154810349157266,0.3034282843485134,1.5527478020487864
AUDJPY,CAP_DEFAULT_RR15,capitulation,2015-08-24 12:00:00,DEV_2015_2021,1.5,120,capitulation,,,,10.681877896640152,5.424435494677949,0.24649214659685975,0.7036649214659676,0.7036649214659676,91.7053210579863,81.85993101749091,2015-08-24 16:00:00,85.438,90.80510347376364,2015-09-21 00:00:00,85.901,time,121,3.5780689825090946,0.12939940573066272,0.12590590125629592,0.5782448605977215,0.9287132294665202
CHFJPY,CAP_DEFAULT_RR15,capitulation,2015-08-24 12:00:00,DEV_2015_2021,1.5,120,capitulation,,,,5.656576296057122,4.436474985510432,0.3072020395156155,0.5981516889738735,0.5981516889738735,128.56550256844162,124.84917042188626,2015-08-24 16:00:00,126.907,129.99374436717062,2015-09-01 08:00:00,124.84917042188626,stop,36,2.05782957811374,-1.0,-1.0097189778068711,0.7192043577080909,1.256177881537436
GBPJPY,CAP_DEFAULT_RR15,capitulation,2015-08-24 12:00:00,DEV_2015_2021,1.5,120,capitulation,,,,9.664861488845641,4.743645927596139,0.3386809269162229,0.5365418894830657,0.5365418894830657,192.56510856813134,183.26434133967695,2015-08-24 16:00:00,186.63,191.67848799048457,2015-09-01 08:00:00,183.26434133967695,stop,35,3.3656586603230494,-1.0,-1.0059423732524504,0.9745492134027559,1.001289893038808
SILVER,CAP_DEFAULT_RR15,capitulation,2015-08-24 12:00:00,DEV_2015_2021,1.5,120,capitulation,,,,5.480000006215238,2.760447764324842,0.011111111111108223,0.6259259259259267,0.6259259259259267,15.259963159688722,14.541094890566415,2015-08-24 16:00:00,14.926,15.503357664150379,2015-08-26 04:00:00,14.541094890566415,stop,10,0.3849051094335856,-1.0,-1.0909315027059658,0.12470606085389553,1.1561291058329894
