year,event_type,events,median_mfe_48_atr,median_mae_48_atr,median_fwd_48_atr,pct_mfe48_ge_3,pct_hit_1atr_first_24,pct_mae48_ge_2
2023,E3_break_fail_long_trap,101,2.54,3.54,-0.82,45.5,45.5,72.3
2022,E3_break_fail_long_trap,89,3.0,4.91,-1.16,49.4,41.6,74.2
2017,E3_break_fail_long_trap,85,2.59,3.31,-0.48,45.9,51.8,69.4
2024,E3_break_fail_long_trap,84,2.78,3.47,-0.25,47.6,45.2,65.5
2021,E3_break_fail_long_trap,76,3.04,3.04,-0.74,51.3,46.1,65.8
2016,E3_break_fail_long_trap,74,2.81,4.26,-2.43,47.3,40.5,78.4
2020,E3_break_fail_long_trap,67,3.72,3.38,0.78,62.7,53.7,58.2
2018,E3_break_fail_long_trap,65,3.74,2.26,1.11,56.9,52.3,56.9
2015,RANDOM_H4_BAR,65,3.35,2.91,0.29,55.4,46.2,63.1
2025,E3_break_fail_long_trap,65,2.81,3.38,-1.52,44.6,56.9,70.8
2021,RANDOM_H4_BAR,60,2.64,2.89,0.31,43.3,58.3,65.0
2024,E4_range_break_up,57,5.17,2.19,3.2,73.7,54.4,50.9
2020,E4_range_break_up,55,3.5,2.7,0.55,56.4,52.7,60.0
2019,E3_break_fail_long_trap,54,2.86,2.82,0.09,46.3,53.7,66.7
2017,E4_range_break_down,51,3.33,2.96,0.73,52.9,54.9,58.8
2022,E4_range_break_up,50,4.01,2.42,0.25,58.0,46.0,56.0
2015,E3_break_fail_long_trap,50,3.22,2.38,0.68,52.0,44.0,56.0
2017,E4_range_break_up,49,3.84,3.09,1.5,61.2,55.1,57.1
2018,E4_range_break_down,47,3.81,1.98,0.91,66.0,46.8,48.9
2017,RANDOM_H4_BAR,47,3.12,3.0,-0.04,51.1,46.8,72.3
2025,E4_range_break_up,47,2.51,3.09,0.32,44.7,53.2,66.0
2023,E4_range_break_down,46,2.95,3.21,0.01,47.8,39.1,56.5
2020,RANDOM_H4_BAR,44,3.23,2.52,0.47,56.8,47.7,54.5
2016,E4_range_break_up,42,4.03,3.28,-1.49,57.1,59.5,78.6
2019,E4_range_break_down,42,3.01,3.69,-1.52,50.0,35.7,71.4
2015,E4_range_break_up,42,2.32,3.04,-0.26,28.6,45.2,71.4
2024,RANDOM_H4_BAR,40,3.97,2.44,0.44,65.0,55.0,65.0
2023,RANDOM_H4_BAR,40,3.85,3.07,2.24,62.5,52.5,67.5
2016,RANDOM_H4_BAR,40,3.35,2.84,-0.0,50.0,47.5,65.0
2019,RANDOM_H4_BAR,40,3.12,3.71,-0.59,52.5,35.0,77.5
2022,E4_range_break_down,40,2.93,2.92,-0.96,50.0,62.5,65.0
2019,E4_range_break_up,39,3.08,4.1,-1.42,51.3,46.2,74.4
2021,E4_range_break_up,38,3.36,2.12,0.71,57.9,47.4,55.3
2020,E4_range_break_down,38,2.58,3.45,-1.01,44.7,52.6,63.2
2023,E4_range_break_up,37,4.28,1.83,1.53,62.2,48.6,43.2
2018,RANDOM_H4_BAR,37,3.06,3.5,0.32,51.4,54.1,75.7
2022,RANDOM_H4_BAR,37,2.44,3.06,0.14,43.2,40.5,64.9
2025,E4_range_break_down,36,2.73,3.66,-0.8,50.0,41.7,77.8
2023,E2_v_reaccel,35,4.36,2.19,2.18,60.0,62.9,51.4
2015,E4_range_break_down,35,3.01,3.37,-0.41,51.4,48.6,71.4
2023,E3b_d1_break_fail_long,34,3.01,3.82,-1.4,50.0,50.0,70.6
2026,E3_break_fail_long_trap,33,5.08,2.64,0.89,69.7,60.6,66.7
2016,E4_range_break_down,33,2.07,3.72,-0.64,42.4,51.5,63.6
2021,E2_v_reaccel,32,3.28,2.85,0.53,50.0,46.9,62.5
2018,E4_range_break_up,31,2.33,3.28,-1.28,41.9,41.9,77.4
2021,E4_range_break_down,28,3.96,2.81,1.35,53.6,53.6,53.6
2026,E4_range_break_up,28,3.14,2.98,0.54,53.6,60.7,67.9
2015,E2_v_reaccel,27,3.21,1.98,0.78,55.6,63.0,48.1
2024,E2_v_reaccel,26,4.33,2.08,2.37,80.8,30.8,50.0
2024,E1_short_squeeze_cascade,26,4.04,1.37,2.3,65.4,76.9,38.5
2022,E3b_d1_break_fail_long,26,3.82,3.57,-0.0,73.1,46.2,73.1
2021,E1_short_squeeze_cascade,26,3.7,2.56,2.05,57.7,57.7,61.5
2025,E2_v_reaccel,26,2.01,3.48,0.08,30.8,38.5,76.9
2021,E3b_d1_break_fail_long,25,2.73,3.55,-0.65,40.0,40.0,68.0
2016,E2_v_reaccel,25,2.0,3.67,-0.25,44.0,48.0,76.0
2025,E3b_d1_break_fail_long,24,1.97,5.11,-3.42,16.7,45.8,83.3
2025,RANDOM_H4_BAR,23,4.75,1.56,2.76,73.9,47.8,30.4
2019,E2_v_reaccel,23,3.68,3.5,-0.66,52.2,47.8,82.6
2017,E2_v_reaccel,23,2.8,4.0,-0.49,43.5,69.6,69.6
2024,E3b_d1_break_fail_long,22,2.65,5.91,-3.98,40.9,54.5,68.2
2020,E2_v_reaccel,21,3.65,2.41,0.49,57.1,42.9,52.4
2018,E2_v_reaccel,21,2.33,4.66,-1.81,28.6,57.1,81.0
2017,E1_short_squeeze_cascade,21,2.31,4.9,-0.25,33.3,33.3,81.0
2022,E2_v_reaccel,18,2.88,2.49,-0.52,50.0,83.3,55.6
2024,E4_range_break_down,17,2.76,1.74,-0.06,47.1,35.3,47.1
2016,E1_short_squeeze_cascade,16,3.42,2.5,-0.08,50.0,43.8,68.8
2022,E1_short_squeeze_cascade,16,2.53,2.82,-0.7,43.8,50.0,56.2
2019,E1_short_squeeze_cascade,15,5.04,1.19,2.98,60.0,33.3,40.0
2026,RANDOM_H4_BAR,14,5.0,1.93,3.18,71.4,28.6,50.0
2017,E3b_d1_break_fail_long,14,3.7,1.51,1.64,57.1,71.4,42.9
2020,E3b_d1_break_fail_long,13,4.75,2.49,1.0,61.5,76.9,53.8
2015,E1_short_squeeze_cascade,11,2.82,3.37,-1.7,45.5,45.5,72.7
2026,E3b_d1_break_fail_long,11,2.69,2.7,-0.11,45.5,63.6,72.7
2018,E1_short_squeeze_cascade,10,3.74,2.11,0.44,60.0,70.0,60.0
2026,E2_v_reaccel,10,2.47,3.72,-1.25,50.0,50.0,80.0
2026,E4_range_break_down,9,5.4,4.2,0.95,66.7,55.6,66.7
2019,E3b_d1_break_fail_long,9,3.65,2.46,2.07,66.7,55.6,55.6
2018,E3b_d1_break_fail_long,8,6.0,0.69,4.18,87.5,75.0,37.5
2023,E1_short_squeeze_cascade,8,3.23,0.78,2.37,50.0,75.0,37.5
2016,E3b_d1_break_fail_long,7,0.75,3.24,-1.33,14.3,14.3,85.7
2024,E1_chain_second_shelf,6,5.0,0.87,4.41,83.3,66.7,16.7
2026,E1_short_squeeze_cascade,6,4.08,2.71,3.0,83.3,0.0,100.0
2020,E1_short_squeeze_cascade,6,2.86,2.22,0.95,50.0,50.0,50.0
2017,E1_chain_second_shelf,6,1.67,5.56,0.21,16.7,33.3,100.0
2015,E3b_d1_break_fail_long,4,4.92,3.13,-0.55,75.0,50.0,75.0
2025,E1_short_squeeze_cascade,4,0.96,5.52,-1.78,25.0,25.0,75.0
2023,E1_chain_second_shelf,2,3.69,1.51,1.74,50.0,50.0,50.0
2020,E1_chain_second_shelf,2,3.34,1.69,0.64,100.0,100.0,0.0
2021,E1_chain_second_shelf,2,0.93,6.75,-4.61,0.0,50.0,100.0
2022,E1_chain_second_shelf,1,3.0,4.94,-0.77,0.0,100.0,100.0
2016,E1_chain_second_shelf,1,0.68,8.23,-7.22,0.0,0.0,100.0
