trade_id,phase,symbol,period,signal_time,entry_time,trigger_type,signal_close,entry,stop,target,exit_time,exit_reason,r_after_cost,bb_pos,bb_width_atr,macd_hist_slope3,signal_recovery_bars,v_move_atr,v_drop_speed_atr_per_bar,max_recovery_to_drop,candidate,tv_signal_time,tv_entry_time,tv_match,tv_notes
3,A_BASE,AUDJPY,Research_2015_2024,2015-03-23 00:00:00,2015-03-23 04:00:00,stagnation+rebreak,93.687,93.684,91.89846897224812,97.26406205550374,2015-03-30 08:00:00,SL,-1.0070007184449363,0.9195166897936377,4.779942959880326,0.0274312710782958,9,4.3455996728384,0.7242666121397333,1.2,Strict_075_100_width7,,,,
15,A_BASE,AUDJPY,Research_2015_2024,2016-10-03 20:00:00,2016-10-04 00:00:00,stagnation,78.242,78.242,76.40482409030155,81.91635181939692,2016-11-09 00:00:00,TP,1.9931960788653929,0.9384965566497756,3.996782438793387,0.0308567682071224,11,4.698578365130716,0.7830963941884528,1.2,Strict_075_100_width7,,,,
17,A_BASE,AUDJPY,Research_2015_2024,2016-11-15 12:00:00,2016-11-15 16:00:00,stagnation+rebreak,82.235,82.234,80.11387394669438,86.47725210661123,2016-12-12 08:00:00,TP,1.995519134352808,0.9521615413044584,4.052857820988845,0.0003618387997805,12,3.926821508344998,0.4908526885431247,1.2,Strict_075_100_width7,,,,
21,A_BASE,AUDJPY,Research_2015_2024,2017-01-27 00:00:00,2017-01-27 04:00:00,rebreak,86.602,86.602,85.24423470255338,89.31753059489324,2017-01-31 12:00:00,SL,-1.009206303934484,0.9718140143343522,4.070040933531785,0.0190662363909132,20,5.122969105057976,0.3940745465429212,1.2,Strict_075_100_width7,,,,
26,A_BASE,AUDJPY,Research_2015_2024,2017-08-15 00:00:00,2017-08-15 04:00:00,rebreak,86.723,86.724,85.37263334996092,89.42373330007815,2017-09-19 16:00:00,TP,1.9885301298507296,0.8813634320019957,4.386929085435475,0.0233287681511057,13,5.391751501333218,0.898625250222203,1.2,Strict_075_100_width7,,,,
33,A_BASE,AUDJPY,Research_2015_2024,2018-06-01 12:00:00,2018-06-01 16:00:00,rebreak,82.813,82.813,80.9284853213328,86.5820293573344,2018-06-19 04:00:00,SL,-1.006633007501342,0.8572544950227023,4.639389572577187,0.0153838494488661,16,5.478662364497334,0.3424163977810833,1.2,Strict_075_100_width7,,,,
41,A_BASE,AUDJPY,Research_2015_2024,2019-02-19 16:00:00,2019-02-19 20:00:00,rebreak,79.326,79.327,78.02739809055358,81.92320381889283,2019-03-08 04:00:00,SL,-1.009618329974071,0.9653673057862668,4.394508493564778,0.0404896914180654,17,4.230649730783842,0.8461299461567683,1.2,Strict_075_100_width7,,,,
42,A_BASE,AUDJPY,Research_2015_2024,2019-04-12 00:00:00,2019-04-12 04:00:00,stagnation+rebreak,79.694,79.694,78.9033533615514,81.27529327689722,2019-04-24 00:00:00,SL,-1.0158098439835472,0.9559330963970843,3.0505511156335823,0.0084114754054983,24,3.7625990836843015,0.6270998472807169,1.2,Strict_075_100_width7,,,,
46,A_BASE,AUDJPY,Research_2015_2024,2019-08-13 12:00:00,2019-08-13 16:00:00,rebreak,72.458,72.458,70.62983577075602,76.11432845848796,2019-08-25 20:00:00,SL,-1.006837460114378,0.951505546223605,4.25192099234339,0.0996496853668965,28,4.567129109621558,0.9134258219243117,1.2,Strict_075_100_width7,,,,
53,A_BASE,AUDJPY,Research_2015_2024,2020-05-08 12:00:00,2020-05-08 16:00:00,rebreak,69.689,69.688,67.5449786987053,73.97704260258939,2020-06-02 08:00:00,TP,1.9955670062662103,0.955482490184312,6.270704261171465,0.0036576391644826,10,3.987236078932491,0.4984045098665614,1.2,Strict_075_100_width7,,,,
56,A_BASE,AUDJPY,Research_2015_2024,2020-07-19 20:00:00,2020-07-20 00:00:00,stagnation,75.004,75.005,74.19274150273498,76.62651699453006,2020-07-22 08:00:00,TP,1.980917404924478,0.8340125360754366,1.5540328543361148,0.0073121576244277,23,3.8003523860424857,0.9500880965106214,1.2,Strict_075_100_width7,,,,
64,A_BASE,AUDJPY,Research_2015_2024,2021-01-29 08:00:00,2021-01-29 12:00:00,rebreak,80.331,80.33,79.12379336643629,82.74541326712743,2021-02-19 12:00:00,TP,1.992124069180496,0.7948008322419725,3.9800172350555374,0.0353885549216901,6,4.015199027479994,0.5018998784349993,1.2,Strict_075_100_width7,,,,
76,A_BASE,AUDJPY,Research_2015_2024,2022-08-04 04:00:00,2022-08-04 08:00:00,stagnation+rebreak,93.47,93.47,90.38686073559695,99.63627852880606,2022-09-14 08:00:00,max_hold,0.8830285519156242,0.8610122438042894,5.600760104467573,0.0352802722544104,11,5.24075300497273,0.8734588341621216,1.2,Strict_075_100_width7,,,,
91,A_BASE,AUDJPY,Research_2015_2024,2024-04-22 16:00:00,2024-04-22 20:00:00,stagnation+rebreak,99.851,99.85,97.68799015924598,104.17701968150804,2024-04-29 00:00:00,TP,1.9956059404444424,0.9609340986453146,3.0111084927200036,0.0350131551806658,11,5.261025901607248,1.315256475401812,1.2,Strict_075_100_width7,,,,
92,A_BASE,AUDJPY,Research_2015_2024,2024-05-07 00:00:00,2024-05-07 04:00:00,stagnation,102.453,102.454,99.80021923258008,107.75856153483984,2024-06-17 08:00:00,max_hold,0.6012177115712597,0.9529290928206344,5.844156042952279,0.030888867817257,20,7.358954142189407,0.6689958311081279,1.2,Strict_075_100_width7,,,,
