trade_id,phase,symbol,period,signal_time,entry_time,trigger_type,signal_close,entry,stop,target,exit_time,exit_reason,r_after_cost,bb_pos,bb_width_atr,macd_hist_slope3,signal_recovery_bars,v_move_atr,v_drop_speed_atr_per_bar,max_recovery_to_drop,candidate,tv_signal_time,tv_entry_time,tv_match,tv_notes
4,A_BASE,USDJPY,Research_2015_2024,2015-03-31 00:00:00,2015-03-31 04:00:00,rebreak,120.265,120.263,118.2479819873741,124.2990360252518,2015-05-11 04:00:00,max_hold,-0.1439193090001583,0.9587163292246792,5.869681515124266,0.0137350219213307,17,8.976103959965867,0.3590441583986347,1.2,Strict_075_100_width7,,,,
8,A_BASE,USDJPY,Research_2015_2024,2015-12-07 08:00:00,2015-12-07 12:00:00,stagnation,123.446,123.446,122.22747242333423,125.88305515333153,2015-12-09 12:00:00,SL,-1.008206625924178,0.7666873840652738,4.5598866587058025,0.0315222033906536,11,4.936890029263023,0.8228150048771705,1.2,Strict_075_100_width7,,,,
11,A_BASE,USDJPY,Research_2015_2024,2016-04-19 08:00:00,2016-04-19 12:00:00,rebreak,109.45,109.452,107.74083699082486,112.86832601835027,2016-04-29 00:00:00,SL,-1.0058439785960611,0.7780778427459879,4.94145205384279,0.0758796455058078,8,4.868107770801965,0.6954439672574235,1.2,Strict_075_100_width7,,,,
19,A_BASE,USDJPY,Research_2015_2024,2016-12-07 04:00:00,2016-12-07 08:00:00,stagnation,114.342,114.341,112.75510699885878,117.51578600228244,2016-12-15 00:00:00,TP,1.9955860830491468,0.8958047623141269,2.2492150984378436,0.026131323671239,14,4.028355615318696,0.3098735088706689,1.2,Strict_075_100_width7,,,,
20,A_BASE,USDJPY,Research_2015_2024,2017-01-19 12:00:00,2017-01-19 16:00:00,stagnation,115.31,115.314,112.41849867631583,121.09300264736832,2017-01-31 12:00:00,SL,-1.0034536333719466,0.9999820662983524,5.051307022783315,0.0712110485308958,10,4.8109941923964925,0.3207329461597661,1.2,Strict_075_100_width7,,,,
30,A_BASE,USDJPY,Research_2015_2024,2017-09-18 04:00:00,2017-09-18 08:00:00,rebreak,111.41,111.41,109.4544256265876,115.3211487468248,2017-10-27 12:00:00,max_hold,1.2359540157925275,0.9683881920842832,4.244580499024172,0.0314679061676489,9,3.8948725135111513,1.9474362567555756,1.2,Strict_075_100_width7,,,,
36,A_BASE,USDJPY,Research_2015_2024,2018-10-22 04:00:00,2018-10-22 08:00:00,rebreak,112.754,112.754,111.56684924446547,115.12830151106908,2018-10-26 12:00:00,SL,-1.0084235299968185,0.95826939068162,2.9691867306449184,0.0091365169899205,30,3.744577314575065,0.4680721643218831,1.2,Strict_075_100_width7,,,,
37,A_BASE,USDJPY,Research_2015_2024,2018-10-30 00:00:00,2018-10-30 04:00:00,rebreak,112.658,112.659,111.30182060917105,115.37035878165794,2018-12-10 04:00:00,max_hold,-0.022104668109996,0.9153975748415392,3.8177243858428462,0.0346247480318031,10,4.313017123771187,0.8626034247542375,1.2,Strict_075_100_width7,,,,
39,A_BASE,USDJPY,Research_2015_2024,2019-02-04 00:00:00,2019-02-04 04:00:00,stagnation,109.615,109.615,108.44063080988602,111.96373838022797,2019-03-01 08:00:00,TP,1.9914847902310684,0.8778615557512903,5.740090880385347,0.031104921614399,10,5.52606839605255,0.9210113993420918,1.2,Strict_075_100_width7,,,,
50,A_BASE,USDJPY,Research_2015_2024,2020-03-18 12:00:00,2020-03-18 16:00:00,rebreak,108.432,108.433,104.92096105540575,115.45407788918848,2020-04-28 16:00:00,max_hold,-0.4518742602335683,0.9670097790978324,3.464352790449965,0.033087233544152,12,3.727132659248582,0.6211887765414303,1.2,Strict_075_100_width7,,,,
