strategy,symbol,label,trades,win_rate,total_r,avg_r,median_r,pf,max_dd_r,max_losing_streak,avg_mfe_r,avg_mae_r,oos_trades,oos_total_r
BASE_RR2,XAUUSD,BASE_RR2_XAUUSD,10,70.0,10.730813138641222,1.0730813138641222,1.9695131925356104,4.450526694119145,2.0717988343600062,2,1.5558739665936958,0.6441237470061839,3,5.953167768567186
BASE_RR25,XAUUSD,BASE_RR25_XAUUSD,10,60.0,10.730813138641208,1.0730813138641209,2.4673184362560887,3.5871725270550456,3.1095920790891367,4,1.8967770761594636,0.7537276167994914,3,7.453167768567178
BASE_RR25,SILVER,BASE_RR25_SILVER,7,71.42857142857143,9.833594120564165,1.404799160080595,2.3807020891515602,5.659554219812155,1.034565186601979,1,2.026679513912373,0.6650476983358812,0,0.0
BASE_RR2,SILVER,BASE_RR2_SILVER,7,71.42857142857143,7.333594120564162,1.0476563029377375,1.8807020891515542,4.474953207536279,1.034565186601979,1,1.6632560428237053,0.6650476983358812,0,0.0
RETURN_INSIDE_2_RR2,SILVER,RETURN_INSIDE_2_RR2_SILVER,7,71.42857142857143,7.333594120564162,1.0476563029377375,1.8807020891515542,4.474953207536279,1.034565186601979,1,1.6632560428237053,0.6650476983358812,0,0.0
BASE_RR15,XAUUSD,BASE_RR15_XAUUSD,10,70.0,7.230813138641249,0.7230813138641249,1.4695131925356204,3.325090692822217,2.0717988343600062,2,1.2373903444052725,0.6441237470061839,3,4.453167768567194
NO_PROGRESS_8_05R_RR2,XAUUSD,NO_PROGRESS_8_05R_RR2_XAUUSD,10,70.0,7.21579758154386,0.721579758154386,1.1066664759992086,3.3202623932402378,2.0717988343600062,2,1.213619338120139,0.6354527626748884,3,4.160877256866873
NO_PROGRESS_8_05R_RR2,SILVER,NO_PROGRESS_8_05R_RR2_SILVER,7,71.42857142857143,7.011040039227204,1.0015771484610292,1.835314560554481,10.849202808447973,0.011850921120679203,1,1.3907796670005028,0.47375240796232354,0,0.0
NO_PROGRESS_6_05R_RR2,SILVER,NO_PROGRESS_6_05R_RR2_SILVER,7,57.14285714285714,6.885142663420212,0.9835918090600303,1.835314560554481,11.860757893754405,0.046650861404549104,2,1.3877151721693506,0.46353587352633546,0,0.0
RETURN3_PLUS_NOPROG6_RR2,SILVER,RETURN3_PLUS_NOPROG6_RR2_SILVER,7,57.14285714285714,6.565449860671789,0.9379214086673985,1.835314560554481,7.884623785282909,0.35984223314825226,2,1.3598282692058699,0.4330088265285036,0,0.0
RETURN3_PLUS_NOPROG6_RR2,XAUUSD,RETURN3_PLUS_NOPROG6_RR2_XAUUSD,10,40.0,6.382188432999504,0.6382188432999504,-0.14410600463087242,5.154347634367429,0.884405522530024,3,0.9384212927130301,0.3155714616301003,3,3.751488555734257
RETURN_INSIDE_3_RR2,XAUUSD,RETURN_INSIDE_3_RR2_XAUUSD,10,40.0,6.382188432999504,0.6382188432999504,-0.14410600463087242,5.154347634367429,0.884405522530024,3,0.9384212927130301,0.3155714616301003,3,3.751488555734257
RETURN_INSIDE_2_RR2,XAUUSD,RETURN_INSIDE_2_RR2_XAUUSD,10,40.0,5.685177764951,0.5685177764950999,-0.14410600463087242,3.5456650898251567,1.5814161905785287,3,0.9384212927130301,0.4433435882081797,3,3.751488555734257
RETURN_INSIDE_3_RR2,SILVER,RETURN_INSIDE_3_RR2_SILVER,7,57.14285714285714,5.549648632510883,0.7928069475015548,1.835314560554481,3.8178803638573373,1.3756434613091582,2,1.3895966544018603,0.5862243067315616,0,0.0
BASE_RR2,USDJPY,BASE_RR2_USDJPY,13,46.15384615384615,4.871319135153087,0.37471685655023745,-1.0042573363141651,1.6894641717872514,2.0189658466454534,2,1.1569733592900067,0.8925657856738879,4,1.9758622003365447
BASE_RR15,SILVER,BASE_RR15_SILVER,7,71.42857142857143,4.8335941205641575,0.6905134457948796,1.380702089151548,3.290352195260404,1.0345651866019792,1,1.274401428753056,0.6030122525921223,0,0.0
NO_PROGRESS_6_05R_RR2,XAUUSD,NO_PROGRESS_6_05R_RR2_XAUUSD,10,50.0,4.800502276331989,0.48005022763319893,0.1075700374800652,2.4273513062230725,2.1019293752801307,3,0.9980112180300658,0.6354527626748884,3,4.212233132247228
BASE_RR25,USDJPY,BASE_RR25_USDJPY,13,38.46153846153847,3.6341853868346643,0.27955272206420495,-1.005941122326661,1.4500182739957799,2.0189658466454534,3,1.336853131220486,0.965483333430793,4,2.238728452018134
BASE_RR2,AUDJPY,BASE_RR2_AUDJPY,6,50.0,2.9033628466049577,0.48389380776749297,0.4853331192510473,1.9495609335509334,2.036417178293224,2,1.3242467423869986,0.8315709550700984,1,1.9879272666006391
RETURN_INSIDE_2_RR2,USDJPY,RETURN_INSIDE_2_RR2_USDJPY,13,30.76923076923077,2.841167493081434,0.21855134562164877,-0.2931364545536138,1.5555353021683214,3.3346950363503685,5,0.8413715676358483,0.624363328341616,4,2.971787521524929
RETURN_INSIDE_3_RR2,USDJPY,RETURN_INSIDE_3_RR2_USDJPY,13,30.76923076923077,2.841167493081434,0.21855134562164877,-0.2931364545536138,1.5555353021683214,3.3346950363503685,5,0.8413715676358483,0.624363328341616,4,2.971787521524929
BASE_RR25,CHFJPY,BASE_RR25_CHFJPY,1,100.0,2.4652018200080534,2.4652018200080534,2.4652018200080534,inf,0.0,0,2.526347867413113,0.5585107888702514,0,0.0
BASE_RR25,AUDJPY,BASE_RR25_AUDJPY,6,50.0,2.463690486520584,0.410615081086764,-0.23206059866570877,1.8057636478666936,2.036417178293224,2,1.585443871292907,0.8815055160404963,1,2.4879272666006393
NO_PROGRESS_8_05R_RR2,AUDJPY,NO_PROGRESS_8_05R_RR2_AUDJPY,6,50.0,2.1672768879033497,0.36121281465055827,0.11533696446495059,1.9928450293290596,2.036417178293224,2,1.0341792012447595,0.7186782672346376,1,0.3771521913963922
BASE_RR2,CHFJPY,BASE_RR2_CHFJPY,1,100.0,1.965201820008066,1.965201820008066,1.965201820008066,inf,0.0,0,2.2027247934883043,0.5585107888702514,0,0.0
RETURN_INSIDE_2_RR2,CHFJPY,RETURN_INSIDE_2_RR2_CHFJPY,1,100.0,1.965201820008066,1.965201820008066,1.965201820008066,inf,0.0,0,2.2027247934883043,0.5585107888702514,0,0.0
BASE_RR15,USDJPY,BASE_RR15_USDJPY,13,46.15384615384615,1.871319135153099,0.14394762578100762,-1.0042573363141651,1.2648579290068256,2.0189658466454534,2,0.9687102992791659,0.8925657856738879,4,0.9758622003365447
NO_PROGRESS_6_05R_RR2,AUDJPY,NO_PROGRESS_6_05R_RR2_AUDJPY,6,66.66666666666666,1.5327231602334639,0.25545386003891063,0.17215537925262045,2.283205596892061,1.0230158102874176,1,0.6632157214205102,0.5462473322264408,1,-0.1714328142710612
BASE_RR15,CHFJPY,BASE_RR15_CHFJPY,1,100.0,1.4652018200080783,1.4652018200080783,1.4652018200080783,inf,0.0,0,1.9208595355537725,0.5585107888702514,0,0.0
BASE_RR15,AUDJPY,BASE_RR15_AUDJPY,6,50.0,1.4033628466049421,0.23389380776749036,0.23533311925104272,1.4589776080833756,2.036417178293224,2,1.1115404425673394,0.8315709550700984,1,1.4879272666006391
RETURN3_PLUS_NOPROG6_RR2,USDJPY,RETURN3_PLUS_NOPROG6_RR2_USDJPY,13,30.76923076923077,1.131152003904489,0.08701169260803761,-0.2931364545536138,1.2211748768129989,3.3346950363503685,5,0.7098361599727008,0.624363328341616,4,1.2617720323479849
NO_PROGRESS_8_05R_RR2,USDJPY,NO_PROGRESS_8_05R_RR2_USDJPY,13,38.46153846153847,0.6285474406411502,0.048349803126242326,-1.0042573363141651,1.083320464753209,3.519923288792933,4,0.8828350837097917,0.8643959279453235,4,0.20295850399315385
NO_PROGRESS_8_05R_RR2,CHFJPY,NO_PROGRESS_8_05R_RR2_CHFJPY,1,100.0,0.3323226189227793,0.3323226189227793,0.3323226189227793,inf,0.0,0,0.45411624889452357,0.5585107888702514,0,0.0
NO_PROGRESS_6_05R_RR2,EURJPY,NO_PROGRESS_6_05R_RR2_EURJPY,6,50.0,-0.34876846406807727,-0.05812807734467954,-0.34079872290674096,0.8855225166958914,2.031070299782172,2,0.8042416176741788,0.7687853099487508,1,-1.0220143125475067
NO_PROGRESS_6_05R_RR2,CHFJPY,NO_PROGRESS_6_05R_RR2_CHFJPY,1,0.0,-0.35668134491716275,-0.35668134491716275,-0.35668134491716275,0.0,0.0,1,0.45411624889452357,0.5271924268775257,0,0.0
RETURN3_PLUS_NOPROG6_RR2,CHFJPY,RETURN3_PLUS_NOPROG6_RR2_CHFJPY,1,0.0,-0.4436767948969483,-0.4436767948969483,-0.4436767948969483,0.0,0.0,1,0.45411624889452357,0.46281579389246996,0,0.0
RETURN_INSIDE_3_RR2,CHFJPY,RETURN_INSIDE_3_RR2_CHFJPY,1,0.0,-0.4436767948969483,-0.4436767948969483,-0.4436767948969483,0.0,0.0,1,0.45411624889452357,0.46281579389246996,0,0.0
NO_PROGRESS_6_05R_RR2,USDJPY,NO_PROGRESS_6_05R_RR2_USDJPY,13,30.76923076923077,-0.6809839955599195,-0.05238338427383996,-0.593046948563755,0.9016831770550001,3.2624730113154126,5,0.72437226916801,0.8118887805036532,4,0.2658467111596001
BASE_RR15,EURJPY,BASE_RR15_EURJPY,6,33.33333333333333,-1.0860803410977238,-0.18101339018295395,-1.0085108862671253,0.7321347813015081,2.031070299782172,2,1.013332247351317,0.8378221158785518,1,-1.0220143125475067
RETURN_INSIDE_2_RR2,AUDJPY,RETURN_INSIDE_2_RR2_AUDJPY,6,16.666666666666664,-1.1217707970050472,-0.1869617995008412,-0.39408018117612176,0.6393858666268961,2.7644250078285664,4,0.5982297288455536,0.7044726214956686,1,-0.44186204241699106
RETURN_INSIDE_3_RR2,AUDJPY,RETURN_INSIDE_3_RR2_AUDJPY,6,16.666666666666664,-1.1217707970050472,-0.1869617995008412,-0.39408018117612176,0.6393858666268961,2.7644250078285664,4,0.5982297288455536,0.7044726214956686,1,-0.44186204241699106
RETURN3_PLUS_NOPROG6_RR2,EURJPY,RETURN3_PLUS_NOPROG6_RR2_EURJPY,6,16.666666666666664,-1.1690861229812477,-0.19484768716354128,-0.4659234985130447,0.6291363243351767,1.6445067201991646,3,0.6772653774561856,0.6178521893708596,1,-1.0220143125475067
RETURN_INSIDE_3_RR2,EURJPY,RETURN_INSIDE_3_RR2_EURJPY,6,16.666666666666664,-1.1690861229812477,-0.19484768716354128,-0.4659234985130447,0.6291363243351767,1.6445067201991646,3,0.6772653774561856,0.6178521893708596,1,-1.0220143125475067
RETURN_INSIDE_2_RR2,EURJPY,RETURN_INSIDE_2_RR2_EURJPY,6,16.666666666666664,-1.6847663767660193,-0.2807943961276699,-0.7237636254054306,0.5406870520156158,1.6445067201991646,3,0.8312705599149731,0.6868889953006607,1,-1.0220143125475067
RETURN3_PLUS_NOPROG6_RR2,AUDJPY,RETURN3_PLUS_NOPROG6_RR2_AUDJPY,6,33.33333333333333,-1.7530112012527717,-0.29216853354212863,-0.316222053526802,0.16416685902862868,1.75102363982276,3,0.273464575496235,0.5320416864874719,1,-0.44186204241699106
NO_PROGRESS_8_05R_RR2,EURJPY,NO_PROGRESS_8_05R_RR2_EURJPY,6,33.33333333333333,-1.8311752115107731,-0.30519586858512887,-1.0119031859916765,0.5491229103468366,3.0458206845308595,3,1.0540147994188513,0.9595569526986168,1,-1.0220143125475067
BASE_RR25,EURJPY,BASE_RR25_EURJPY,6,16.666666666666664,-2.5860803410977047,-0.43101339018295076,-1.0119031859916765,0.48985737355509923,3.0458206845308595,3,1.2472597509821606,1.028593758628418,1,-1.0220143125475067
BASE_RR2,EURJPY,BASE_RR2_EURJPY,6,16.666666666666664,-3.0860803410977145,-0.5143467235162857,-1.0119031859916765,0.39122497255467786,3.0458206845308595,3,1.140045280654449,1.028593758628418,1,-1.0220143125475067
BASE_RR15,GBPJPY,BASE_RR15_GBPJPY,8,25.0,-3.1701669989540893,-0.39627087486926116,-1.0217793310145624,0.48400553865194995,3.0688672518396074,4,0.6866463611897731,1.1692346674901632,1,-1.0220432539763529
RETURN3_PLUS_NOPROG6_RR2,GBPJPY,RETURN3_PLUS_NOPROG6_RR2_GBPJPY,8,12.5,-4.214781578413364,-0.5268476973016705,-0.599381092546786,0.10501544985547208,3.8953274783771272,4,0.6962248863618961,0.882873132369091,1,-1.0220432539763529
RETURN_INSIDE_3_RR2,GBPJPY,RETURN_INSIDE_3_RR2_GBPJPY,8,12.5,-5.109530331835643,-0.6386912914794554,-0.8250686267183514,0.08824866760780672,4.790076231799406,4,0.7131402652761694,0.9317397825658981,1,-1.0220432539763529
RETURN_INSIDE_2_RR2,GBPJPY,RETURN_INSIDE_2_RR2_GBPJPY,8,12.5,-5.569441568695243,-0.6961801960869054,-1.0165045604779157,0.0815556281865136,5.249987468659006,4,0.7131402652761694,1.0083389100305173,1,-1.0220432539763529
NO_PROGRESS_6_05R_RR2,GBPJPY,NO_PROGRESS_6_05R_RR2_GBPJPY,8,12.5,-5.766735287072961,-0.7208419108841201,-1.0211440263944611,0.07898580346039323,4.74391713707039,4,0.6962248863618961,1.2641466128747432,1,-1.0220432539763529
NO_PROGRESS_8_05R_RR2,GBPJPY,NO_PROGRESS_8_05R_RR2_GBPJPY,8,12.5,-6.1727043810156506,-0.7715880476269563,-1.0211440263944611,0.07417636026243264,5.149886231013079,4,0.6962248863618961,1.2979773707033009,1,-1.0220432539763529
BASE_RR2,GBPJPY,BASE_RR2_GBPJPY,8,12.5,-6.661484040495241,-0.8326855050619051,-1.0217793310145624,0.06910988330987267,5.638665890492669,4,0.7131402652761694,1.3130132630715503,1,-1.0220432539763529
