symbol,trigger_type,scenario,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_loss_streak
CHFJPY,rebreak,by_symbol_trigger_CHFJPY_rebreak,4,75.0,4.932879486502677,1.2332198716256693,5.913138277460902,1.0040180446645146,1
CHFJPY,stagnation+rebreak,by_symbol_trigger_CHFJPY_stagnation+rebreak,1,100.0,1.995794151543929,1.995794151543929,inf,0.0,0
EURJPY,rebreak,by_symbol_trigger_EURJPY_rebreak,1,100.0,1.9823190982001504,1.9823190982001504,inf,0.0,0
EURJPY,stagnation,by_symbol_trigger_EURJPY_stagnation,1,0.0,-1.0095537465510678,-1.0095537465510678,0.0,0.0,1
GBPJPY,rebreak,by_symbol_trigger_GBPJPY_rebreak,5,40.0,-0.46237885829757497,-0.092475771659515,0.8471585116289903,1.0086437763522809,2
GBPJPY,stagnation,by_symbol_trigger_GBPJPY_stagnation,3,100.0,5.945762091800667,1.981920697266889,inf,0.0,0
GBPJPY,stagnation+rebreak,by_symbol_trigger_GBPJPY_stagnation+rebreak,2,50.0,0.9847127277080694,0.4923563638540347,1.978967116080345,0.0,1
SILVER,rebreak,by_symbol_trigger_SILVER_rebreak,2,100.0,2.1733271097701548,1.0866635548850774,inf,0.0,0
SILVER,stagnation,by_symbol_trigger_SILVER_stagnation,1,0.0,-1.0539842287562833,-1.0539842287562833,0.0,0.0,1
USDJPY,rebreak,by_symbol_trigger_USDJPY_rebreak,3,33.33333333333333,0.965479549205071,0.3218265164016903,1.9392293596560868,0.022104668109995895,2
USDJPY,stagnation,by_symbol_trigger_USDJPY_stagnation,4,75.0,4.965557199979236,1.241389299994809,5.925138431249182,0.0,1
USDJPY,stagnation+rebreak,by_symbol_trigger_USDJPY_stagnation+rebreak,1,100.0,1.9842141900145391,1.9842141900145391,inf,0.0,0
XAUUSD,rebreak,by_symbol_trigger_XAUUSD_rebreak,5,60.0,4.6559434368248045,0.9311886873649609,4.617043411112831,1.0072534745502764,1
XAUUSD,stagnation+rebreak,by_symbol_trigger_XAUUSD_stagnation+rebreak,2,100.0,3.982001563627807,1.9910007818139035,inf,0.0,0
