scenario,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_loss_streak,note
C125_current,39,66.66666666666666,35.90342175308876,0.9206005577715066,4.14142531950299,4.35387395705122,5,現行C125
C125_current_OOS_2025_2026,5,100.0,6.7074969235829585,1.3414993847165917,inf,0.0,0,現行C125
C125_current_Research_2015_2024,34,61.76470588235294,29.1959248295058,0.8587036714560529,3.554542520110223,4.35387395705122,5,現行C125
C125_ex_xau,28,64.28571428571429,23.404128771119566,0.8358617418256988,3.562084817720327,3.019919659295775,4,現行C125からXAUUSDも除外
C125_ex_xau_OOS_2025_2026,4,100.0,4.7182400910955895,1.1795600227738974,inf,0.0,0,現行C125からXAUUSDも除外
C125_ex_xau_Research_2015_2024,24,58.333333333333336,18.68588868002398,0.7785786950009991,3.0455720510211237,3.019919659295775,4,現行C125からXAUUSDも除外
no_single_rebreak,18,72.22222222222221,19.663727861702977,1.0924293256501654,4.867299742632351,3.0680599094559975,3,単独rebreak除外
no_single_rebreak_Research_2015_2024,18,72.22222222222221,19.663727861702977,1.0924293256501654,4.867299742632351,3.0680599094559975,3,単独rebreak除外
stag_or_combo_only,18,72.22222222222221,19.663727861702977,1.0924293256501654,4.867299742632351,3.0680599094559975,3,stagnation系のみ
stag_or_combo_only_Research_2015_2024,18,72.22222222222221,19.663727861702977,1.0924293256501654,4.867299742632351,3.0680599094559975,3,stagnation系のみ
combo_only,8,75.0,8.822750466365033,1.1028438082956291,5.383170031039391,1.0058690547755362,1,stagnation+rebreakのみ
combo_only_Research_2015_2024,8,75.0,8.822750466365033,1.1028438082956291,5.383170031039391,1.0058690547755362,1,stagnation+rebreakのみ
exclude_gbpjpy_rebreak,30,70.0,32.50445262986975,1.0834817543289919,5.394391565489487,4.353873957051221,5,推奨6 + GBPJPY単独rebreak除外
exclude_gbpjpy_rebreak_OOS_2025_2026,4,100.0,6.1530347422346905,1.5382586855586726,inf,0.0,0,推奨6 + GBPJPY単独rebreak除外
exclude_gbpjpy_rebreak_Research_2015_2024,26,65.38461538461539,26.351417887635062,1.0135160726013486,4.562541102375004,4.353873957051221,5,推奨6 + GBPJPY単独rebreak除外
bb_le_090,24,62.5,16.39184029808886,0.6829933457537024,2.7983175491255317,4.073903888052058,4,BB位置<=0.90
bb_le_090_OOS_2025_2026,4,100.0,4.749648172251861,1.1874120430629653,inf,0.0,0,BB位置<=0.90
bb_le_090_Research_2015_2024,20,55.00000000000001,11.642192125836997,0.5821096062918498,2.2772427030432176,4.073903888052058,4,BB位置<=0.90
bb_085_095,26,69.23076923076923,28.299844422041136,1.0884555546938899,5.460116564714177,2.0433832635564864,3,BB位置0.85-0.95
bb_085_095_OOS_2025_2026,1,100.0,1.957848751331096,1.957848751331096,inf,0.0,0,BB位置0.85-0.95
bb_085_095_Research_2015_2024,25,68.0,26.34199567071004,1.0536798268284016,5.1515553755856685,2.0433832635564864,3,BB位置0.85-0.95
bb_width_le4,20,80.0,25.49073504589488,1.274536752294744,9.256481787199776,1.0539842287562833,1,BB幅<=4ATR
bb_width_le4_OOS_2025_2026,4,100.0,4.7182400910955895,1.1795600227738974,inf,0.0,0,BB幅<=4ATR
bb_width_le4_Research_2015_2024,16,75.0,20.772494954799292,1.2982809346749558,7.728237767965809,1.0539842287562833,1,BB幅<=4ATR
macd_gt006,13,53.84615384615385,6.815161765292355,0.5242432127147965,2.2839889082390714,2.291683102370759,3,MACD slope3>0.06
macd_gt006_OOS_2025_2026,2,100.0,2.204735190926427,1.1023675954632135,inf,0.0,0,MACD slope3>0.06
macd_gt006_Research_2015_2024,11,45.45454545454545,4.610426574365928,0.4191296885787207,1.8686127765717924,2.291683102370759,3,MACD slope3>0.06
rec_bars_le12,32,65.625,27.964727017927544,0.8738977193102357,3.9696257088763107,4.35387395705122,5,signal recovery<=12
rec_bars_le12_OOS_2025_2026,3,100.0,2.7277892911184223,0.909263097039474,inf,0.0,0,signal recovery<=12
rec_bars_le12_Research_2015_2024,29,62.06896551724138,25.23693772680912,0.8702392319589352,3.67995675547978,4.35387395705122,5,signal recovery<=12
close_loc_ge070,36,63.888888888888886,29.95485728590404,0.83207936905289,3.6209464871392694,4.35387395705122,5,終値位置>=0.70
close_loc_ge070_OOS_2025_2026,4,100.0,4.71704612360579,1.1792615309014476,inf,0.0,0,終値位置>=0.70
close_loc_ge070_Research_2015_2024,32,59.375,25.237811162298254,0.7886815988218204,3.2082212536541386,4.35387395705122,5,終値位置>=0.70
body_ge060,39,66.66666666666666,35.90342175308876,0.9206005577715066,4.14142531950299,4.35387395705122,5,実体比率>=0.60
body_ge060_OOS_2025_2026,5,100.0,6.7074969235829585,1.3414993847165917,inf,0.0,0,実体比率>=0.60
body_ge060_Research_2015_2024,34,61.76470588235294,29.1959248295058,0.8587036714560529,3.554542520110223,4.35387395705122,5,実体比率>=0.60
lean_candidate,13,69.23076923076923,13.81250238573909,1.0625001835183916,4.387398500932222,2.0140756806997144,3,実戦候補: XAU/AUD除外 + stagnation系
lean_candidate_Research_2015_2024,13,69.23076923076923,13.81250238573909,1.0625001835183916,4.387398500932222,2.0140756806997144,3,実戦候補: XAU/AUD除外 + stagnation系
quality_candidate,11,72.72727272727273,12.826886650283557,1.1660806045712324,5.17576599471876,1.0095537465510678,2,品質候補: 実戦候補 + BB幅<=5.5
quality_candidate_Research_2015_2024,11,72.72727272727273,12.826886650283557,1.1660806045712324,5.17576599471876,1.0095537465510678,2,品質候補: 実戦候補 + BB幅<=5.5
balanced_candidate,27,70.37037037037037,29.53651779621407,1.0939451035634842,5.621627125523975,3.348004902275684,4,バランス候補: 推奨6 + GBPJPY単独rebreak除外 + BB幅<=5.5
balanced_candidate_OOS_2025_2026,4,100.0,6.1530347422346905,1.5382586855586726,inf,0.0,0,バランス候補: 推奨6 + GBPJPY単独rebreak除外 + BB幅<=5.5
