year,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_losing_streak
2015,1,0.0,-1.0076551842331094,-1.0076551842331094,0.0,0.0,1
2016,2,50.0,0.9275403822081694,0.4637701911040847,1.9148127555641603,1.0139128215764328,1
2017,2,50.0,0.9878156439891013,0.49390782199455063,1.9659094147009235,1.0226793827193006,1
2018,1,0.0,-1.0359771096518207,-1.0359771096518207,0.0,0.0,1
2019,1,0.0,-1.0470123170138197,-1.0470123170138197,0.0,0.0,1
2020,1,0.0,-1.0221903276733382,-1.0221903276733382,0.0,0.0,1
2021,1,0.0,-1.0194291711666983,-1.0194291711666983,0.0,0.0,1
2022,2,50.0,0.9883949342955869,0.49419746714779345,1.9621967426676308,0.0,1
2023,1,0.0,-1.008827397046844,-1.008827397046844,0.0,0.0,1
2024,2,0.0,-2.031499796079638,-1.015749898039819,0.0,1.0175394952643861,2
2025,4,75.0,4.979311451497265,1.2448278628743163,5.958004399613981,1.0042975056425814,1
