year,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_losing_streak
2015,2,50.0,0.9345674494570779,0.46728372472853896,1.8866996525743853,1.0539842287562833,1
2016,4,100.0,7.946606790008517,1.9866516975021293,inf,0.0,0
2017,1,100.0,1.9738994771930056,1.9738994771930056,inf,0.0,0
2018,1,0.0,-0.022104668109996,-0.022104668109996,0.0,0.0,1
2019,1,100.0,1.9792038855796523,1.9792038855796523,inf,0.0,0
2020,1,100.0,2.0083771993652144,2.0083771993652144,inf,0.0,0
2021,2,50.0,0.9848705946302196,0.4924352973151098,1.977778304582121,0.0,1
2022,1,100.0,1.993428195911128,1.993428195911128,inf,0.0,0
2024,3,66.66666666666666,2.97364603076447,0.9912153435881567,3.9617456046400963,1.0040180446645146,1
2025,2,100.0,3.948299551308263,1.9741497756541315,inf,0.0,0
2026,2,100.0,0.7699405397873264,0.3849702698936632,inf,0.0,0
