bucket,from_exclusive,to_inclusive,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_losing_streak
<= 8,-1,8,5,100.0,9.901942574319143,1.9803885148638287,inf,0.0,0
9-10,8,10,6,66.66666666666666,3.704488868534316,0.617414811422386,4.610181143459763,1.0040180446645146,1
11-12,10,12,5,80.0,6.914938412081775,1.382987682416355,7.560760800227062,0.0,1
13-14,12,14,2,50.0,0.9883326084988704,0.4941663042494352,1.981215387656167,1.0072534745502764,1
15-16,14,16,2,100.0,3.981032582460773,1.9905162912303864,inf,0.0,0
17-18,16,18,0,0.0,0.0,0.0,,0.0,0
19-20,18,20,0,0.0,0.0,0.0,,0.0,0
21-24,20,24,4,50.0,1.3591131528636333,0.33977828821590833,1.6751170209991952,1.0084084817170849,1
25-28,24,28,1,0.0,-1.008607607981697,-1.008607607981697,0.0,0.0,1
29-32,28,32,1,100.0,1.9895002265939064,1.9895002265939064,inf,0.0,0
