trades,win_rate,total_r,pf,max_dd_r,shelf_bars,drop_win,shelf_atr,move_atr,rr
120,35.833333333333336,-13.532621425833462,0.8252626511689948,16.207672357139433,4,6,2.0,2.0,1.5
118,31.35593220338983,-8.003033145634348,0.9017944792174453,9.72316232943249,4,6,2.0,2.0,2.0
64,37.5,-4.1920566071448455,0.8949088362900868,11.870083565722782,4,6,2.0,2.5,1.5
64,32.8125,-1.1920566071449095,0.972229732119739,9.239569107325622,4,6,2.0,2.5,2.0
28,46.42857142857143,4.859800054736981,1.3356312072863463,5.071092328469797,4,6,2.0,3.0,1.5
28,35.714285714285715,2.3598000547369167,1.1347263028839805,5.071092328469797,4,6,2.0,3.0,2.0
12,58.333333333333336,5.334616348070957,2.0497451215322293,3.060788932718274,4,6,2.0,3.5,1.5
12,41.66666666666667,2.834616348070944,1.3987618196473999,3.060788932718274,4,6,2.0,3.5,2.0
124,35.483870967741936,-15.078853062605395,0.8126493103300202,19.24681325529189,4,6,2.5,2.0,1.5
122,31.147540983606557,-9.049264782406274,0.8929484490708143,12.755613946758396,4,6,2.5,2.0,2.0
64,37.5,-4.1920566071448455,0.8949088362900868,11.870083565722782,4,6,2.5,2.5,1.5
64,32.8125,-1.1920566071449095,0.972229732119739,9.239569107325622,4,6,2.5,2.5,2.0
28,46.42857142857143,4.859800054736981,1.3356312072863463,5.071092328469797,4,6,2.5,3.0,1.5
28,35.714285714285715,2.3598000547369167,1.1347263028839805,5.071092328469797,4,6,2.5,3.0,2.0
12,58.333333333333336,5.334616348070957,2.0497451215322293,3.060788932718274,4,6,2.5,3.5,1.5
12,41.66666666666667,2.834616348070944,1.3987618196473999,3.060788932718274,4,6,2.5,3.5,2.0
124,35.483870967741936,-15.066586804475689,0.8127731809899763,19.234546997162184,4,6,3.0,2.0,1.5
122,31.147540983606557,-9.036998524276568,0.8930780419619838,12.74334768862869,4,6,3.0,2.0,2.0
65,36.92307692307693,-5.201935136940399,0.8728120589394665,12.879962095518335,4,6,3.0,2.5,1.5
65,32.30769230769231,-2.201935136940463,0.9498825766378387,9.239569107325622,4,6,3.0,2.5,2.0
28,46.42857142857143,4.859800054736981,1.3356312072863463,5.071092328469797,4,6,3.0,3.0,1.5
28,35.714285714285715,2.3598000547369167,1.1347263028839805,5.071092328469797,4,6,3.0,3.0,2.0
12,58.333333333333336,5.334616348070957,2.0497451215322293,3.060788932718274,4,6,3.0,3.5,1.5
12,41.66666666666667,2.834616348070944,1.3987618196473999,3.060788932718274,4,6,3.0,3.5,2.0
205,37.5609756097561,-14.861811498234271,0.8850122277270561,24.29699780406952,4,9,2.0,2.0,1.5
198,31.818181818181817,-11.836528858258895,0.9131817423278136,21.742637113031776,4,9,2.0,2.0,2.0
147,36.054421768707485,-15.9174156963592,0.831860493620311,23.530226264530175,4,9,2.0,2.5,1.5
145,31.03448275862069,-11.386474468082296,0.8869743543666956,22.904159471349494,4,9,2.0,2.5,2.0
91,35.16483516483517,-11.59589051169342,0.8039768929351794,14.680805271225315,4,9,2.0,3.0,1.5
91,30.76923076923077,-7.595890511693442,0.8798268640942493,12.785945559068029,4,9,2.0,3.0,2.0
47,40.42553191489361,-0.17792649569958296,0.9937418697705424,7.217228659348725,4,9,2.0,3.5,1.5
47,34.04255319148936,0.32207350430034953,1.0102352189679225,8.297753821483054,4,9,2.0,3.5,2.0
217,38.24884792626728,-12.002150412215329,0.9113041733866908,22.930245979431113,4,9,2.5,2.0,1.5
208,32.21153846153847,-10.62220627873193,0.9254100833717981,22.242133077837302,4,9,2.5,2.0,2.0
152,35.526315789473685,-18.47472179717248,0.8128531758852164,26.087532365343456,4,9,2.5,2.5,1.5
149,30.201342281879196,-15.429711574483335,0.8527590837366585,24.084028655863726,4,9,2.5,2.5,2.0
93,34.40860215053764,-13.61964662879209,0.7773821438078693,16.704561388323985,4,9,2.5,3.0,1.5
93,30.107526881720432,-9.619646628792111,0.8525309874966227,12.887536875950133,4,9,2.5,3.0,2.0
47,40.42553191489361,-0.17792649569958296,0.9937418697705424,7.217228659348725,4,9,2.5,3.5,1.5
47,34.04255319148936,0.32207350430034953,1.0102352189679225,8.297753821483054,4,9,2.5,3.5,2.0
216,37.96296296296296,-13.47093003200448,0.9004408751488532,24.39902559922026,4,9,3.0,2.0,1.5
207,31.88405797101449,-12.590985898521078,0.9115775513153003,24.210912697626448,4,9,3.0,2.0,2.0
152,35.526315789473685,-18.462455539042775,0.812954190154784,26.07526610721375,4,9,3.0,2.5,1.5
149,30.201342281879196,-15.417445316353628,0.8528589134894954,24.07176239773402,4,9,3.0,2.5,2.0
94,34.04255319148936,-14.629525158587644,0.7647584177466784,17.71443991811954,4,9,3.0,3.0,1.5
94,29.78723404255319,-10.629525158587665,0.8395338119646353,12.887536875950131,4,9,3.0,3.0,2.0
48,39.58333333333333,-1.1878050254951367,0.9596549151662351,7.217228659348726,4,9,3.0,3.5,1.5
48,33.33333333333333,-0.6878050254952033,0.9788218206515381,8.297753821483054,4,9,3.0,3.5,2.0
268,37.6865671641791,-18.83313275604013,0.8884420121684745,29.749708825410707,4,12,2.0,2.0,1.5
256,32.03125,-13.091372354533735,0.9253038533395026,23.55739330046746,4,12,2.0,2.0,2.0
198,34.84848484848485,-27.684086059037412,0.7873244116238575,32.60680160941051,4,12,2.0,2.5,1.5
194,30.412371134020617,-19.126622133821666,0.8596166676684018,26.580398135484234,4,12,2.0,2.5,2.0
135,34.074074074074076,-21.22188303095868,0.7630356467801691,24.84534104675533,4,12,2.0,3.0,1.5
133,29.32330827067669,-17.195360334019796,0.8182721510159647,21.203852204507424,4,12,2.0,3.0,2.0
88,36.36363636363637,-9.28137108524659,0.8366612287197078,17.041624675677316,4,12,2.0,3.5,1.5
88,31.818181818181817,-5.281371085246541,0.9132423466633,16.73314386376296,4,12,2.0,3.5,2.0
280,37.5,-20.96321851861023,0.8815042615454012,31.87996906968006,4,12,2.5,2.0,1.5
266,31.954887218045116,-14.86679662359581,0.9184658168555324,25.33299205122879,4,12,2.5,2.0,2.0
207,34.29951690821256,-31.772050519051724,0.7685329281574481,38.187675330805355,4,12,2.5,2.5,1.5
201,29.35323383084577,-26.859925100327963,0.812612565500263,34.44370038568538,4,12,2.5,2.5,2.0
140,33.57142857142857,-23.75557394379984,0.7462194517701877,28.871941220977014,4,12,2.5,3.0,1.5
138,28.985507246376812,-19.22905124686099,0.8051194640466076,24.886925037247558,4,12,2.5,3.0,2.0
92,36.95652173913043,-8.323524983226653,0.8585648531215814,16.56606052232384,4,12,2.5,3.5,1.5
92,32.608695652173914,-3.323524983226602,0.9471639737364974,15.757579710409495,4,12,2.5,3.5,2.0
281,37.01067615658363,-24.448521173880835,0.863351511877779,35.365271724950674,4,12,3.0,2.0,1.5
267,31.46067415730337,-18.85209927886642,0.8977332782236438,29.318294706499394,4,12,3.0,2.0,2.0
207,34.29951690821256,-31.75978426092202,0.7686016124396866,38.17540907267565,4,12,3.0,2.5,1.5
201,29.35323383084577,-26.84765884219826,0.812682110909612,34.43143412755568,4,12,3.0,2.5,2.0
141,33.33333333333333,-24.765452473595396,0.7382547740595671,29.88181975077257,4,12,3.0,3.0,1.5
139,28.776978417266186,-20.23892977665654,0.7969627029039713,25.896803567043108,4,12,3.0,3.0,2.0
93,36.55913978494624,-9.333403513022203,0.8440803701352405,16.56606052232385,4,12,3.0,3.5,1.5
93,32.25806451612903,-4.333403513022155,0.9321978803838166,15.757579710409495,4,12,3.0,3.5,2.0
