trades,win_rate,total_r,pf,max_dd_r,shelf_bars,drop_win,shelf_atr,move_atr,rr
126,46.03174603174603,10.66555888654256,1.148036080768474,6.984678066405254,4,6,2.0,2.0,1.5
122,40.16393442622951,14.889439519777458,1.191955377420084,12.048457841985229,4,6,2.0,2.0,2.0
66,42.42424242424242,-0.6307291791816543,0.9843307796120448,8.879259617211487,4,6,2.0,2.5,1.5
65,35.38461538461539,-0.5913580852359055,0.9867833741609303,12.925334937331543,4,6,2.0,2.5,2.0
40,37.5,-5.338604171257925,0.7974984579458447,8.387707250567363,4,6,2.0,3.0,1.5
40,30.0,-6.838604171257937,0.769986082405739,13.546243062708818,4,6,2.0,3.0,2.0
19,36.84210526315789,-2.800721151820828,0.7797332868749011,6.172709972166524,4,6,2.0,3.5,1.5
19,36.84210526315789,0.6992788481791627,1.0549957832632468,5.672709972166528,4,6,2.0,3.5,2.0
7,28.57142857142857,-2.480112208408359,0.5322656687799516,2.1174065741404893,4,6,2.0,4.0,1.5
7,28.57142857142857,-1.4801122084083675,0.7208596886933564,2.1174065741404893,4,6,2.0,4.0,2.0
132,46.96969696969697,13.436311118843447,1.1811994484611272,6.984678066405254,4,6,2.5,2.0,1.5
128,41.40625,19.160191752078354,1.2404877299309458,12.048457841985229,4,6,2.5,2.0,2.0
70,41.42857142857143,-3.284900494976542,0.9242722720852691,10.988563858263054,4,6,2.5,2.5,1.5
69,34.78260869565217,-3.245529401030793,0.932199097552246,14.988563858263051,4,6,2.5,2.5,2.0
41,36.58536585365854,-6.367000428116076,0.7675570800542112,8.387707250567363,4,6,2.5,3.0,1.5
41,29.268292682926827,-7.867000428116086,0.7442429228253749,13.546243062708818,4,6,2.5,3.0,2.0
20,35.0,-3.829117408678977,0.7213876741922748,6.172709972166524,4,6,2.5,3.5,1.5
20,35.0,-0.32911740867898587,0.9760529237134312,5.672709972166528,4,6,2.5,3.5,2.0
8,25.0,-3.508508465266508,0.4458025405835874,2.397514596860485,4,6,2.5,4.0,1.5
8,25.0,-2.5085084652665164,0.6037606771828989,2.1174065741404893,4,6,2.5,4.0,2.0
132,46.96969696969697,13.535604557804824,1.1827832564909526,6.8853846274438775,4,6,3.0,2.0,1.5
128,41.40625,19.25948519103973,1.2420356469836076,11.94916440302385,4,6,3.0,2.0,2.0
70,41.42857142857143,-3.185607056015165,0.9263928217177639,10.889270419301676,4,6,3.0,2.5,1.5
69,34.78260869565217,-3.146235962069416,0.9341367726047152,14.889270419301676,4,6,3.0,2.5,2.0
42,35.714285714285715,-7.416018260278735,0.7392461971673369,9.436725082730023,4,6,3.0,3.0,1.5
42,28.57142857142857,-8.916018260278744,0.7196985475068669,14.595260894871478,4,6,3.0,3.0,2.0
20,35.0,-3.829117408678977,0.7213876741922748,6.172709972166524,4,6,3.0,3.5,1.5
20,35.0,-0.32911740867898587,0.9760529237134312,5.672709972166528,4,6,3.0,3.5,2.0
8,25.0,-3.508508465266508,0.4458025405835874,2.397514596860485,4,6,3.0,4.0,1.5
8,25.0,-2.5085084652665164,0.6037606771828989,2.1174065741404893,4,6,3.0,4.0,2.0
134,46.26865671641791,11.511486582235097,1.1513138675526469,6.8853846274438775,4,6,3.5,2.0,1.5
130,40.76923076923077,17.235367215470003,1.2112253812553115,11.94916440302385,4,6,3.5,2.0,2.0
71,40.845070422535215,-4.187816953761844,0.9054256691645483,10.889270419301676,4,6,3.5,2.5,1.5
70,34.285714285714285,-4.148445859816095,0.9149410910194985,14.889270419301676,4,6,3.5,2.5,2.0
42,35.714285714285715,-7.416018260278735,0.7392461971673369,9.436725082730023,4,6,3.5,3.0,1.5
42,28.57142857142857,-8.916018260278744,0.7196985475068669,14.595260894871478,4,6,3.5,3.0,2.0
20,35.0,-3.829117408678977,0.7213876741922748,6.172709972166524,4,6,3.5,3.5,1.5
20,35.0,-0.32911740867898587,0.9760529237134312,5.672709972166528,4,6,3.5,3.5,2.0
8,25.0,-3.508508465266508,0.4458025405835874,2.397514596860485,4,6,3.5,4.0,1.5
8,25.0,-2.5085084652665164,0.6037606771828989,2.1174065741404893,4,6,3.5,4.0,2.0
200,45.5,14.105296679852092,1.1219660277574415,9.171701598660663,4,9,2.0,2.0,1.5
193,38.860103626943,13.76418748217333,1.1096243705675324,16.086003985353187,4,9,2.0,2.0,2.0
135,45.925925925925924,11.000671028317754,1.1425538984624668,6.87819213095376,4,9,2.0,2.5,1.5
132,40.909090909090914,16.944787562348274,1.2045959444113772,6.7961248533504754,4,9,2.0,2.5,2.0
78,44.871794871794876,3.963883398218737,1.0873003574985192,6.219577919673723,4,9,2.0,3.0,1.5
78,35.8974358974359,0.463883398218776,1.0087114112828275,7.726580663152929,4,9,2.0,3.0,2.0
48,43.75,1.0719407036954127,1.0376982918123994,6.756846894470536,4,9,2.0,3.5,1.5
48,37.5,2.571940703695433,1.0808717346253893,8.75684689447054,4,9,2.0,3.5,2.0
29,55.172413793103445,8.716905139775282,1.633091114230511,4.274941854544642,4,9,2.0,4.0,1.5
29,51.724137931034484,13.7169051397753,1.9185736151070918,4.274941854544642,4,9,2.0,4.0,2.0
210,46.19047619047619,17.79990652344422,1.148678693997502,9.767012703416297,4,9,2.5,2.0,1.5
202,39.603960396039604,18.691046314900326,1.144150810423624,17.110739436925048,4,9,2.5,2.0,2.0
143,45.45454545454545,9.136270086416793,1.1109344461815793,9.945273530996214,4,9,2.5,2.5,1.5
139,39.568345323741006,11.812635609582186,1.1325973958998037,8.835925663515878,4,9,2.5,2.5,2.0
82,42.68292682926829,-0.1720483264014674,0.9965271565125158,8.364528265471009,4,9,2.5,3.0,1.5
82,34.146341463414636,-3.672048326401426,0.9360114452087066,9.750843401518967,4,9,2.5,3.0,2.0
50,42.0,-0.9805315653569775,0.9678379276825644,6.756846894470536,4,9,2.5,3.5,1.5
50,36.0,0.5194684346430447,1.0153438359415063,8.75684689447054,4,9,2.5,3.5,2.0
30,53.333333333333336,7.688508882917135,1.5195922646599322,4.274941854544642,4,9,2.5,4.0,1.5
30,50.0,12.688508882917148,1.7949581929407883,4.274941854544642,4,9,2.5,4.0,2.0
210,46.19047619047619,17.842603023546594,1.1490884985422098,9.767012703416297,4,9,3.0,2.0,1.5
202,39.603960396039604,18.7337428150027,1.1445276895247622,17.06804293682267,4,9,3.0,2.0,2.0
143,45.45454545454545,9.178966586519167,1.111510686191159,9.945273530996214,4,9,3.0,2.5,1.5
139,39.568345323741006,11.85533210968456,1.133140476410186,8.835925663515878,4,9,3.0,2.5,2.0
83,42.168674698795186,-1.2210661585641294,0.9758635218978029,8.36452826547101,4,9,3.0,3.0,1.5
83,33.734939759036145,-4.7210661585640885,0.9192082946467747,10.799861233681625,4,9,3.0,3.0,2.0
51,41.17647058823529,-2.0295493975196357,0.9356438574883876,6.756846894470536,4,9,3.0,3.5,1.5
51,35.294117647058826,-0.5295493975196135,0.9848284927127022,8.75684689447054,4,9,3.0,3.5,2.0
30,53.333333333333336,7.688508882917135,1.5195922646599322,4.274941854544642,4,9,3.0,4.0,1.5
30,50.0,12.688508882917148,1.7949581929407883,4.274941854544642,4,9,3.0,4.0,2.0
212,45.28301886792453,13.352141067664208,1.1087989749840848,11.047875911712362,4,9,3.5,2.0,1.5
204,38.72549019607843,13.743280859120315,1.1035934405754617,17.06804293682267,4,9,3.5,2.0,2.0
145,44.827586206896555,7.1557645450056935,1.0848463853754025,10.947483428742899,4,9,3.5,2.5,1.5
141,39.00709219858156,9.832130068171086,1.1079659079890218,8.835925663515878,4,9,3.5,2.5,2.0
83,42.168674698795186,-1.2210661585641294,0.9758635218978029,8.36452826547101,4,9,3.5,3.0,1.5
83,33.734939759036145,-4.7210661585640885,0.9192082946467747,10.799861233681625,4,9,3.5,3.0,2.0
51,41.17647058823529,-2.0295493975196357,0.9356438574883876,6.756846894470536,4,9,3.5,3.5,1.5
51,35.294117647058826,-0.5295493975196135,0.9848284927127022,8.75684689447054,4,9,3.5,3.5,2.0
30,53.333333333333336,7.688508882917135,1.5195922646599322,4.274941854544642,4,9,3.5,4.0,1.5
30,50.0,12.688508882917148,1.7949581929407883,4.274941854544642,4,9,3.5,4.0,2.0
242,43.80165289256198,7.465989762236541,1.0519818761131996,10.817187211186132,4,12,2.0,2.0,1.5
