name,trades,win_rate_%,PF,avg_R,avg_win_R,avg_loss_R,total_R,max_DD_R,calmar_R,max_consec_wins,max_consec_losses,trades_per_year
2015,50,36.0,1.367,0.235,2.431,-1.0,11.76,9.0,1.306,3,9,56.5
2016,70,45.71,1.504,0.274,1.786,-1.0,19.15,6.35,3.015,7,5,74.3
2017,70,40.0,1.54,0.324,2.311,-1.0,22.7,6.0,3.783,3,6,73.3
2018,81,34.57,1.16,0.105,2.196,-1.0,8.48,16.33,0.519,4,10,87.5
2019,81,49.38,2.422,0.72,2.482,-1.0,58.3,5.62,10.38,8,5,82.4
2020,65,43.08,2.428,0.813,3.209,-1.0,52.85,8.35,6.328,5,5,68.0
2021,69,34.78,1.264,0.172,2.369,-1.0,11.87,10.85,1.094,5,9,79.5
2022,69,43.48,2.026,0.58,2.634,-1.0,40.02,7.0,5.717,3,7,72.4
2023,80,40.0,1.474,0.285,2.212,-1.0,22.77,7.44,3.062,4,6,86.4
2024,93,39.78,1.544,0.328,2.337,-1.0,30.47,10.81,2.818,4,7,99.0
