entry_time,strategy,symbol,side,r,cum_R
2015-02-11 09:00:00,SaiBest,CHFJPY,long,-1.0,-1.0
2015-02-11 14:00:00,TrendBreakV1,XAUUSD,short,-1.000000000000009,-2.000000000000009
2015-02-24 07:00:00,SaiBest,GBPJPY,long,0.3199999999999857,-1.6800000000000233
2015-03-04 00:00:00,TrendBreakV1,CHFJPY,short,-0.9999999999999848,-2.680000000000008
2015-03-04 08:00:00,TrendBreakV1,EURJPY,short,2.9999999999999907,0.3199999999999825
2015-03-06 12:00:00,TrendBreakV1,AUDJPY,long,-1.0000000000000202,-0.6800000000000377
2015-03-06 13:00:00,TrendBreakV1,XAUUSD,short,3.000000000000011,2.3199999999999736
2015-03-06 13:00:00,TrendBreakV1,USDJPY,long,3.0000000000000124,5.319999999999986
2015-03-20 15:00:00,TrendBreakV1,SILVER,long,-0.9999999999999988,4.319999999999987
2015-03-26 06:00:00,TrendBreakV1,USDJPY,short,-0.9999999999999944,3.3199999999999923
2015-03-30 11:00:00,TrendBreakV1,AUDJPY,short,2.9999999999999885,6.319999999999981
2015-04-06 07:00:00,TrendBreakV1,XAUUSD,long,-1.0000000000000082,5.319999999999973
2015-04-20 07:00:00,SaiBest,XAUUSD,long,-1.0,4.319999999999973
2015-04-21 15:00:00,TrendBreakV1,CHFJPY,long,-1.0000000000000036,3.319999999999969
2015-04-24 14:00:00,TrendBreakV1,XAUUSD,short,-0.9999999999999885,2.3199999999999807
2015-04-27 11:00:00,SaiBest,AUDJPY,long,4.179069178139936,6.499069178139917
2015-05-06 03:00:00,SaiBest,EURJPY,long,1.0987951807228544,7.597864358862771
2015-05-08 09:00:00,SaiBest,CHFJPY,long,-1.0,6.597864358862771
2015-05-13 09:00:00,TrendBreakV1,AUDJPY,long,-0.9999999999999858,5.597864358862785
2015-05-14 06:00:00,SaiBest,EURJPY,long,1.0378378378379285,6.635702196700714
2015-05-14 07:00:00,SaiBest,XAGUSD,long,0.6487128712871106,7.284415067987824
2015-05-19 14:00:00,TrendBreakV1,USDJPY,long,3.0000000000000124,10.284415067987837
2015-05-25 08:00:00,SaiBest,GBPJPY,long,-1.0,9.284415067987837
2015-06-03 16:00:00,TrendBreakV1,SILVER,short,2.9999999999999996,12.284415067987837
2015-06-16 07:00:00,SaiBest,CHFJPY,long,-1.0,11.284415067987837
2015-06-17 16:00:00,SaiBest,CHFJPY,long,-1.0,10.284415067987837
2015-06-18 15:00:00,SaiBest,EURJPY,long,-1.0,9.284415067987837
2015-06-22 07:00:00,SaiBest,GBPJPY,long,-1.0,8.284415067987837
2015-06-28 21:00:00,TrendBreakV1,CHFJPY,short,-0.9999999999999885,7.284415067987848
2015-06-28 21:00:00,TrendBreakV1,AUDJPY,short,-0.9999999999999988,6.284415067987849
2015-07-20 01:00:00,TrendBreakV1,SILVER,short,-0.9999999999999998,5.284415067987849
2015-08-04 18:00:00,TrendBreakV1,CHFJPY,short,-1.000000000000009,4.28441506798784
2015-08-07 02:00:00,SaiBest,AUDJPY,long,-1.0,3.2844150679878403
2015-08-10 14:00:00,TrendBreakV1,SILVER,long,2.999999999999996,6.284415067987837
2015-08-13 01:00:00,SaiBest,GBPJPY,long,0.472374525516632,6.756789593504469
2015-08-21 14:00:00,TrendBreakV1,GBPJPY,short,2.9999999999999862,9.756789593504456
2015-08-26 06:00:00,TrendBreakV1,SILVER,short,-0.9999999999999964,8.75678959350446
2015-09-01 08:00:00,TrendBreakV1,EURJPY,short,-1.000000000000007,7.756789593504452
2015-09-24 13:00:00,TrendBreakV1,XAUUSD,long,-0.9999999999999956,6.756789593504457
2015-10-07 06:00:00,SaiBest,XAUUSD,long,-1.0,5.756789593504457
2015-10-09 06:00:00,TrendBreakV1,AUDJPY,long,-1.0000000000000016,4.756789593504455
2015-10-28 13:00:00,TrendBreakV1,SILVER,long,-1.0000000000000064,3.7567895935044486
2015-11-03 10:00:00,TrendBreakV1,XAUUSD,short,3.000000000000016,6.756789593504465
2015-11-15 23:00:00,TrendBreakV1,EURJPY,short,-1.0000000000000029,5.756789593504462
2015-11-17 15:00:00,TrendBreakV1,GBPJPY,long,-0.9999999999999972,4.756789593504465
2015-11-19 00:00:00,TrendBreakV1,AUDJPY,long,3.0,7.756789593504465
2015-12-03 14:00:00,TrendBreakV1,EURJPY,long,-0.9999999999999896,6.756789593504475
2015-12-03 19:00:00,TrendBreakV1,CHFJPY,long,-0.9999999999999976,5.756789593504478
