name,trades,WR_%,PF,avg_R,total_R,max_DD_R,Calmar,MaxConsecLoss,trades_per_yr
ALL (全8通貨) / TrendBreakV1,369,37.1,1.772,0.485,179.0,13.0,13.77,12,37.5
ALL (全8通貨) / SaiBest,359,44.6,1.499,0.277,99.36,17.2,5.78,9,36.5
EXCL_CHF_AUD (6通貨) / TrendBreakV1,235,41.7,2.146,0.668,157.0,10.0,15.7,10,23.9
EXCL_CHF_AUD (6通貨) / SaiBest,241,47.3,1.782,0.412,99.3,12.88,7.71,9,24.6
TOP5 (PF>1.6) / TrendBreakV1,192,42.7,2.236,0.708,136.0,8.0,17.0,8,19.5
TOP5 (PF>1.6) / SaiBest,241,47.3,1.782,0.412,99.3,12.88,7.71,9,24.6
TOP3 (高Calmar) / TrendBreakV1,138,47.8,2.75,0.913,126.0,4.0,31.5,4,14.0
TOP3 (高Calmar) / SaiBest,130,46.2,1.764,0.411,53.47,7.8,6.85,6,13.3
GOLD_ONLY (XAUUSD) / TrendBreakV1,69,46.4,2.595,0.855,59.0,3.0,19.67,3,7.0
GOLD_ONLY (XAUUSD) / SaiBest,68,50.0,2.642,0.821,55.83,7.0,7.98,7,7.0
