strategy,symbol,trigger_type,entry_time,exit_time,direction,entry,exit,original_r,overlap_bucket,first_tb_time,first_tb_direction,first_tb_entry,r_if_exit_at_first_tb,delta_vs_original,managed_close_on_conflict_r,managed_close_on_any_tb_r
H4 T5 MACD BB,XAUUSD,stagnation+rebreak,2015-07-27 08:00:00,2015-08-21 00:00:00,long,1103.801,1160.7765787686,1.9885516782133612,free,,,,,,1.9885516782133612,1.9885516782133612
H4 T5 MACD BB,SILVER,stagnation,2015-10-12 08:00:00,2015-11-02 12:00:00,long,15.994,15.345662498356496,-1.0539842287562833,overlap_same_direction,2015-10-28 14:00:00,long,16.239,0.3982896799748588,1.452273908731142,-1.0539842287562833,0.3982896799748588
H4 T5 MACD BB,USDJPY,stagnation,2015-12-07 12:00:00,2015-12-09 12:00:00,long,123.446,122.22747242333423,-1.008206625924178,free,,,,,,-1.008206625924178,-1.008206625924178
H4 T5 MACD BB,XAUUSD,rebreak,2016-02-24 12:00:00,2016-04-06 12:00:00,long,1236.848,1226.762,-0.2799700689991615,overlap_opposite_or_mixed,2016-03-28 01:00:00,short,1210.889,-0.7205773370165814,-0.44060726801741995,-0.7205773370165814,-0.7205773370165814
H4 T5 MACD BB,USDJPY,rebreak,2016-04-19 12:00:00,2016-04-29 00:00:00,long,109.452,107.74083699082486,-1.0058439785960611,free,,,,,,-1.0058439785960611,-1.0058439785960611
H4 T5 MACD BB,GBPJPY,stagnation+rebreak,2016-05-25 08:00:00,2016-06-01 08:00:00,long,161.25,157.8422962444742,-1.0058690547755362,free,,,,,,-1.0058690547755362,-1.0058690547755362
H4 T5 MACD BB,GBPJPY,stagnation+rebreak,2016-08-24 00:00:00,2016-09-01 08:00:00,long,132.33,136.57708814914676,1.9905817824836056,overlap_same_direction,2016-08-29 03:00:00,long,133.95,0.7592831545705622,-1.2312986279130436,1.9905817824836056,0.7592831545705622
H4 T5 MACD BB,CHFJPY,rebreak,2016-11-30 12:00:00,2016-12-14 20:00:00,long,111.66,114.68276822310398,1.967242845610372,free,,,,,,1.967242845610372,1.967242845610372
H4 T5 MACD BB,USDJPY,stagnation,2016-12-07 08:00:00,2016-12-15 00:00:00,long,114.341,117.51578600228244,1.9955860830491468,free,,,,,,1.9955860830491468,1.9955860830491468
H4 T5 MACD BB,XAUUSD,rebreak,2017-05-26 08:00:00,2017-06-06 08:00:00,long,1261.311,1290.1723102294911,1.9738994771930056,free,,,,,,1.9738994771930056,1.9738994771930056
H4 T5 MACD BB,GBPJPY,rebreak,2017-08-15 04:00:00,2017-08-17 16:00:00,long,142.83,141.12422108733622,-1.011724848895423,free,,,,,,-1.011724848895423,-1.011724848895423
H4 T5 MACD BB,USDJPY,rebreak,2018-10-30 04:00:00,2018-12-10 04:00:00,long,112.659,112.639,-0.022104668109996,overlap_same_direction,2018-11-06 07:00:00,long,113.417,0.8377669213684148,0.8598715894784108,-0.022104668109996,0.8377669213684148
H4 T5 MACD BB,USDJPY,stagnation,2019-02-04 04:00:00,2019-03-01 08:00:00,long,109.615,111.96373838022797,1.9914847902310684,overlap_same_direction,2019-02-25 18:00:00,long,111.191,1.3362833663490208,-0.6552014238820476,1.9914847902310684,1.3362833663490208
H4 T5 MACD BB,EURJPY,stagnation,2019-02-04 08:00:00,2019-02-08 00:00:00,long,125.61,124.30161276854348,-1.0095537465510678,free,,,,,,-1.0095537465510678,-1.0095537465510678
H4 T5 MACD BB,XAUUSD,rebreak,2019-05-06 00:00:00,2019-06-03 16:00:00,long,1284.158,1322.1482851411877,1.9800106706938685,overlap_same_direction,2019-05-13 14:00:00,long,1297.348,0.6874478738286118,-1.2925627968652567,1.9800106706938685,0.6874478738286118
H4 T5 MACD BB,CHFJPY,rebreak,2019-06-03 20:00:00,2019-06-30 20:00:00,long,108.814,110.73743623388046,1.9792038855796523,free,,,,,,1.9792038855796523,1.9792038855796523
H4 T5 MACD BB,GBPJPY,rebreak,2020-02-05 12:00:00,2020-02-28 00:00:00,long,143.1,140.78619649735558,-1.0086437763522806,overlap_opposite_or_mixed,2020-02-27 22:00:00,short,141.17,-0.8413344029149702,0.16730937343731045,-0.8413344029149702,-0.8413344029149702
H4 T5 MACD BB,GBPJPY,rebreak,2020-07-16 16:00:00,2020-07-31 08:00:00,long,135.06,137.47743273593682,2.0083771993652144,free,,,,,,2.0083771993652144,2.0083771993652144
H4 T5 MACD BB,XAUUSD,rebreak,2021-01-20 04:00:00,2021-02-04 12:00:00,long,1848.715,1800.46226297388,-1.0072534745502764,free,,,,,,-1.0072534745502764,-1.0072534745502764
H4 T5 MACD BB,GBPJPY,stagnation,2021-10-05 08:00:00,2021-10-15 00:00:00,long,151.43,156.03024275442763,1.978402860216248,overlap_same_direction,2021-10-08 13:00:00,long,152.76,0.5719862938874338,-1.4064165663288142,1.978402860216248,0.5719862938874338
H4 T5 MACD BB,GBPJPY,stagnation,2022-05-23 20:00:00,2022-06-08 04:00:00,long,160.97,167.572322501128,1.984922325477553,free,,,,,,1.984922325477553,1.984922325477553
H4 T5 MACD BB,GBPJPY,rebreak,2022-07-11 00:00:00,2022-08-01 20:00:00,long,164.27,160.1459602360265,-1.0048496137633531,free,,,,,,-1.0048496137633531,-1.0048496137633531
H4 T5 MACD BB,EURJPY,rebreak,2022-08-17 08:00:00,2022-09-07 00:00:00,long,137.23,142.00744709529718,1.9823190982001504,free,,,,,,1.9823190982001504,1.9823190982001504
H4 T5 MACD BB,USDJPY,rebreak,2022-10-06 16:00:00,2022-10-14 12:00:00,long,144.944,147.98730435440822,1.993428195911128,free,,,,,,1.993428195911128,1.993428195911128
H4 T5 MACD BB,CHFJPY,stagnation+rebreak,2023-03-22 12:00:00,2023-04-28 12:00:00,long,144.07,152.15698123590417,1.995794151543929,overlap_same_direction,2023-04-11 15:00:00,long,147.676,0.8899283305512388,-1.1058658209926904,1.995794151543929,0.8899283305512388
H4 T5 MACD BB,USDJPY,stagnation,2023-09-25 12:00:00,2023-10-31 12:00:00,long,148.676,151.522629721898,1.9866929526231991,overlap_same_direction,2023-10-25 21:00:00,long,150.182,1.0510533082805116,-0.9356396443426875,1.9866929526231991,1.0510533082805116
