strategy,symbol,direction,signal_time,entry_time,exit_time,entry,exit,r,exit_reason,trigger_type,overlap_bucket,overlap_count,overlap_tb_r_sum,overlap_same_dir_count,overlap_opp_dir_count,overlap_tb_entries,overlap_tb_exits,overlap_tb_directions,overlap_tb_after_t5_hours_median
H4 T5 MACD BB,XAUUSD,long,2015-07-27 04:00:00,2015-07-27 08:00:00,2015-08-21 00:00:00,1103.801,1160.7765787686,1.9885516782133612,TP,stagnation+rebreak,free,0,0.0,0,0,,,,
H4 T5 MACD BB,SILVER,long,2015-10-12 04:00:00,2015-10-12 08:00:00,2015-11-02 12:00:00,15.994,15.345662498356496,-1.0539842287562833,SL,stagnation,overlap_same_direction,1,-1.2636029573351997,1,0,2015-10-28 14:00:00,2015-10-28 18:00:00,long,390.0
H4 T5 MACD BB,USDJPY,long,2015-12-07 08:00:00,2015-12-07 12:00:00,2015-12-09 12:00:00,123.446,122.22747242333423,-1.008206625924178,SL,stagnation,free,0,0.0,0,0,,,,
H4 T5 MACD BB,XAUUSD,long,2016-02-24 08:00:00,2016-02-24 12:00:00,2016-04-06 12:00:00,1236.848,1226.762,-0.2799700689991615,max_hold,rebreak,overlap_opposite_or_mixed,1,-1.051423118299295,0,1,2016-03-28 01:00:00,2016-03-28 07:00:00,short,781.0
H4 T5 MACD BB,USDJPY,long,2016-04-19 08:00:00,2016-04-19 12:00:00,2016-04-29 00:00:00,109.452,107.74083699082486,-1.0058439785960611,SL,rebreak,free,0,0.0,0,0,,,,
H4 T5 MACD BB,GBPJPY,long,2016-05-25 04:00:00,2016-05-25 08:00:00,2016-06-01 08:00:00,161.25,157.8422962444742,-1.0058690547755362,SL,stagnation+rebreak,free,0,0.0,0,0,,,,
H4 T5 MACD BB,GBPJPY,long,2016-08-23 20:00:00,2016-08-24 00:00:00,2016-09-01 08:00:00,132.33,136.57708814914676,1.9905817824836056,TP,stagnation+rebreak,overlap_same_direction,1,-1.0323100228385815,1,0,2016-08-29 03:00:00,2016-08-30,long,123.0
H4 T5 MACD BB,CHFJPY,long,2016-11-30 08:00:00,2016-11-30 12:00:00,2016-12-14 20:00:00,111.66,114.68276822310398,1.967242845610372,TP,rebreak,free,0,0.0,0,0,,,,
H4 T5 MACD BB,USDJPY,long,2016-12-07 04:00:00,2016-12-07 08:00:00,2016-12-15 00:00:00,114.341,117.51578600228244,1.9955860830491468,TP,stagnation,free,0,0.0,0,0,,,,
H4 T5 MACD BB,XAUUSD,long,2017-05-26 04:00:00,2017-05-26 08:00:00,2017-06-06 08:00:00,1261.311,1290.1723102294911,1.9738994771930056,TP,rebreak,free,0,0.0,0,0,,,,
H4 T5 MACD BB,GBPJPY,long,2017-08-15 00:00:00,2017-08-15 04:00:00,2017-08-17 16:00:00,142.83,141.12422108733622,-1.011724848895423,SL,rebreak,free,0,0.0,0,0,,,,
H4 T5 MACD BB,USDJPY,long,2018-10-30 00:00:00,2018-10-30 04:00:00,2018-12-10 04:00:00,112.659,112.639,-0.022104668109996,max_hold,rebreak,overlap_same_direction,1,-1.0623537395279308,1,0,2018-11-06 07:00:00,2018-11-06 08:00:00,long,171.0
