exit_time,strategy,symbol,r,equity,drawdown_pct
,H4 Sharp Drop V,AUDJPY,1.99220648648386,1019922.0648648386,0.0
,H4 Sharp Drop V,CHFJPY,0.0598608248225125,1020532.5986254136,0.0
,H4 Sharp Drop V,CHFJPY,-1.0086119576476336,1010239.3848039856,1.0086119576476298
,H4 Sharp Drop V,CHFJPY,-1.009259086544433,1000043.4520170008,2.0076915363615333
,H4 Sharp Drop V,EURJPY,-0.4524963036157451,995518.2923620725,2.4511031099872396
,H4 Sharp Drop V,EURJPY,-1.0055017639921686,985508.3383715071,3.4319589889712216
,H4 Sharp Drop V,EURJPY,-1.0086155617659105,975568.3479081914,4.405959278300952
,H4 Sharp Drop V,EURJPY,1.107282604882393,986370.6465233173,3.347463094085388
,H4 Sharp Drop V,EURJPY,-1.0109818680151168,976398.6181355431,4.324602717180807
,H4 Sharp Drop V,GBPJPY,-1.007232221346124,966564.0166449036,5.288276146514277
,H4 Sharp Drop V,GBPJPY,-1.0083686905700642,956817.48772674,6.243319516152004
,H4 Sharp Drop V,GBPJPY,0.0514346500379623,957309.6234530542,6.195096095657926
,H4 Sharp Drop V,GBPJPY,-1.0062203064846538,947676.9796259379,7.138980087221827
,H4 Sharp Drop V,GBPJPY,1.9823470980810527,966463.2267307348,5.2981523537324025
,H4 Sharp Drop V,GBPJPY,-0.1156383788880031,965345.6243227947,5.407664035127531
,H4 Sharp Drop V,GBPJPY,-1.0047424825830342,955646.3867314672,6.358073419834271
,H4 Sharp Drop V,GBPJPY,-1.0144994391494966,945951.3594978241,7.30807023979883
,H4 Sharp Drop V,GBPJPY,-1.0060588507848882,936434.5321214763,8.240605603114648
,H4 Sharp Drop V,GBPJPY,-1.0064591400041845,927009.7011827842,9.164126414834595
,H4 Sharp Drop V,GBPJPY,1.9946983709973376,945500.7485912644,7.352224724150108
,H4 Sharp Drop V,SILVER,1.5265842039420654,959934.6136674127,5.937878421485234
,H4 Sharp Drop V,SILVER,-1.0351979653184518,949997.39007834,6.911607590201398
,H4 Sharp Drop V,USDJPY,-1.0045175928300245,940454.499163577,7.84669686884047
,H4 Sharp Drop V,USDJPY,1.991591352171618,959184.5096400277,6.011379652939804
,H4 Sharp Drop V,USDJPY,-1.008208670048211,949513.9282520774,6.958981072137567
,H4 Sharp Drop V,USDJPY,1.9849061850413312,968360.8889417817,5.112204132812961
,H4 Sharp Drop V,USDJPY,-1.0099212704677036,958581.2063494684,6.070496166353665
,H4 Sharp Drop V,USDJPY,-1.0119193397259174,948881.1377354402,7.0209869813549295
,H4 Sharp Drop V,USDJPY,-1.009193214160556,939305.0936829647,7.95932487133255
,H4 Sharp Drop V,USDJPY,-1.0043364014465637,929871.3107064649,8.88372287578693
,H4 Sharp Drop V,USDJPY,-1.008148256733892,920496.8292977092,9.8023100352155
,H4 Sharp Drop V,USDJPY,1.9949955216398123,938860.699819035,8.00287015979548
,H4 Sharp Drop V,XAUUSD,-1.0122943811957676,929356.6657075117,8.934151936029238
,H4 Sharp Drop V,XAUUSD,-1.0136540557280562,919936.2041733885,9.857244598312823
,H4 Sharp Drop V,XAUUSD,-1.0177786020011994,910573.2903352497,10.774698274045475
,H4 Sharp Drop V,XAUUSD,-1.013198679342619,901347.3737831264,11.678727852772312
,H4 Sharp Drop V,XAUUSD,-1.020519681709226,892148.9464331003,12.580063818170744
,H4 Sharp Drop V,XAUUSD,1.991465463672366,909915.7845858324,10.83912598074519
,H4 Sharp Drop V,XAUUSD,1.9916081943129311,928037.7419129906,9.063390707656685
