strategy,symbol,direction,signal_time,entry_time,exit_time,entry,exit,r,exit_reason
H4 Sharp Drop V,AUDJPY,long,,,,69.147,72.35479580970816,1.99220648648386,TP
H4 Sharp Drop V,CHFJPY,long,,,,113.267,113.434,0.0598608248225125,max_hold
H4 Sharp Drop V,CHFJPY,long,,,,143.247,140.92464765941722,-1.0086119576476336,SL
H4 Sharp Drop V,CHFJPY,long,,,,166.471,164.31095970833576,-1.009259086544433,SL
H4 Sharp Drop V,EURJPY,long,,,,122.75,120.88,-0.4524963036157451,max_hold
H4 Sharp Drop V,EURJPY,long,,,,136.31,134.0380014159492,-1.0055017639921686,SL
H4 Sharp Drop V,EURJPY,long,,,,130.49,129.03913697567026,-1.0086155617659105,SL
H4 Sharp Drop V,EURJPY,long,,,,117.98,120.44,1.107282604882393,max_hold
H4 Sharp Drop V,EURJPY,long,,,,130.57,129.43176013199374,-1.0109818680151168,SL
H4 Sharp Drop V,GBPJPY,long,,,,184.26,181.4945979135857,-1.007232221346124,SL
H4 Sharp Drop V,GBPJPY,long,,,,183.73,181.3401398620802,-1.0083686905700642,SL
H4 Sharp Drop V,GBPJPY,long,,,,184.87,185.13,0.0514346500379623,max_hold
H4 Sharp Drop V,GBPJPY,long,,,,158.77,155.5547243460874,-1.0062203064846538,SL
H4 Sharp Drop V,GBPJPY,long,,,,129.18,134.81479100485717,1.9823470980810527,TP
H4 Sharp Drop V,GBPJPY,long,,,,140.79,140.36,-0.1156383788880031,max_hold
H4 Sharp Drop V,GBPJPY,long,,,,156.05,151.83279948322215,-1.0047424825830342,SL
H4 Sharp Drop V,GBPJPY,long,,,,140.68,139.30063630228923,-1.0144994391494966,SL
H4 Sharp Drop V,GBPJPY,long,,,,163.23,159.92904397549032,-1.0060588507848882,SL
H4 Sharp Drop V,GBPJPY,long,,,,164.2,161.10361255724058,-1.0064591400041845,SL
H4 Sharp Drop V,GBPJPY,long,,,,187.32,194.86485083356015,1.9946983709973376,TP
H4 Sharp Drop V,SILVER,long,,,,19.14,21.083,1.5265842039420654,max_hold
H4 Sharp Drop V,SILVER,long,,,,23.744,22.749624339835,-1.0351979653184518,SL
H4 Sharp Drop V,USDJPY,long,,,,114.245,112.03143176216992,-1.0045175928300245,SL
H4 Sharp Drop V,USDJPY,long,,,,109.475,113.98515703636912,1.991591352171618,TP
H4 Sharp Drop V,USDJPY,long,,,,113.136,111.91777586122242,-1.008208670048211,SL
H4 Sharp Drop V,USDJPY,long,,,,110.394,112.9025875087934,1.9849061850413312,TP
H4 Sharp Drop V,USDJPY,long,,,,111.299,110.29106457151394,-1.0099212704677036,SL
H4 Sharp Drop V,USDJPY,long,,,,111.638,110.79902735302971,-1.0119193397259174,SL
H4 Sharp Drop V,USDJPY,long,,,,107.804,106.71624115686366,-1.009193214160556,SL
H4 Sharp Drop V,USDJPY,long,,,,105.384,103.0779404427339,-1.0043364014465637,SL
H4 Sharp Drop V,USDJPY,long,,,,114.42,113.19274362767722,-1.008148256733892,SL
H4 Sharp Drop V,USDJPY,long,,,,135.628,139.6244205178882,1.9949955216398123,TP
H4 Sharp Drop V,XAUUSD,long,,,,1202.118,1173.6497107525,-1.0122943811957676,SL
H4 Sharp Drop V,XAUUSD,long,,,,1271.351,1245.7175906327773,-1.0136540557280562,SL
H4 Sharp Drop V,XAUUSD,long,,,,1256.518,1236.8314127207232,-1.0177786020011994,SL
H4 Sharp Drop V,XAUUSD,long,,,,1208.321,1181.803195383748,-1.013198679342619,SL
H4 Sharp Drop V,XAUUSD,long,,,,1318.335,1301.2782052134237,-1.020519681709226,SL
H4 Sharp Drop V,XAUUSD,long,,,,1439.098,1521.117687201251,1.991465463672366,TP
H4 Sharp Drop V,XAUUSD,long,,,,1966.705,2040.8639240299192,1.9916081943129311,TP
