symbol,sample,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_losing_streak,tp_rate
USDJPY,IS_2014_2024,134,45.52238805970149,13.130744269431553,0.09799062887635487,1.175599815143885,17.709794142987956,10,44.776119402985074
SILVER,OOS_2025_2026,16,75.0,12.937126028984991,0.808570376811562,4.085694907564947,2.0491252144608687,2,75.0
USDJPY,OOS_2025_2026,11,81.81818181818183,11.29514741700609,1.0268315833641901,6.556436918839099,1.020484360655173,1,81.81818181818183
XAUUSD,IS_2014_2024,166,42.77108433734939,4.226783564382792,0.025462551592667422,1.042927793927437,14.633608336695438,14,42.77108433734939
XAUUSD,OOS_2025_2026,14,50.0,1.9225784680214737,0.13732703343010527,1.2717331759590476,3.021589197307721,3,42.857142857142854
EURJPY,OOS_2025_2026,16,43.75,1.0511867687211165,0.06569917304506978,1.1134676384989246,3.0888106415896535,3,43.75
AUDJPY,OOS_2025_2026,4,50.0,-0.4112722373204323,-0.10281805933010807,0.8024114251244813,1.0361294143529902,1,25.0
EURJPY,IS_2014_2024,130,40.76923076923077,-2.9459901918311218,-0.022661463014085552,0.9630741412525495,12.303279502547678,7,40.0
GBPJPY,IS_2014_2024,140,40.714285714285715,-3.6856943507543076,-0.026326388219673626,0.957540100670873,15.062926737714118,10,40.714285714285715
CHFJPY,OOS_2025_2026,9,22.22222222222222,-3.781969523064692,-0.4202188358960769,0.43512458434649454,4.621088479450753,6,22.22222222222222
GBPJPY,OOS_2025_2026,12,8.333333333333332,-9.06204024011653,-0.7551700200097109,0.13661167906760324,8.04513824680314,7,8.333333333333332
AUDJPY,IS_2014_2024,126,37.301587301587304,-11.559585962142641,-0.0917427457312908,0.852624010245751,17.68657476896009,7,35.714285714285715
CHFJPY,IS_2014_2024,146,38.35616438356164,-15.61323570789903,-0.10693997060204814,0.8317875509150686,32.81477202613869,6,35.61643835616438
SILVER,IS_2014_2024,174,43.67816091954023,-24.04081741277119,-0.13816561731477695,0.8005355396839228,35.43647827133647,8,43.67816091954023
