file,rows_raw,first,last
F87104_test/USDJPY2014-2024/USDJPY_M5_2020.csv,74721,2019-12-31 21:55:00,2020-12-31 00:00:00
F87104_test/USDJPY2014-2024/USDJPY_M5_2021.csv,369268,2020-12-31 21:59:00,2021-12-31 00:00:00
F87104_test/USDJPY2014-2024/USDJPY_M5_2022.csv,74810,2021-12-31 21:55:00,2022-12-30 21:55:00
F87104_test/USDJPY2014-2024/USDJPY_M5_2023.csv,74655,2022-12-30 21:55:00,2023-12-29 21:55:00
F87104_test/USDJPY2014-2024/USDJPY_M5_2024.csv,74665,2023-12-29 21:55:00,2024-12-31 00:00:00
F87104_test/USDJPY2014-2024/USDJPY_M5_2025.csv,74421,2024-12-31 21:55:00,2025-12-31 00:00:00
F87104_test/USDJPY2014-2024/USDJPY_M5_2026.csv,29062,2025-12-31 21:55:00,2026-05-22 20:55:00
F87104_test/USDJPY_M5_2014.csv,74446,2013-12-31 21:55:00,2014-12-31 00:00:00
F87104_test/USDJPY_M5_2015.csv,74436,2014-12-31 22:00:00,2015-12-31 00:00:00
F87104_test/USDJPY_M5_2016.csv,74852,2015-12-31 21:55:00,2016-12-30 21:55:00
F87104_test/USDJPY_M5_2017.csv,74668,2016-12-30 21:55:00,2017-12-29 21:55:00
F87104_test/USDJPY_M5_2018.csv,74447,2017-12-29 21:55:00,2018-12-31 00:00:00
F87104_test/USDJPY_M5_2019.csv,74389,2018-12-31 21:55:00,2019-12-31 00:00:00
COMBINED_DEDUPED_RAW,1218836,2014-01-01 22:00:00,2026-05-22 20:55:00
DUPLICATE_TIMESTAMPS_REMOVED,4,,
RESAMPLED_M15,308129,2014-01-01 22:00:00,2026-05-22 20:45:00
RESAMPLED_M30,154079,2014-01-01 22:00:00,2026-05-22 20:30:00
RESAMPLED_H1,77052,2014-01-01 22:00:00,2026-05-22 20:00:00
RESAMPLED_H4,19928,2014-01-01 20:00:00,2026-05-22 20:00:00
