trades,win_rate,total_r,avg_r,pf,max_dd_r,worst_year_r,worst_2y_r,is_r,is_trades,oos_r,oos_trades,oos_wr,direction,h4,retrace,recovery,body,hours,months,score
40,67.5,26.131934034414286,0.6532983508603571,2.9310732483757596,2.081693961603568,-2.122314222163909,-0.20318971428424182,20.21808231826434,36,5.913851716149942,4,100.0,long,any,r50_886,rec25_85,any,ex_1_6_11_14,ex_aug,100.43953155678915
40,67.5,26.131934034414286,0.6532983508603571,2.9310732483757596,2.081693961603568,-2.122314222163909,-0.20318971428424182,20.21808231826434,36,5.913851716149942,4,100.0,long,any,r50_886,rec25_85,any,ex_1_6_11_14,ex_aug_dec,100.43953155678915
39,66.66666666666666,24.65822308232364,0.6322621303159908,2.8221703332041224,2.081693961603568,-2.122314222163909,-0.20318971428424182,18.7443713661737,35,5.913851716149942,4,100.0,long,any,r50_886,rec25_85,any,ex_1_6_8_11_14,ex_aug_dec,96.94888734774769
39,66.66666666666666,24.65822308232364,0.6322621303159908,2.8221703332041224,2.081693961603568,-2.122314222163909,-0.20318971428424182,18.7443713661737,35,5.913851716149942,4,100.0,long,any,r50_886,rec25_85,any,ex_1_6_8_11_14,ex_aug,96.94888734774769
36,66.66666666666666,22.76726578782353,0.6324240496617647,2.820977447927022,2.0692889529560037,-2.122314222163909,-0.20318971428424182,18.326810744394784,33,4.440455043428746,3,100.0,long,any,r50_886,rec25_85,not_35_45,ex_1_6_11_14,ex_aug_dec,95.41400489642714
36,66.66666666666666,22.76726578782353,0.6324240496617647,2.820977447927022,2.0692889529560037,-2.122314222163909,-0.20318971428424182,18.326810744394784,33,4.440455043428746,3,100.0,long,any,r50_886,rec25_85,not_35_45,ex_1_6_11_14,ex_aug,95.41400489642714
44,65.9090909090909,27.015444648598223,0.6139873783772324,2.733050087823237,2.081693961603568,-2.122314222163909,-0.20318971428424182,21.10159293244828,40,5.913851716149942,4,100.0,long,any,r50_886,rec25_85,any,ex_1_6_11_14,none,95.23347773902088
36,66.66666666666666,22.773818904889463,0.632606080691374,2.8261964141119087,3.7850342923162774,-1.04735186632548,-0.847966700815959,18.33634151636641,33,4.437477388523053,3,100.0,long,any,r50_886,rec_le75,any,ex_1,none,93.90679037832318
36,66.66666666666666,22.773818904889463,0.632606080691374,2.8261964141119087,3.7850342923162774,-1.04735186632548,-0.847966700815959,18.33634151636641,33,4.437477388523053,3,100.0,long,any,r50_886,rec25_75,any,ex_1,none,93.90679037832318
41,65.85365853658537,25.084321744091337,0.6118127254656424,2.720569874586928,3.128434542842495,-2.122314222163909,-0.20318971428424182,19.170470027941395,37,5.913851716149942,4,100.0,long,any,r50_886,any,any,ex_1_6_8_11_14,ex_aug_dec,93.87391852196035
41,65.85365853658537,25.084321744091337,0.6118127254656424,2.720569874586928,3.128434542842495,-2.122314222163909,-0.20318971428424182,19.170470027941395,37,5.913851716149942,4,100.0,long,any,r50_886,any,any,ex_1_6_8_11_14,ex_aug,93.87391852196035
61,63.934426229508205,34.67600182717484,0.5684590463471285,2.5394800531973347,4.163107198443356,-0.6777290821714685,1.4330686687676684,25.79364582787881,55,8.88235599929602,6,100.0,both,any,r50_764,any,any,ex_1_6_11_14,ex_aug_dec,93.17067177992516
63,63.49206349206349,35.10390598731411,0.5572048569414938,2.4887894437362257,4.163107198443356,-0.6777290821714685,1.4330686687676684,26.221549988018083,57,8.88235599929602,6,100.0,both,any,r50_764,any,any,ex_1_6_11_14,ex_aug,91.78949441972156
35,65.71428571428571,21.29355483573288,0.6083872810209394,2.703106710459927,2.0692889529560037,-2.122314222163909,-0.20318971428424182,16.853099792304135,32,4.440455043428746,3,100.0,long,any,r50_886,rec25_85,not_35_45,ex_1_6_8_11_14,ex_aug,91.55156329937614
35,65.71428571428571,21.29355483573288,0.6083872810209394,2.703106710459927,2.0692889529560037,-2.122314222163909,-0.20318971428424182,16.853099792304135,32,4.440455043428746,3,100.0,long,any,r50_886,rec25_85,not_35_45,ex_1_6_8_11_14,ex_aug_dec,91.55156329937614
43,65.11627906976744,25.521217537371705,0.593516686915621,2.634310500629147,3.128434542842495,-2.122314222163909,-0.20318971428424182,19.607365821221755,39,5.913851716149942,4,100.0,long,any,r50_886,any,any,ex_1_6_11_14,ex_aug_dec,91.5071532029441
43,65.11627906976744,25.521217537371705,0.593516686915621,2.634310500629147,3.128434542842495,-2.122314222163909,-0.20318971428424182,19.607365821221755,39,5.913851716149942,4,100.0,long,any,r50_886,any,any,ex_1_6_11_14,ex_aug,91.5071532029441
72,62.5,38.33851850303735,0.5324794236532965,2.381865194878477,4.169721122300569,-1.3084772506975253,1.479742613271487,27.970356913297252,65,10.368161589740094,7,100.0,both,any,r50_886,any,ge45,ex_1_6_11_14,ex_aug_dec,90.26194300761534
35,65.71428571428571,21.20490519696293,0.6058544341989408,2.6972534123206873,3.124034611087355,-1.0353763998145822,-1.2433754208989154,15.288899085248815,31,5.916006111714116,4,100.0,both,not_oppose,r618_886,any,any,ex_1_6_8_11_14,ex_aug,90.17631595919612
40,65.0,23.650776402007462,0.5912694100501865,2.6244986472881924,2.0692889529560037,-2.122314222163909,-0.20318971428424182,19.210321358578714,37,4.440455043428746,3,100.0,long,any,r50_886,rec25_85,not_35_45,ex_1_6_11_14,none,90.03593924512307
62,62.903225806451616,33.66319791050974,0.5429548050082216,2.4302068529293495,4.163107198443356,-0.6777290821714685,1.4330686687676684,24.780841911213717,56,8.88235599929602,6,100.0,both,any,r50_764,any,any,ex_1_6_14,ex_aug_dec,89.3915806730578
74,62.16216216216216,38.76642266317662,0.5238705765294138,2.346132411586159,4.169721122300569,-1.3084772506975253,1.479742613271487,28.398261073436522,67,10.368161589740094,7,100.0,both,any,r50_886,any,ge45,ex_1_6_11_14,ex_aug,89.26496248493727
37,64.86486486486487,21.730329465904852,0.5873062017812122,2.606849430777967,2.0692889529560037,-2.122314222163909,-0.20318971428424182,17.289874422476107,34,4.440455043428746,3,100.0,long,any,r50_886,rec25_85,ge45,ex_1_6_11_14,none,88.82626825850792
37,64.86486486486487,21.7205252065846,0.5870412217995838,2.603048458742276,2.0988694754542525,-2.122314222163909,-0.20318971428424182,17.280070163155855,34,4.440455043428746,3,100.0,long,any,r50_886,any,not_35_45,ex_1_6_11_14,ex_aug,88.75557781042309
37,64.86486486486487,21.7205252065846,0.5870412217995838,2.603048458742276,2.0988694754542525,-2.122314222163909,-0.20318971428424182,17.280070163155855,34,4.440455043428746,3,100.0,long,any,r50_886,any,not_35_45,ex_1_6_11_14,ex_aug_dec,88.75557781042309
42,64.28571428571429,24.075278030161698,0.5732209054800405,2.5444373856236173,2.1094287004726677,-2.122314222163909,-0.20318971428424182,18.161426314011756,38,5.913851716149942,4,100.0,long,any,r50_886,rec25_85,any,ex_1_6_8_11_14,none,88.60916335664776
40,65.0,23.833203809812282,0.5958300952453071,2.6745888170843433,4.182526010812811,-1.2974872543640232,-1.2974872543640232,19.398712440075634,37,4.4344913697366435,3,100.0,both,not_oppose,r50_764,any,any,ex_1_6_11_14,none,88.57192123115124
47,63.829787234042556,26.42432150422701,0.5622196064729151,2.49778437001417,3.122494313206847,-2.122314222163909,-0.20318971428424182,19.02407659346301,42,7.400244910763998,5,100.0,long,any,r50_886,rec25_85,any,ex_1,ex_aug_dec,88.49523749929395
47,63.829787234042556,26.42432150422701,0.5622196064729151,2.49778437001417,3.122494313206847,-2.122314222163909,-0.20318971428424182,19.02407659346301,42,7.400244910763998,5,100.0,long,any,r50_886,rec25_85,any,ex_1,ex_aug,88.49523749929395
76,61.8421052631579,39.235260502270805,0.516253427661458,2.3164872026136085,4.169721122300569,-1.3084772506975253,1.479742613271487,28.8670989125307,69,10.368161589740094,7,100.0,both,any,r50_886,any,not_35_45,ex_1_6_11_14,ex_aug_dec,88.43017917004425
69,62.31884057971014,36.42959268671642,0.5279651114016872,2.365854503087198,4.163107198443356,-0.6777290821714685,0.6520206410192717,27.547236687420394,63,8.88235599929602,6,100.0,both,any,r50_764,any,any,ex_1_6_11_14,none,88.34603068533949
42,64.28571428571429,24.078329766145913,0.573293565860617,2.5448749163837614,3.122494313206847,-2.122314222163909,-0.20318971428424182,18.164478049995967,38,5.913851716149942,4,100.0,long,any,r50_886,rec25_85,any,ex_1_6_14,ex_aug_dec,88.26642478392407
42,64.28571428571429,24.078329766145913,0.573293565860617,2.5448749163837614,3.122494313206847,-2.122314222163909,-0.20318971428424182,18.164478049995967,38,5.913851716149942,4,100.0,long,any,r50_886,rec25_85,any,ex_1_6_14,ex_aug,88.26642478392407
64,62.5,34.09110207064901,0.5326734698538907,2.3862888859664784,4.163107198443356,-0.6777290821714685,1.4330686687676684,25.208746071352987,58,8.88235599929602,6,100.0,both,any,r50_764,any,any,ex_1_6_14,ex_aug,88.16186987797049
59,62.71186440677966,31.72471557756243,0.5377070436874989,2.4084543849210904,4.163107198443356,-0.6777290821714685,0.2155479783087917,22.84235957826641,53,8.88235599929602,6,100.0,both,any,r50_764,any,any,ex_1_6_8_11_14,ex_aug_dec,88.0143159803879
