window,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_losing_streak,tp_rate
2014-2016,36.0,50.0,7.332955471950873,0.20369320755419093,1.4153523511404666,3.1567486334230126,3.0,47.22222222222222
2015-2017,35.0,60.0,15.347942782379585,0.438512650925131,2.0880374848104837,2.727079120128705,3.0,57.14285714285714
2016-2018,36.0,61.111111111111114,16.710368167641526,0.46417689354559794,2.1820889708412268,4.15635465767126,4.0,58.333333333333336
2017-2019,34.0,47.05882352941176,4.61268079622041,0.13566708224177676,1.2454903509044501,9.241816078636068,5.0,47.05882352941176
2018-2020,43.0,41.86046511627907,0.182993276156864,0.004255657585043349,1.007008856301896,9.883137199070253,5.0,41.86046511627907
2019-2021,47.0,34.04255319148936,-9.119659798518882,-0.19403531486210387,0.7186077631406953,12.118372351176784,10.0,34.04255319148936
2020-2022,45.0,35.55555555555556,-6.832559227414899,-0.15183464949810888,0.7732394214973278,14.876479749020078,10.0,35.55555555555556
2021-2023,39.0,35.8974358974359,-5.385703123251764,-0.13809495187825035,0.7918118003052138,16.907674198679,10.0,35.8974358974359
2022-2024,30.0,46.666666666666664,4.262557058346057,0.1420852352782019,1.2603581005786266,6.667463217877199,6.0,46.666666666666664
2023-2025,29.0,65.51724137931035,17.836599400537153,0.6150551517426605,2.744232340219103,2.081624469167831,2.0,65.51724137931035
2024-2026,20.0,70.0,14.603882079100753,0.7301941039550377,3.393855549475776,2.0278269647513145,2.0,70.0
2025-2027,11.0,81.81818181818183,11.29514741700609,1.0268315833641901,6.556436918839099,1.020484360655173,1.0,81.81818181818183
2026-2028,3.0,66.66666666666666,1.94565144723037,0.6485504824101234,2.9065960461963574,1.0204843606551728,1.0,66.66666666666666
