month,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_losing_streak,avg_hold_bars,tp_rate
1,8,75.0,6.723866776492736,0.840483347061592,4.2358998074590755,1.0408003516032789,1,17.375,75.0
2,10,50.0,2.2238027601656887,0.22238027601656887,1.433144324549215,1.0429426358665457,1,18.2,50.0
3,13,46.15384615384615,1.5226943387592209,0.1171303337507093,1.2089620394683804,4.18933487807626,4,12.846153846153847,46.15384615384615
4,14,57.14285714285714,5.469209330673104,0.3906578093337932,1.878356334289873,3.0808762296825014,3,13.642857142857142,57.14285714285714
5,14,50.0,2.967330831755089,0.21195220226822062,1.4102178679705475,3.719882423763912,3,15.285714285714286,50.0
6,24,41.66666666666667,1.1937831016771971,0.04974096256988322,1.0884729614912119,9.634558987670749,6,22.583333333333332,41.66666666666667
7,10,60.0,4.701322532736523,0.47013225327365227,2.143344698213466,2.0823069605582427,2,20.4,60.0
8,13,30.76923076923077,-4.869366477681006,-0.3745666521293082,0.4775082728794688,4.711042386554465,4,21.076923076923077,23.076923076923077
9,11,45.45454545454545,1.1056806279534104,0.1005164207230373,1.1762069059679487,6.274899510207218,6,13.818181818181818,45.45454545454545
10,15,46.666666666666664,1.9067328921111053,0.12711552614074034,1.2278886793922017,5.253978154734325,5,9.2,46.666666666666664
11,12,50.0,2.564580532148663,0.21371504434572194,1.413641545351696,3.117805149489728,3,9.166666666666666,50.0
12,3,33.33333333333333,-0.614309358267821,-0.20476978608927365,0.7069902880893464,1.0422135184070909,2,22.666666666666668,33.33333333333333
