year,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_losing_streak,avg_hold_bars,tp_rate
2014,10,40.0,0.14621287413847006,0.014621287413847005,1.0259370280250715,3.1567486334230126,3,15.7,40.0
2015,13,46.15384615384615,1.6007021699106443,0.12313093614697264,1.2212493258264718,2.651043747779158,2,16.307692307692307,46.15384615384615
2016,13,61.53846153846154,5.586040427901759,0.42969541753090457,2.1679623386936986,2.727079120128705,3,21.23076923076923,53.84615384615385
2017,9,77.77777777777779,8.16120018456718,0.9068000205074644,4.90764410352425,1.0543359586120875,1,13.444444444444445,77.77777777777779
2018,14,50.0,2.963127555172588,0.21165196822661342,1.4078601202749812,4.156354657671258,4,19.0,50.0
2019,11,18.181818181818183,-6.511646943519359,-0.5919679039563054,0.30992048945025824,5.8644799203747535,5,18.545454545454547,18.181818181818183
2020,18,50.0,3.731512664503635,0.20730625913909084,1.396643527328628,4.204457235475148,4,13.944444444444445,50.0
2021,18,27.77777777777778,-6.339525519503157,-0.35219586219461985,0.5326646877194147,12.118372351176784,10,11.88888888888889,27.77777777777778
2022,9,22.22222222222222,-4.224546372415375,-0.46939404137948615,0.40982914161144035,4.636268768218276,4,10.333333333333334,22.22222222222222
2023,12,58.333333333333336,5.17836876866677,0.43153073072223086,2.0062978145314245,2.081624469167831,2,22.333333333333332,58.333333333333336
2024,9,55.55555555555556,3.308734662094664,0.36763718467718487,1.8134035060870937,2.0278269647513145,2,16.88888888888889,55.55555555555556
2025,8,87.5,9.34949596977572,1.168686996221965,10.235714922767357,1.0123196794140836,1,11.625,87.5
2026,3,66.66666666666666,1.94565144723037,0.6485504824101234,2.9065960461963574,1.0204843606551728,1,24.666666666666668,66.66666666666666
