timeframe,filter,box_bars,box_atr,target_model,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_losing_streak,avg_planned_rr,avg_hold_bars,tp_rate
H1,base,8,2.0,fixed_1_5R,147,48.29931972789115,24.895327888523905,0.16935597203077488,1.3199003470078823,17.709794142987956,10,1.499999999999999,16.197278911564627,47.61904761904761
H1,context,8,2.0,fixed_1_5R,48,47.91666666666667,8.25776795868719,0.17203683247264978,1.3236929649270974,6.767310696317922,5,1.4999999999999991,17.208333333333332,47.91666666666667
H1,base,8,2.0,fixed_2R,147,36.734693877551024,5.574988314369079,0.03792509057393931,1.0584536035544134,20.524811796532642,10,2.0,22.374149659863946,34.01360544217687
H1,context,8,1.6,fixed_1_5R,20,50.0,4.574364919416933,0.22871824597084664,1.454299596663652,3.139685074242416,3,1.4999999999999967,15.4,50.0
H4,base,8,1.6,fixed_2R,6,50.0,2.9047504113882288,0.4841250685647048,1.9515462375968093,2.022490125850769,2,2.0,13.666666666666666,50.0
H1,base,8,1.6,fixed_1_5R,66,43.93939393939394,2.7323489700808623,0.041399226819407005,1.0714815539341132,15.872174328743755,8,1.4999999999999987,14.712121212121213,42.42424242424242
H4,base,8,1.6,fixed_1_5R,6,50.0,1.4047504113882074,0.23412506856470125,1.4601720559117486,2.022490125850769,2,1.4999999999999927,13.5,50.0
H4,context,8,1.6,fixed_2R,2,50.0,0.9706338288032961,0.48531691440164804,1.955639207629267,1.0156906718082732,1,2.0,23.0,50.0
H4,context,8,1.6,fixed_1_5R,2,50.0,0.4706338288033156,0.2353169144016578,1.4633633466037728,1.0156906718082732,1,1.4999999999999987,22.5,50.0
H1,context,8,2.0,fixed_2R,48,33.33333333333333,-1.2422320413127406,-0.02587983419401543,0.9620847334837002,11.940095017089956,8,2.0,23.083333333333332,33.33333333333333
H4,base,8,2.0,fixed_1_5R,23,39.130434782608695,-2.865349615873514,-0.12458041808145713,0.7985109714768921,7.1428971528296765,7,1.4999999999999982,16.26086956521739,30.434782608695656
H4,base,8,2.0,fixed_2R,23,30.434782608695656,-4.380014210941208,-0.19043540047570467,0.7130623279622841,7.142897152829676,7,2.0,17.695652173913043,21.73913043478261
H4,context,8,2.0,fixed_1_5R,10,20.0,-5.150736718903815,-0.5150736718903814,0.36557362824981254,4.6098774791378965,3,1.499999999999997,18.3,20.0
H1,context,8,1.6,fixed_2R,20,25.0,-5.425635080582978,-0.2712817540291489,0.6436588925286868,9.361349286375042,9,2.0,20.65,25.0
H4,context,8,2.0,fixed_2R,10,10.0,-6.165401313971558,-0.6165401313971558,0.2436691991109552,5.155386835543177,6,2.0,20.2,10.0
M30,base,8,1.6,fixed_2R,204,34.31372549019608,-6.317795491486227,-0.030969585742579544,0.9550067391544356,23.633187448812937,13,2.0,19.03921568627451,33.33333333333333
M30,context,8,1.6,fixed_1_5R,55,36.36363636363637,-7.680703645066863,-0.1396491571830339,0.7905276633071175,13.824200844335436,7,1.5000000000000075,16.6,36.36363636363637
M30,context,8,1.6,fixed_2R,55,29.09090909090909,-9.680703645067155,-0.17601279354667554,0.7631002397587252,13.941488251041916,8,2.0,20.490909090909092,29.09090909090909
M30,context,8,2.0,fixed_2R,110,31.818181818181817,-9.974063823995673,-0.09067330749086976,0.871908990879068,15.976077135981237,8,2.0,22.71818181818182,30.909090909090907
H1,base,8,1.6,fixed_2R,66,30.303030303030305,-10.904196014674392,-0.16521509113143018,0.7704190513926569,20.372264972869182,8,2.0,19.681818181818183,27.27272727272727
M30,base,8,1.6,fixed_1_5R,204,39.705882352941174,-12.81779549148603,-0.0628323308406178,0.9005601296700262,29.012725830683713,13,1.4999999999999993,15.877450980392156,38.72549019607843
M30,context,8,2.0,fixed_1_5R,111,36.93693693693694,-13.651802053202726,-0.12298920768651105,0.8137089263683108,17.631593517390296,8,1.5000000000000018,18.036036036036037,36.93693693693694
M15,base,8,1.6,fixed_1_5R,386,40.67357512953368,-22.651054040165725,-0.05868148715068841,0.9071774297388925,51.95663937264925,7,1.5000000000000002,22.370466321243523,39.89637305699482
M15,base,8,1.6,fixed_2R,384,33.85416666666667,-24.457431382640713,-0.06369122755896019,0.9097584577753816,58.20128875220033,10,2.0,26.453125,33.07291666666667
M15,context,8,1.6,fixed_1_5R,114,33.33333333333333,-25.89406772187336,-0.22714094492871367,0.6768548986298408,30.68493796262454,14,1.499999999999996,21.94736842105263,33.33333333333333
M15,context,8,1.6,fixed_2R,114,27.192982456140353,-27.894067721873206,-0.24468480457783515,0.6818662125641772,33.93525664802486,18,2.0,25.359649122807017,27.192982456140353
M15,context,8,2.0,fixed_2R,263,32.31939163498099,-28.167173366470433,-0.10709951850368986,0.8508572078938795,43.00089125050101,14,2.0,24.35361216730038,31.1787072243346
M30,base,8,2.0,fixed_2R,398,32.41206030150754,-32.38412984965777,-0.0813671604262758,0.884619675770416,42.09177869465036,10,2.0,21.37437185929648,31.4070351758794
M15,context,8,2.0,fixed_1_5R,263,37.6425855513308,-33.93218618296076,-0.129019719326847,0.8049486947272736,40.314459402702276,10,1.4999999999999987,20.638783269961976,36.88212927756654
M30,base,8,2.0,fixed_1_5R,403,38.21339950372209,-37.54119220602653,-0.09315432309187724,0.8552939648899882,44.0476438063276,9,1.5,17.39950372208437,37.71712158808933
M15,base,8,2.0,fixed_1_5R,811,40.93711467324291,-40.27980073172462,-0.049666831974999534,0.9208958158369388,74.19100810760455,12,1.5000000000000009,23.12083847102343,40.07398273736128
M15,base,8,2.0,fixed_2R,798,33.709273182957396,-56.11931325694513,-0.07032495395607159,0.9001618067363761,94.81338473704119,13,2.0,28.239348370927317,32.08020050125313
