candidate,trades,first_trade,last_trade,calendar_months,months_with_signal,months_without_signal,avg_trades_per_year,avg_trades_per_calendar_month,median_interval_days,max_interval_days
standard_v1_v04_filtered,76,2014-03-11 02:00:00,2026-05-10 23:00:00,147,62,85,6.24780553679946,0.5170068027210885,42.375,291.875
standard_v1_wave1_quality,69,2014-03-11 02:00:00,2026-05-10 23:00:00,147,59,88,5.672349763673194,0.46938775510204084,46.5625,291.875
standard_v1_wave1_balanced,73,2014-03-11 02:00:00,2026-05-10 23:00:00,147,62,85,6.00118163403106,0.4965986394557823,44.4375,291.875
standard_v1_wave1_loose,75,2014-03-11 02:00:00,2026-05-10 23:00:00,147,62,85,6.165597569209994,0.5102040816326531,42.77083333333333,291.875
expanded_v1_082_ex16_wave1_balanced,88,2014-03-11 02:00:00,2026-05-10 23:00:00,147,70,77,7.234301147873059,0.5986394557823129,40.083333333333336,235.5
conservative_v03_strict,69,2014-03-11 02:00:00,2026-05-10 23:00:00,147,56,91,5.672349763673194,0.46938775510204084,46.791666666666664,291.875
simple_v04_less_fit,79,2014-03-11 02:00:00,2026-05-10 23:00:00,147,64,83,6.49442943956786,0.5374149659863946,42.77083333333333,291.875
standard_a_h4_not_oppose,44,2014-03-11 02:00:00,2025-07-04 15:00:00,137,38,99,3.888458746673119,0.32116788321167883,49.583333333333336,580.6666666666666
standard_h4_and_shallow_compare,16,2014-03-11 02:00:00,2023-06-28 08:00:00,112,15,97,1.7208480565371025,0.14285714285714285,201.45833333333334,596.9166666666666
standard_shallow_no_h4,25,2014-03-11 02:00:00,2025-06-06 03:00:00,136,23,113,2.22442143727162,0.18382352941176472,126.70833333333333,596.9166666666666
standard_wave1_quality_shallow,23,2014-03-11 02:00:00,2025-06-06 03:00:00,136,22,114,2.0464677222898904,0.16911764705882354,144.08333333333331,596.9166666666666
